# lat,lng,id,name,building_type,type,url,page_type
# Ciriè -- Tutti
45.233932,7.604399,ov_oliver_45.2339_7.6044,Oliver,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/oliver_45.2339_7.6044.json,custom
45.233757,7.605275,ov_societa_operaia_45.2338_7.6053,Societa Operaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/societa_operaia_45.2338_7.6053.json,custom
45.232995,7.604745,ov_ristorante_il_convivium_45.2330_7.6047,Ristorante Il Convivium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ristorante_il_convivium_45.2330_7.6047.json,custom
45.232269,7.594778,ov_pizzeria_dal_capitano_45.2323_7.5948,Pizzeria dal Capitano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pizzeria_dal_capitano_45.2323_7.5948.json,custom
45.232247,7.605072,ov_trattoria_d_oria_45.2322_7.6051,Trattoria D'Oria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/trattoria_doria_45.2322_7.6051.json,custom
45.232016,7.600809,ov_il_capolinea_ex_taurus_45.2320_7.6008,Il Capolinea Ex Taurus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/il_capolinea_ex_taurus_45.2320_7.6008.json,custom
45.231140,7.603210,ov_piaduma_45.2311_7.6032,Piaduma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/piaduma_45.2311_7.6032.json,custom
45.230821,7.603109,ov_pizzeria_egitto_45.2308_7.6031,Pizzeria Egitto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pizzeria_egitto_45.2308_7.6031.json,custom
45.230919,7.603080,ov_il_portico_piadineria_artigianale_45.2309_7.6031,Il Portico piadineria artigianale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/il_portico_piadineria_artigianale_45.2309_7.6031.json,custom
45.230472,7.602928,ov_la_svolta_di_gabri_e_max_45.2305_7.6029,La Svolta di Gabri e Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/la_svolta_di_gabri_e_max_45.2305_7.6029.json,custom
45.230128,7.602855,ov_ristorante_prima_o_poi_45.2301_7.6029,Ristorante Prima o Poi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ristorante_prima_o_poi_45.2301_7.6029.json,custom
45.230117,7.602701,ov_origini_ciri__45.2301_7.6027,Origini Ciriè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/origini_ciri_45.2301_7.6027.json,custom
45.230074,7.603940,ov_tre_scalini_45.2301_7.6039,Tre Scalini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/tre_scalini_45.2301_7.6039.json,custom
45.230690,7.612240,ov_mercury_bar_ciri__45.2307_7.6122,Mercury Bar Ciriè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/mercury_bar_ciri_45.2307_7.6122.json,custom
45.231146,7.613810,ov_ristorante_majide_45.2311_7.6138,Ristorante Majide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/ristorante_majide_45.2311_7.6138.json,custom
45.232252,7.612079,ov_la_margherita_45.2323_7.6121,La Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/la_margherita_45.2323_7.6121.json,custom
45.228500,7.603243,ov_pescheria_il_faro_45.2285_7.6032,Pescheria Il Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pescheria_il_faro_45.2285_7.6032.json,custom
45.228035,7.602989,ov_la_fornarina_45.2280_7.6030,La Fornarina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/la_fornarina_45.2280_7.6030.json,custom
45.226943,7.600463,ov_pizza_rossetti_45.2269_7.6005,Pizza Rossetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/pizza_rossetti_45.2269_7.6005.json,custom
45.225408,7.605452,ov_il_pizzificio_45.2254_7.6055,Il Pizzificio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ciri/pages/il_pizzificio_45.2254_7.6055.json,custom
