# lat,lng,id,name,building_type,type,url,page_type
# Thonon-les-Bains -- Tutti
46.382350,6.504877,osm_centre_d_accueil_th_rapeutique___temps_p_46.3824_6.5049,Centre d'Accueil Thérapeutique à Temps Partiel Adolescents,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/centre_daccueil_thrapeutique_temps_parti_46.3824_6.5049.json,custom
46.393517,6.505698,ov_zaino_ristorante_vongy_46.3935_6.5057,Zaino Ristorante Vongy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/zaino_ristorante_vongy_46.3935_6.5057.json,custom
46.382660,6.504259,ov_a_la_tasse___moustache_46.3827_6.5043,A la Tasse à Moustache,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/a_la_tasse_moustache_46.3827_6.5043.json,custom
46.381511,6.506169,ov_restaurant_o__carro__46.3815_6.5062,Restaurant O' Carro',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/restaurant_o_carro_46.3815_6.5062.json,custom
46.401005,6.502706,ov_l_oxxy_beach_46.4010_6.5027,L'Oxxy Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/loxxy_beach_46.4010_6.5027.json,custom
46.397033,6.503237,ov_l_etable_du_savoyard_46.3970_6.5032,L'Etable du Savoyard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/letable_du_savoyard_46.3970_6.5032.json,custom
46.399516,6.504153,ov_la_guinguette_chez_dom_46.3995_6.5042,La Guinguette Chez Dom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/la_guinguette_chez_dom_46.3995_6.5042.json,custom
46.382606,6.504256,osm_h_tel_a_la_tasse___moustache_46.3826_6.5043,Hôtel A La Tasse à Moustache,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/htel_a_la_tasse_moustache_46.3826_6.5043.json,custom
46.399472,6.504430,osm_le_saint_disdille_46.3995_6.5044,Le Saint-Disdille,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/le_saint-disdille_46.3995_6.5044.json,custom
46.397038,6.502993,osm_l__table_du_savoyard_46.3970_6.5030,L'Étable du Savoyard,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/ltable_du_savoyard_46.3970_6.5030.json,custom
46.399776,6.504532,ov_le_must_46.3998_6.5045,Le Must,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/le_must_46.3998_6.5045.json,custom
46.396872,6.507366,ov_verticale_zone_46.3969_6.5074,Verticale Zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/verticale_zone_46.3969_6.5074.json,custom
46.390924,6.508394,ov_maxcor_energy_thonon_46.3909_6.5084,Maxcor Energy Thonon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/maxcor_energy_thonon_46.3909_6.5084.json,custom
46.390884,6.508571,ov_l_orange_bleue_46.3909_6.5086,L'Orange Bleue,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/lorange_bleue_46.3909_6.5086.json,custom
46.392779,6.504714,ov_crossfit_thonon_les_bains___hyrox_traini_46.3928_6.5047,CrossFit Thonon-les-Bains & Hyrox Training Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/crossfit_thonon-les-bains_hyrox_training_46.3928_6.5047.json,custom
46.381801,6.506477,ov_boulodrome_municipal_46.3818_6.5065,Boulodrome Municipal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/boulodrome_municipal_46.3818_6.5065.json,custom
46.370867,6.500838,ov_2_step_46.3709_6.5008,2 Step,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/2_step_46.3709_6.5008.json,custom
46.376809,6.500654,ov_entre_terre_et_ciel_46.3768_6.5007,Entre Terre et Ciel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/entre_terre_et_ciel_46.3768_6.5007.json,custom
46.400609,6.504800,ov_aquaventure_46.4006_6.5048,Aquaventure,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/aquaventure_46.4006_6.5048.json,custom
46.366248,6.500436,osm_cap_forme_46.3662_6.5004,Cap Forme,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/cap_forme_46.3662_6.5004.json,custom
46.384146,6.500433,ov_memorial_national_des_justes___la_clairi_46.3841_6.5004,Memorial National des Justes - la Clairiee des Justes,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/thonon-les-bains/pages/memorial_national_des_justes_-_la_clairi_46.3841_6.5004.json,custom
