# lat,lng,id,name,building_type,type,url,page_type
# Paullo -- Tutti
45.416784,9.399502,ov_azienda_ospedaliera_di_melegnano_45.4168_9.3995,Azienda Ospedaliera di Melegnano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/azienda_ospedaliera_di_melegnano_45.4168_9.3995.json,custom
45.416248,9.402001,ov_ristorante_pizzeria_la_stupida_45.4162_9.4020,Ristorante Pizzeria La stupida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/ristorante_pizzeria_la_stupida_45.4162_9.4020.json,custom
45.417400,9.401763,ov_pizzeria_sarah_45.4174_9.4018,Pizzeria Sarah,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/pizzeria_sarah_45.4174_9.4018.json,custom
45.418183,9.395824,ov_paullo_istanbul_kebab_45.4182_9.3958,Paullo Istanbul Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/paullo_istanbul_kebab_45.4182_9.3958.json,custom
45.418112,9.395946,ov_turbo_pizza_45.4181_9.3959,Turbo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/turbo_pizza_45.4181_9.3959.json,custom
45.418175,9.399928,ov_cadrega_e_sgabel_45.4182_9.3999,Cadrega E Sgabel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/cadrega_e_sgabel_45.4182_9.3999.json,custom
45.417841,9.400379,ov_pizzeria_lucia_45.4178_9.4004,Pizzeria Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/pizzeria_lucia_45.4178_9.4004.json,custom
45.417125,9.400547,ov_la_cantinetta_di_toti_45.4171_9.4005,La Cantinetta di Toti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/la_cantinetta_di_toti_45.4171_9.4005.json,custom
45.415977,9.399900,ov_al_ritrovo_45.4160_9.3999,Al Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/al_ritrovo_45.4160_9.3999.json,custom
45.418269,9.389154,ov_centopizze_45.4183_9.3892,Centopizze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/centopizze_45.4183_9.3892.json,custom
45.417778,9.390919,ov_i_love_pizza_45.4178_9.3909,I love pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/i_love_pizza_45.4178_9.3909.json,custom
45.423690,9.404866,ov_mcdonald_s_45.4237_9.4049,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/mcdonalds_45.4237_9.4049.json,custom
45.426650,9.408578,ov_la_mangiatoia_45.4267_9.4086,La Mangiatoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/la_mangiatoia_45.4267_9.4086.json,custom
45.420378,9.403032,ov_osteria_la_luna_piena_45.4204_9.4030,Osteria La Luna Piena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/osteria_la_luna_piena_45.4204_9.4030.json,custom
45.426967,9.409979,ov_ristorante_la_mangiatoia_45.4270_9.4100,Ristorante La Mangiatoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/ristorante_la_mangiatoia_45.4270_9.4100.json,custom
45.418317,9.389207,osm_cento_pizze_45.4183_9.3892,Cento pizze,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/cento_pizze_45.4183_9.3892.json,custom
45.417779,9.400497,osm_lucia_45.4178_9.4005,Lucia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/lucia_45.4178_9.4005.json,custom
45.416551,9.402846,ov_bar_principe_45.4166_9.4028,Bar Principe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/bar_principe_45.4166_9.4028.json,custom
45.416196,9.402695,ov_new_bar_45.4162_9.4027,New Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/new_bar_45.4162_9.4027.json,custom
45.416442,9.402253,ov_2__zero_45.4164_9.4023,2. Zero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/2_zero_45.4164_9.4023.json,custom
45.418663,9.394760,ov_nhyumba_di_anna_y_silvio_45.4187_9.3948,Nhyumba di Anna y Silvio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/nhyumba_di_anna_y_silvio_45.4187_9.3948.json,custom
45.418179,9.397026,ov_al9_coffee___drinks_45.4182_9.3970,Al9 Coffee & Drinks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/al9_coffee_drinks_45.4182_9.3970.json,custom
45.417678,9.400197,ov_ambaradan_45.4177_9.4002,Ambaradan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/ambaradan_45.4177_9.4002.json,custom
45.417246,9.398015,ov_caff__doppio_45.4172_9.3980,Caffè Doppio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/caff_doppio_45.4172_9.3980.json,custom
45.417081,9.399711,ov_penta_bar_45.4171_9.3997,Penta Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/penta_bar_45.4171_9.3997.json,custom
45.416341,9.399459,ov_bar_della_piazzetta_45.4163_9.3995,Bar della Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/bar_della_piazzetta_45.4163_9.3995.json,custom
45.416873,9.397416,ov_dejavu_cafe_45.4169_9.3974,Dejavu Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/dejavu_cafe_45.4169_9.3974.json,custom
45.418105,9.392277,ov_guerini_45.4181_9.3923,Guerini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/guerini_45.4181_9.3923.json,custom
45.419380,9.403060,ov_bar_ristorante_trattoria_pizzeria_royal_45.4194_9.4031,bar ristorante trattoria pizzeria ROYAL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/bar_ristorante_trattoria_pizzeria_royal_45.4194_9.4031.json,custom
45.416885,9.397338,osm_il_baretto_45.4169_9.3973,Il Baretto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/il_baretto_45.4169_9.3973.json,custom
45.423604,9.405941,osm_panf__45.4236_9.4059,Panfé,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/panf_45.4236_9.4059.json,custom
45.416246,9.404240,ov_docmoro_studio_professionale_45.4162_9.4042,Docmoro Studio Professionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/docmoro_studio_professionale_45.4162_9.4042.json,custom
45.417120,9.399791,ov_pentagym_ssd_45.4171_9.3998,PentaGym SSD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/pentagym_ssd_45.4171_9.3998.json,custom
45.416665,9.395361,ov_all_u_can_dream_45.4167_9.3954,All U Can Dream,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/all_u_can_dream_45.4167_9.3954.json,custom
45.416248,9.398574,ov_the_time_machine_45.4162_9.3986,The time machine,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paullo/pages/the_time_machine_45.4162_9.3986.json,custom
