# lat,lng,id,name,building_type,type,url,page_type
# Beaufort -- Tutti
45.717420,6.574880,ov_maison_de_sant__beaufort_73_45.7174_6.5749,Maison de santé Beaufort 73,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/maison_de_sant_beaufort_73_45.7174_6.5749.json,custom
45.649214,6.564908,ov_refuge_restaurant_de_l_alpage_45.6492_6.5649,Refuge Restaurant de l'Alpage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/refuge_restaurant_de_lalpage_45.6492_6.5649.json,custom
45.688328,6.562405,ov_les_9_neves_45.6883_6.5624,Les 9 Neves,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/les_9_neves_45.6883_6.5624.json,custom
45.686569,6.568120,ov_pizzeria_restaurant_bar__la_fringale_45.6866_6.5681,Pizzeria-Restaurant-Bar  La Fringale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/pizzeria-restaurant-bar_la_fringale_45.6866_6.5681.json,custom
45.686234,6.568993,ov_restaurant_l__toile_ar_ches_45.6862_6.5690,Restaurant L'étoile Arêches,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/restaurant_ltoile_arches_45.6862_6.5690.json,custom
45.694926,6.634845,ov_le_chalet_de_roselend_45.6949_6.6348,Le Chalet de Roselend,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/le_chalet_de_roselend_45.6949_6.6348.json,custom
45.669033,6.565887,ov_le_panoramique_45.6690_6.5659,Le panoramique,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/le_panoramique_45.6690_6.5659.json,custom
45.671819,6.540738,ov_le_monterminod_45.6718_6.5407,Le Monterminod,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/le_monterminod_45.6718_6.5407.json,custom
45.672009,6.541003,ov_le_telemark_45.6720_6.5410,Le Telemark,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/le_telemark_45.6720_6.5410.json,custom
45.672164,6.540172,ov_la_terrasse_d_isa_45.6722_6.5402,La terrasse d'ISA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/la_terrasse_disa_45.6722_6.5402.json,custom
45.657035,6.533475,ov_les_arolles_45.6570_6.5335,Les Arolles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/les_arolles_45.6570_6.5335.json,custom
45.725800,6.555433,ov_a_la_frite_qui_chante_45.7258_6.5554,A la Frite qui Chante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/a_la_frite_qui_chante_45.7258_6.5554.json,custom
45.707649,6.577912,ov_hotel_pension_viallet_45.7076_6.5779,Hotel Pension Viallet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/hotel_pension_viallet_45.7076_6.5779.json,custom
45.717102,6.575813,ov_la_table_du_berger_45.7171_6.5758,La table du berger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/beaufort/pages/la_table_du_berger_45.7171_6.5758.json,custom
