# lat,lng,id,name,building_type,type,url,page_type
# pisticci -- Tutti
40.390951,16.552579,ov_parafarmacia_dott_ssa_anna_pardo_40.3910_16.5526,Parafarmacia Dott.ssa Anna Pardo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/parafarmacia_dottssa_anna_pardo_40.3910_16.5526.json,custom
40.378520,16.739844,ov_la_locanda_sul_fiume_vecchio_40.3785_16.7398,La Locanda Sul Fiume Vecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/la_locanda_sul_fiume_vecchio_40.3785_16.7398.json,custom
40.372182,16.741619,ov_agriturismo_rayo_de_luna_40.3722_16.7416,Agriturismo Rayo de Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/agriturismo_rayo_de_luna_40.3722_16.7416.json,custom
40.362912,16.684331,ov_il_calanco_40.3629_16.6843,Il Calanco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/il_calanco_40.3629_16.6843.json,custom
40.362130,16.685044,ov_phoenix_food___drink_40.3621_16.6850,Phoenix food & drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/phoenix_food_drink_40.3621_16.6850.json,custom
40.361944,16.686678,ov_16__parallelo_40.3619_16.6867,16° Parallelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/16_parallelo_40.3619_16.6867.json,custom
40.361788,16.687351,ov_pizzeria_romeo_40.3618_16.6874,Pizzeria Romeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/pizzeria_romeo_40.3618_16.6874.json,custom
40.362001,16.688508,ov_pizza_snack_di_sisto_roberto_40.3620_16.6885,Pizza Snack di Sisto Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/pizza_snack_di_sisto_roberto_40.3620_16.6885.json,custom
40.362444,16.687138,ov_pizzasfizio_40.3624_16.6871,Pizzasfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/pizzasfizio_40.3624_16.6871.json,custom
40.362637,16.689554,ov_sottosopra__ristorante_pizzeria_antipast_40.3626_16.6896,SottoSopra  Ristorante Pizzeria Antipasteria Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/sottosopra_ristorante_pizzeria_antipaste_40.3626_16.6896.json,custom
40.360235,16.690250,ov_la_quercia_pisticci_40.3602_16.6903,La Quercia Pisticci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/la_quercia_pisticci_40.3602_16.6903.json,custom
40.360539,16.687047,ov_pizzeria_picasso_40.3605_16.6870,Pizzeria Picasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/pizzeria_picasso_40.3605_16.6870.json,custom
40.358335,16.683570,ov_anima_e_core_40.3583_16.6836,Anima E Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/anima_e_core_40.3583_16.6836.json,custom
40.358309,16.683576,ov_ristorante_ai_grani_antichi_40.3583_16.6836,Ristorante Ai Grani Antichi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/ristorante_ai_grani_antichi_40.3583_16.6836.json,custom
40.359170,16.647801,ov_pizzeria_la_ruota_40.3592_16.6478,Pizzeria La Ruota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/pizzeria_la_ruota_40.3592_16.6478.json,custom
40.367301,16.688221,ov_sfizi_di_carne_iorio_40.3673_16.6882,Sfizi Di Carne IORIO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/pisticci/pages/sfizi_di_carne_iorio_40.3673_16.6882.json,custom
