# lat,lng,id,name,building_type,type,url,page_type
# Moûtiers -- Tutti
45.484067,6.531908,ov_le_cardinal_45.4841_6.5319,Le Cardinal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_cardinal_45.4841_6.5319.json,custom
45.484040,6.533454,ov_le_bernadette_45.4840_6.5335,Le Bernadette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_bernadette_45.4840_6.5335.json,custom
45.482961,6.531843,ov_la_table_de_julie_45.4830_6.5318,La Table de Julie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/la_table_de_julie_45.4830_6.5318.json,custom
45.474270,6.528170,ov_restaurant_chez_gast_on_45.4743_6.5282,Restaurant Chez Gast'on,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/restaurant_chez_gaston_45.4743_6.5282.json,custom
45.484752,6.531382,osm_gustave_koba_45.4848_6.5314,Gustave koba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/gustave_koba_45.4848_6.5314.json,custom
45.485893,6.531412,osm_la_station_savoyarde_45.4859_6.5314,La Station savoyarde,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/la_station_savoyarde_45.4859_6.5314.json,custom
45.483502,6.530537,osm_le_rive_gauche_45.4835_6.5305,Le Rive Gauche,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_rive_gauche_45.4835_6.5305.json,custom
45.483711,6.532671,osm_la_valtellina_45.4837_6.5327,La Valtellina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/la_valtellina_45.4837_6.5327.json,custom
45.486313,6.531152,osm_les_3_vall_es_caf__45.4863_6.5312,Les 3 vallées café,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/les_3_valles_caf_45.4863_6.5312.json,custom
45.486212,6.531148,ov_les_3_vallees_cafe_45.4862_6.5311,Les 3 Vallees Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/les_3_vallees_cafe_45.4862_6.5311.json,custom
45.485814,6.531044,ov_la_bi_rerie_45.4858_6.5310,La Bièrerie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/la_birerie_45.4858_6.5310.json,custom
45.484537,6.530486,ov_art_factory_45.4845_6.5305,Art Factory,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/art_factory_45.4845_6.5305.json,custom
45.486890,6.525690,ov_haute_maurienne_45.4869_6.5257,Haute Maurienne,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/haute_maurienne_45.4869_6.5257.json,custom
45.483283,6.529378,ov_bar_des_3_vall_es_45.4833_6.5294,Bar Des 3 Vallées,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/bar_des_3_valles_45.4833_6.5294.json,custom
45.484200,6.531340,ov_le_bar___th__45.4842_6.5313,Le bar à thé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_bar_th_45.4842_6.5313.json,custom
45.485075,6.532017,osm_le_relais_des_stations_45.4851_6.5320,Le Relais des Stations,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_relais_des_stations_45.4851_6.5320.json,custom
45.484087,6.531900,osm_le_cardinal_45.4841_6.5319,Le Cardinal,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/le_cardinal_45.4841_6.5319.json,custom
45.486192,6.525992,osm_l_ecla_rose_45.4862_6.5260,L’Ecla’Rose,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/leclarose_45.4862_6.5260.json,custom
45.487814,6.529363,ov_l_orange_bleue_moutiers_45.4878_6.5294,L'Orange Bleue Moutiers,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/lorange_bleue_moutiers_45.4878_6.5294.json,custom
45.488202,6.529236,ov_snatch_45.4882_6.5292,Snatch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/snatch_45.4882_6.5292.json,custom
45.483300,6.533330,ov_ski_les_menuires_45.4833_6.5333,SKI LES Menuires,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/ski_les_menuires_45.4833_6.5333.json,custom
45.484020,6.529540,ov_tarentaise_gym_45.4840_6.5295,Tarentaise gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/tarentaise_gym_45.4840_6.5295.json,custom
45.482556,6.532820,ov_club_cano__kayak_asptt_45.4826_6.5328,Club Canoë Kayak ASPTT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/club_cano_kayak_asptt_45.4826_6.5328.json,custom
45.488193,6.529511,osm_snatch_crossfit_moutiers_45.4882_6.5295,Snatch CrossFit Moutiers,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/motiers/pages/snatch_crossfit_moutiers_45.4882_6.5295.json,custom
