# lat,lng,id,name,building_type,type,url,page_type
# Mignano Monte Lungo -- Tutti
41.407080,13.988270,ov_ambulatorio_infermieristico_mignano_mont_41.4071_13.9883,Ambulatorio Infermieristico Mignano Monte Lungo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/ambulatorio_infermieristico_mignano_mont_41.4071_13.9883.json,custom
41.430649,13.967997,ov_la_divina_41.4306_13.9680,La Divina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/la_divina_41.4306_13.9680.json,custom
41.404880,13.982990,ov_gustosi_in_corte_41.4049_13.9830,Gustosi in Corte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/gustosi_in_corte_41.4049_13.9830.json,custom
41.392058,13.993129,ov_agriturismo_i_castellucci_41.3921_13.9931,Agriturismo I Castellucci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/agriturismo_i_castellucci_41.3921_13.9931.json,custom
41.398011,13.997269,ov_allevamenti_montelungo_41.3980_13.9973,Allevamenti Montelungo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/allevamenti_montelungo_41.3980_13.9973.json,custom
41.402183,13.984732,ov_bacco_e_demetra_41.4022_13.9847,Bacco e Demetra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/bacco_e_demetra_41.4022_13.9847.json,custom
41.422469,13.928657,ov_minimarket_bar_moscuso_41.4225_13.9287,Minimarket/Bar Moscuso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/minimarketbar_moscuso_41.4225_13.9287.json,custom
41.403840,13.983740,ov_time_bar_41.4038_13.9837,Time Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/time_bar_41.4038_13.9837.json,custom
41.361743,14.037112,ov_caffetteria_la_dolce_vita_41.3617_14.0371,Caffetteria La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/caffetteria_la_dolce_vita_41.3617_14.0371.json,custom
41.392032,13.993083,ov_amici_bar_ice_kiss_kiss_41.3920_13.9931,Amici Bar Ice Kiss Kiss,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/amici_bar_ice_kiss_kiss_41.3920_13.9931.json,custom
41.402499,13.984668,ov_bar_paninoteca_dolcementesalato_41.4025_13.9847,Bar paninoteca DolcementeSalato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/bar_paninoteca_dolcementesalato_41.4025_13.9847.json,custom
41.407320,13.986102,ov_bar_montelungo_41.4073_13.9861,BAR Montelungo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/bar_montelungo_41.4073_13.9861.json,custom
41.404677,13.983249,ov_museo_delle_torture_e__fieramosca_mignan_41.4047_13.9832,Museo delle Torture E. Fieramosca Mignano Monte Lungo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/museo_delle_torture_e_fieramosca_mignano_41.4047_13.9832.json,custom
41.380402,13.967218,ov_historicus_41.3804_13.9672,Historicus,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/historicus_41.3804_13.9672.json,custom
41.392356,13.991273,ov_museo_storico_militare_mignano_monte_lun_41.3924_13.9913,Museo Storico Militare Mignano Monte Lungo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/mignano_monte_lungo/pages/museo_storico_militare_mignano_monte_lun_41.3924_13.9913.json,custom
