# lat,lng,id,name,building_type,type,url,page_type
# baragazza -- Tutti
44.129381,11.199643,osm_ristorante_abergo_bellavista_44.1294_11.1996,Ristorante Abergo Bellavista,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baragazza/pages/ristorante_abergo_bellavista_44.1294_11.1996.json,custom
44.129455,11.199787,osm_bellavista_44.1295_11.1998,Bellavista,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baragazza/pages/bellavista_44.1295_11.1998.json,custom
44.129704,11.199854,osm_centrale_44.1297_11.1999,Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baragazza/pages/centrale_44.1297_11.1999.json,custom
