# lat,lng,id,name,building_type,type,url,page_type
# Marano Vicentino -- Tutti
45.691858,11.444991,ov_ospedale_di_santorso_45.6919_11.4450,Ospedale Di Santorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/ospedale_di_santorso_45.6919_11.4450.json,custom
45.684674,11.455073,ov_la_meridiana_agriturismo_45.6847_11.4551,La Meridiana Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/la_meridiana_agriturismo_45.6847_11.4551.json,custom
45.691768,11.425985,ov_cuore_di_luca_brancati_45.6918_11.4260,Cuore di Luca Brancati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/cuore_di_luca_brancati_45.6918_11.4260.json,custom
45.697749,11.412488,ov_mexicali_45.6977_11.4125,Mexicali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/mexicali_45.6977_11.4125.json,custom
45.695273,11.429070,ov_civico_5_bar_trattoria_bruschetteria_45.6953_11.4291,Civico 5 Bar Trattoria Bruschetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/civico_5_bar_trattoria_bruschetteria_45.6953_11.4291.json,custom
45.696046,11.430437,ov_briscola_osteria_dinamica_45.6960_11.4304,Briscola osteria dinamica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/briscola_osteria_dinamica_45.6960_11.4304.json,custom
45.696878,11.433523,ov_lovelypizza_45.6969_11.4335,LovelyPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/lovelypizza_45.6969_11.4335.json,custom
45.693767,11.431298,ov_charlot_45.6938_11.4313,Charlot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/charlot_45.6938_11.4313.json,custom
45.692090,11.427925,ov_pizzeria_da_moreno_45.6921_11.4279,Pizzeria da Moreno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/pizzeria_da_moreno_45.6921_11.4279.json,custom
45.692169,11.429157,ov_bar_mutuo_soccorso_45.6922_11.4292,Bar Mutuo Soccorso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/bar_mutuo_soccorso_45.6922_11.4292.json,custom
45.692332,11.440240,ov_pizzeria_pizza_piu_45.6923_11.4402,Pizzeria Pizza Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/pizzeria_pizza_piu_45.6923_11.4402.json,custom
45.692425,11.440181,ov_gastronomia_e_rosticceria_rostichef_45.6924_11.4402,Gastronomia e Rosticceria RostiChef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/gastronomia_e_rosticceria_rostichef_45.6924_11.4402.json,custom
45.707497,11.420490,ov_le_anfore_ristorante_45.7075_11.4205,Le Anfore Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/le_anfore_ristorante_45.7075_11.4205.json,custom
45.704046,11.430839,ov_la_corte_di_villa_fioretti_45.7040_11.4308,La Corte di Villa Fioretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/la_corte_di_villa_fioretti_45.7040_11.4308.json,custom
45.704079,11.430974,osm_corte_di_villa_fioretti_45.7041_11.4310,Corte di Villa Fioretti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/corte_di_villa_fioretti_45.7041_11.4310.json,custom
45.691775,11.425910,osm_cuore_napoletano_45.6918_11.4259,Cuore Napoletano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/cuore_napoletano_45.6918_11.4259.json,custom
45.693784,11.431283,osm_bar_pizzeria_charlot_45.6938_11.4313,Bar Pizzeria Charlot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/bar_pizzeria_charlot_45.6938_11.4313.json,custom
45.679979,11.453960,ov_factory_cafe_45.6800_11.4540,Factory Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/factory_cafe_45.6800_11.4540.json,custom
45.691339,11.418441,ov_cutty_sark_scottish_pub_45.6913_11.4184,Cutty Sark Scottish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/cutty_sark_scottish_pub_45.6913_11.4184.json,custom
45.697087,11.433258,ov_birreria_al_ge_i_45.6971_11.4333,Birreria Al Ge'i,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/birreria_al_gei_45.6971_11.4333.json,custom
45.693314,11.430041,ov_bar_acli_45.6933_11.4300,Bar Acli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/marano_vicentino/pages/bar_acli_45.6933_11.4300.json,custom
