# lat,lng,id,name,building_type,type,url,page_type
# Lanusei -- Tutti
39.875967,9.543375,ov_pizzeria_il_capriccio_39.8760_9.5434,Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/pizzeria_il_capriccio_39.8760_9.5434.json,custom
39.869140,9.682245,ov_hotel_ristorante_pizzeria_bosco_selene_39.8691_9.6822,Hotel Ristorante Pizzeria Bosco Selene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/hotel_ristorante_pizzeria_bosco_selene_39.8691_9.6822.json,custom
39.880050,9.540265,osm_black_moon_bistrot_39.8800_9.5403,Black Moon Bistrot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/black_moon_bistrot_39.8800_9.5403.json,custom
39.877164,9.542433,ov_il_muretto_39.8772_9.5424,Il Muretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/il_muretto_39.8772_9.5424.json,custom
39.880184,9.536652,ov_bar_marcusei_39.8802_9.5367,Bar Marcusei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/bar_marcusei_39.8802_9.5367.json,custom
39.879100,9.541659,ov_bar_la_piazza_39.8791_9.5417,Bar La Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/bar_la_piazza_39.8791_9.5417.json,custom
39.878996,9.541048,ov_emporio_caffe_39.8790_9.5410,Emporio Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/emporio_caffe_39.8790_9.5410.json,custom
39.876764,9.548273,ov_bar_sa_caffettera_39.8768_9.5483,Bar Sa Caffettera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/bar_sa_caffettera_39.8768_9.5483.json,custom
39.874726,9.546080,ov_bar_civico_33_5_39.8747_9.5461,Bar Civico 33.5,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/bar_civico_335_39.8747_9.5461.json,custom
39.875872,9.545076,ov_bacco_39.8759_9.5451,Bacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/bacco_39.8759_9.5451.json,custom
39.880351,9.541140,ov_scuola_ballerina_39.8804_9.5411,Scuola Ballerina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/scuola_ballerina_39.8804_9.5411.json,custom
39.878095,9.542318,ov_museo_civico_franco_ferrai_lanusei_39.8781_9.5423,Museo Civico franco Ferrai Lanusei,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/museo_civico_franco_ferrai_lanusei_39.8781_9.5423.json,custom
39.880013,9.537552,ov_tribunale_di_lanusei_39.8800_9.5376,Tribunale di Lanusei,GOVERNMENT,ufficio_pubblico,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/tribunale_di_lanusei_39.8800_9.5376.json,custom
39.878073,9.541393,ov_biblioteca_comunale_lanusei_angelino_usa_39.8781_9.5414,Biblioteca Comunale Lanusei Angelino Usai,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lanusei/pages/biblioteca_comunale_lanusei_angelino_usa_39.8781_9.5414.json,custom
