# lat,lng,id,name,building_type,type,url,page_type
# Viagrande -- Tutti
37.607141,15.107175,ov_istituto_oncologico_del_mediterraneo_37.6071_15.1072,Istituto Oncologico del Mediterraneo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/istituto_oncologico_del_mediterraneo_37.6071_15.1072.json,custom
37.604535,15.095858,ov_pizzeria_perbacco_37.6045_15.0959,Pizzeria Perbacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/pizzeria_perbacco_37.6045_15.0959.json,custom
37.604765,15.098007,ov_ristorante_zenzero_del_grand_hotel_villa_37.6048_15.0980,Ristorante Zenzero del Grand Hotel Villa Itria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/ristorante_zenzero_del_grand_hotel_villa_37.6048_15.0980.json,custom
37.606780,15.096730,ov_xxl_sicilystreetfood_37.6068_15.0967,XXL SicilyStreetFood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/xxl_sicilystreetfood_37.6068_15.0967.json,custom
37.608033,15.096829,ov_racconti_di_sicilia_37.6080_15.0968,Racconti di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/racconti_di_sicilia_37.6080_15.0968.json,custom
37.609014,15.100092,ov_pizzeria_doppio_zero_37.6090_15.1001,Pizzeria Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/pizzeria_doppio_zero_37.6090_15.1001.json,custom
37.608648,15.097279,ov_salumeria_sapori_di_sicilia_37.6086_15.0973,Salumeria Sapori di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/salumeria_sapori_di_sicilia_37.6086_15.0973.json,custom
37.609063,15.097517,ov_pizzeria_sfizi_e_tradizioni_37.6091_15.0975,Pizzeria Sfizi e Tradizioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/pizzeria_sfizi_e_tradizioni_37.6091_15.0975.json,custom
37.609700,15.096009,ov_viagrande_pizzeria_bistrot_37.6097_15.0960,Viagrande Pizzeria Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/viagrande_pizzeria_bistrot_37.6097_15.0960.json,custom
37.609745,15.096626,ov_la_regina_del_mare_37.6097_15.0966,La Regina Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/la_regina_del_mare_37.6097_15.0966.json,custom
37.609797,15.096048,ov_antico_campanile_37.6098_15.0960,Antico Campanile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/viagrande/pages/antico_campanile_37.6098_15.0960.json,custom
