# lat,lng,id,name,building_type,type,url,page_type
# Lei -- Tutti
40.307270,8.920250,ov_s_hard_rock_cafe_lei_40.3073_8.9202,S’Hard Rock Cafe Lei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lei/pages/shard_rock_cafe_lei_40.3073_8.9202.json,custom
40.304741,8.920038,ov_biblioteca_comunale_di_lei_40.3047_8.9200,Biblioteca Comunale di Lei,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lei/pages/biblioteca_comunale_di_lei_40.3047_8.9200.json,custom
40.328040,8.958732,ov_comune_di_lei_biblioteca_comunale_40.3280_8.9587,Comune di Lei Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/lei/pages/comune_di_lei_biblioteca_comunale_40.3280_8.9587.json,custom
