# lat,lng,id,name,building_type,type,url,page_type
# Spinea -- Tutti
45.492114,12.169492,ov_pizzeria_el_canton_de_spinea_45.4921_12.1695,Pizzeria El Canton de Spinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzeria_el_canton_de_spinea_45.4921_12.1695.json,custom
45.494830,12.157601,ov_il_primo_negozio_ecologico_a_spinea__ve__45.4948_12.1576,Il Primo Negozio Ecologico A Spinea (Ve),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/il_primo_negozio_ecologico_a_spinea_ve_45.4948_12.1576.json,custom
45.492245,12.163342,ov_bar_eden_45.4922_12.1633,Bar Eden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_eden_45.4922_12.1633.json,custom
45.492252,12.163354,ov_pizzeria_amore_45.4923_12.1634,Pizzeria Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzeria_amore_45.4923_12.1634.json,custom
45.492158,12.163441,ov_humi_sushi_45.4922_12.1634,Humi Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/humi_sushi_45.4922_12.1634.json,custom
45.491448,12.163913,ov_prego_pizza_e_vino_45.4914_12.1639,Prego Pizza e Vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/prego_pizza_e_vino_45.4914_12.1639.json,custom
45.491217,12.168343,ov_payer_microsteria_45.4912_12.1683,PAYER micrOsteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/payer_microsteria_45.4912_12.1683.json,custom
45.490747,12.167736,ov_turkish_kebab_and_pizza_45.4907_12.1677,Turkish Kebab and Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/turkish_kebab_and_pizza_45.4907_12.1677.json,custom
45.491341,12.164203,ov_al_bacaro_sconto_45.4913_12.1642,Al Bacaro Sconto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/al_bacaro_sconto_45.4913_12.1642.json,custom
45.489884,12.165369,ov_ristorante_pizzeria_pulcinella_45.4899_12.1654,Ristorante Pizzeria Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/ristorante_pizzeria_pulcinella_45.4899_12.1654.json,custom
45.490338,12.166678,ov_al_calice_divino_45.4903_12.1667,Al Calice DiVino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/al_calice_divino_45.4903_12.1667.json,custom
45.489933,12.168242,ov_okiddo_sushi_spinea_45.4899_12.1682,OKIDDO sushi spinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/okiddo_sushi_spinea_45.4899_12.1682.json,custom
45.488742,12.166828,ov_pizzalonga_away_spinea_45.4887_12.1668,Pizzalonga Away Spinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzalonga_away_spinea_45.4887_12.1668.json,custom
45.489603,12.152524,ov_pizzus_45.4896_12.1525,Pizzus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzus_45.4896_12.1525.json,custom
45.489614,12.152404,ov_la_gustosa_spinea___pizzeria_e_kebab_45.4896_12.1524,La Gustosa Spinea - Pizzeria e Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/la_gustosa_spinea_-_pizzeria_e_kebab_45.4896_12.1524.json,custom
45.488618,12.149770,ov_da_gelindo_45.4886_12.1498,Da Gelindo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/da_gelindo_45.4886_12.1498.json,custom
45.489753,12.150866,ov_pizzeria_d_alessio_45.4898_12.1509,Pizzeria D'Alessio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzeria_dalessio_45.4898_12.1509.json,custom
45.489850,12.152420,ov_speedy_pizza_srl_semplificata_45.4898_12.1524,Speedy Pizza Srl Semplificata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/speedy_pizza_srl_semplificata_45.4898_12.1524.json,custom
45.494752,12.135848,ov_pizzeria_al_sole_45.4948_12.1358,Pizzeria al Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzeria_al_sole_45.4948_12.1358.json,custom
45.494878,12.135709,ov_trattoria_pizzeria_al_sole_45.4949_12.1357,Trattoria Pizzeria al Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/trattoria_pizzeria_al_sole_45.4949_12.1357.json,custom
45.495203,12.136449,ov_gusto_napoletano_45.4952_12.1364,Gusto Napoletano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/gusto_napoletano_45.4952_12.1364.json,custom
45.495391,12.135802,ov_mikipizza_spinea_45.4954_12.1358,MikiPizza Spinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/mikipizza_spinea_45.4954_12.1358.json,custom
45.499046,12.150769,ov_terra_mia_45.4990_12.1508,Terra Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/terra_mia_45.4990_12.1508.json,custom
45.496735,12.157022,ov_ginnastica_dinamica_militare__spinea_45.4967_12.1570,Ginnastica Dinamica Militare  Spinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/ginnastica_dinamica_militare_spinea_45.4967_12.1570.json,custom
45.495536,12.151602,ov_pizzeria_barone_rosso_45.4955_12.1516,Pizzeria Barone Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pizzeria_barone_rosso_45.4955_12.1516.json,custom
