# lat,lng,id,name,building_type,type,url,page_type
# riolo_terme -- Tutti
44.273410,11.720574,ov_timorso_44.2734_11.7206,TiMorso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/timorso_44.2734_11.7206.json,custom
44.275296,11.722645,ov_cantine_antica_grotta_44.2753_11.7226,Cantine Antica Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/cantine_antica_grotta_44.2753_11.7226.json,custom
44.275309,11.722883,ov_castelluccia_rocco_44.2753_11.7229,Castelluccia Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/castelluccia_rocco_44.2753_11.7229.json,custom
44.275958,11.722486,ov_vecchia_osteria_del_mercato_44.2760_11.7225,Vecchia Osteria del Mercato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/vecchia_osteria_del_mercato_44.2760_11.7225.json,custom
44.275125,11.722821,ov_trattoria_da_giovanna_44.2751_11.7228,Trattoria Da Giovanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/trattoria_da_giovanna_44.2751_11.7228.json,custom
44.274659,11.722211,ov_ristorante_dei_cardinali_44.2747_11.7222,Ristorante Dei Cardinali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/ristorante_dei_cardinali_44.2747_11.7222.json,custom
44.271400,11.715164,ov_la_baracchina_riolo_terme_44.2714_11.7152,La Baracchina Riolo Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/la_baracchina_riolo_terme_44.2714_11.7152.json,custom
44.274113,11.722289,osm_i_pini_44.2741_11.7223,I pini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/i_pini_44.2741_11.7223.json,custom
44.260768,11.708410,osm_chiosco_rio_brado_44.2608_11.7084,Chiosco Rio Brado,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/chiosco_rio_brado_44.2608_11.7084.json,custom
44.275887,11.722617,osm_vecchia_osteria_del_mercato_44.2759_11.7226,Vecchia Osteria del Mercato,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/vecchia_osteria_del_mercato_44.2759_11.7226.json,custom
43.972694,12.375911,ov_bucolica_wine_garden_43.9727_12.3759,Bucolica Wine Garden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/bucolica_wine_garden_43.9727_12.3759.json,custom
44.263050,11.673933,ov_bar_quelli_che____44.2631_11.6739,Bar Quelli Che...,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/bar_quelli_che_44.2631_11.6739.json,custom
44.275573,11.721908,ov_torrino_wine_bar_44.2756_11.7219,Torrino Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/torrino_wine_bar_44.2756_11.7219.json,custom
44.275479,11.723159,ov_caffe_del_corso_44.2755_11.7232,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/caffe_del_corso_44.2755_11.7232.json,custom
44.275599,11.723762,ov_bar_la_galleria_44.2756_11.7238,Bar La Galleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/bar_la_galleria_44.2756_11.7238.json,custom
44.275723,11.725342,ov_caff__ricevitoria_playa_44.2757_11.7253,Caffè Ricevitoria Playa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/caff_ricevitoria_playa_44.2757_11.7253.json,custom
44.272297,11.721304,ov_bar_firenze_44.2723_11.7213,Bar Firenze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/bar_firenze_44.2723_11.7213.json,custom
44.271813,11.720768,ov_zappi_s_cafe_44.2718_11.7208,Zappi’s Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/zappis_cafe_44.2718_11.7208.json,custom
44.274227,11.661142,ov_asd_casagobba_scuola_di_equitazione_44.2742_11.6611,Asd Casagobba Scuola di Equitazione,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/asd_casagobba_scuola_di_equitazione_44.2742_11.6611.json,custom
44.276556,11.739223,ov_green_fit_training_garden_asd_44.2766_11.7392,Green Fit Training Garden ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/green_fit_training_garden_asd_44.2766_11.7392.json,custom
44.278474,11.727859,ov_polivalente_44.2785_11.7279,Polivalente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/polivalente_44.2785_11.7279.json,custom
44.271355,11.718661,ov_il_pozzo___pista_rc_off_44.2714_11.7187,Il Pozzo - Pista RC Off,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/il_pozzo_-_pista_rc_off_44.2714_11.7187.json,custom
44.271790,11.720750,ov_zappi_international_cycling_club_44.2718_11.7208,Zappi International Cycling Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/zappi_international_cycling_club_44.2718_11.7208.json,custom
44.275393,11.722404,ov_rocca_di_riolo_terme_44.2754_11.7224,Rocca Di Riolo Terme,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/rocca_di_riolo_terme_44.2754_11.7224.json,custom
44.277711,11.726591,ov_biblioteca_comunale_di_riolo_terme_44.2777_11.7266,Biblioteca Comunale di Riolo Terme,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/riolo_terme/pages/biblioteca_comunale_di_riolo_terme_44.2777_11.7266.json,custom
