# lat,lng,id,name,building_type,type,url,page_type
# Rottofreno -- Tutti
45.046910,9.606426,ov_ospedale_piacenza_45.0469_9.6064,Ospedale Piacenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ospedale_piacenza_45.0469_9.6064.json,custom
44.911474,9.519515,ov_al_torrazzo_da_marco_e_peppe_44.9115_9.5195,Al Torrazzo da Marco e Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/al_torrazzo_da_marco_e_peppe_44.9115_9.5195.json,custom
45.078939,9.567735,ov_la_tana_del_gusto_45.0789_9.5677,La Tana del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/la_tana_del_gusto_45.0789_9.5677.json,custom
45.068868,9.565942,ov_trattoria_braghieri_45.0689_9.5659,Trattoria Braghieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/trattoria_braghieri_45.0689_9.5659.json,custom
45.057333,9.552363,ov_botteri_sementi_45.0573_9.5524,Botteri Sementi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/botteri_sementi_45.0573_9.5524.json,custom
45.057983,9.548715,ov_ristorante_pizzeria_la_mamma_45.0580_9.5487,Ristorante Pizzeria La Mamma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ristorante_pizzeria_la_mamma_45.0580_9.5487.json,custom
45.058112,9.549656,ov_osteria_pomice_45.0581_9.5497,Osteria Pomice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/osteria_pomice_45.0581_9.5497.json,custom
45.057816,9.539763,ov_osteria_pomice_45.0578_9.5398,Osteria Pomice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/osteria_pomice_45.0578_9.5398.json,custom
45.043239,9.605035,ov_antica_trattoria_la_noce_45.0432_9.6050,Antica Trattoria La Noce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/antica_trattoria_la_noce_45.0432_9.6050.json,custom
45.051630,9.610280,ov_spazio24asd_nicola_zucca_45.0516_9.6103,Spazio24asd Nicola Zucca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/spazio24asd_nicola_zucca_45.0516_9.6103.json,custom
45.051300,9.604380,ov_dalfruttarolo_45.0513_9.6044,DalFruttarolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/dalfruttarolo_45.0513_9.6044.json,custom
45.052995,9.607507,ov_l_amalfitana_45.0530_9.6075,L'Amalfitana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/lamalfitana_45.0530_9.6075.json,custom
45.052262,9.611105,ov_supergnam_45.0523_9.6111,Supergnam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/supergnam_45.0523_9.6111.json,custom
45.051808,9.603295,ov_oro_nero_45.0518_9.6033,Oro Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/oro_nero_45.0518_9.6033.json,custom
45.055590,9.602937,ov_ristorante_pizzeria_airone_45.0556_9.6029,Ristorante Pizzeria Airone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ristorante_pizzeria_airone_45.0556_9.6029.json,custom
45.056260,9.601630,ov_ristorante_da_jenny_45.0563_9.6016,Ristorante Da Jenny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/rottofreno/pages/ristorante_da_jenny_45.0563_9.6016.json,custom
