# lat,lng,id,name,building_type,type,url,page_type
# Lentate sul Seveso -- Tutti
45.674050,9.117960,ov_prosopon_centro_medico_polispecialistico_45.6741_9.1180,Prosopon Centro Medico Polispecialistico e Fisioterapico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/prosopon_centro_medico_polispecialistico_45.6741_9.1180.json,custom
45.684235,9.111419,ov_donerland_45.6842_9.1114,Donerland,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/donerland_45.6842_9.1114.json,custom
45.690806,9.104869,ov_mcdonald_s_45.6908_9.1049,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/mcdonalds_45.6908_9.1049.json,custom
45.692045,9.103968,ov_roadhouse_restaurant_45.6920_9.1040,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/roadhouse_restaurant_45.6920_9.1040.json,custom
45.691690,9.105970,ov_da_nonna_marcella_45.6917_9.1060,Da Nonna Marcella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/da_nonna_marcella_45.6917_9.1060.json,custom
45.692250,9.102830,ov_burger_king_45.6923_9.1028,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/burger_king_45.6923_9.1028.json,custom
45.690103,9.107543,ov_doppio_malto_45.6901_9.1075,Doppio Malto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/doppio_malto_45.6901_9.1075.json,custom
45.687589,9.110019,ov_osteria_pizzeria_boscaccio_45.6876_9.1100,Osteria pizzeria Boscaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/osteria_pizzeria_boscaccio_45.6876_9.1100.json,custom
45.687540,9.109920,ov_la_taverna_di_ciccio_45.6875_9.1099,La taverna di Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/la_taverna_di_ciccio_45.6875_9.1099.json,custom
45.689061,9.150292,ov_brugola_e_pachino_45.6891_9.1503,Brugola e Pachino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/brugola_e_pachino_45.6891_9.1503.json,custom
45.684186,9.137569,ov_cascina_galeazzo_di_fratelli_capoferri_45.6842_9.1376,Cascina Galeazzo Di Fratelli Capoferri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/cascina_galeazzo_di_fratelli_capoferri_45.6842_9.1376.json,custom
45.685464,9.119850,ov_antica_locanda_la_lombarda_45.6855_9.1199,Antica Locanda La Lombarda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/antica_locanda_la_lombarda_45.6855_9.1199.json,custom
45.677297,9.115014,ov_giardino_d_oriente_lentate_sul_seveso_45.6773_9.1150,Giardino D'oriente Lentate sul Seveso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/giardino_doriente_lentate_sul_seveso_45.6773_9.1150.json,custom
45.677195,9.115626,ov_burger_king_italia_45.6772_9.1156,Burger King Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/burger_king_italia_45.6772_9.1156.json,custom
45.677010,9.115770,ov_pizza_ok_45.6770_9.1158,Pizza Ok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizza_ok_45.6770_9.1158.json,custom
45.677679,9.120248,ov_team_caf__45.6777_9.1202,Team Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/team_caf_45.6777_9.1202.json,custom
45.678237,9.121364,ov_poke_corner_lentate_45.6782_9.1214,Poke Corner Lentate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/poke_corner_lentate_45.6782_9.1214.json,custom
45.677366,9.130236,ov_zest_lentate_45.6774_9.1302,Zest Lentate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/zest_lentate_45.6774_9.1302.json,custom
45.668456,9.127990,ov_pizzeria_d_asporto_sara_45.6685_9.1280,Pizzeria D'Asporto Sara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizzeria_dasporto_sara_45.6685_9.1280.json,custom
45.666747,9.122487,ov_pizzeria_zio_sam_45.6667_9.1225,Pizzeria Zio Sam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizzeria_zio_sam_45.6667_9.1225.json,custom
45.673102,9.115805,ov_il_ranuncolo_45.6731_9.1158,Il Ranuncolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/il_ranuncolo_45.6731_9.1158.json,custom
45.676645,9.127001,ov_pizza_express_45.6766_9.1270,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizza_express_45.6766_9.1270.json,custom
45.675190,9.113690,ov_o_scugnizziell_45.6752_9.1137,O scugnizziell,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/o_scugnizziell_45.6752_9.1137.json,custom
45.675499,9.108071,ov_altegroane_lounge_restaurant_bar_45.6755_9.1081,Altegroane Lounge Restaurant-Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/altegroane_lounge_restaurant-bar_45.6755_9.1081.json,custom
45.669921,9.104336,ov_il_rifugio_45.6699_9.1043,Il Rifugio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/il_rifugio_45.6699_9.1043.json,custom
45.661031,9.126194,ov_sushi_time__lentate_sul_seveso_45.6610_9.1262,Sushi Time -Lentate Sul Seveso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/sushi_time_-lentate_sul_seveso_45.6610_9.1262.json,custom
45.690611,9.104493,osm_mcdonald_s_45.6906_9.1045,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/mcdonalds_45.6906_9.1045.json,custom
45.684312,9.111527,osm_d_nerland_45.6843_9.1115,Dönerland,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/dnerland_45.6843_9.1115.json,custom
45.677326,9.114938,osm_il_giardino_d_oriente_45.6773_9.1149,Il giardino d'oriente,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/il_giardino_doriente_45.6773_9.1149.json,custom
45.662909,9.106367,osm_azienda_agricola_la_botanica_45.6629_9.1064,Azienda Agricola La Botanica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/azienda_agricola_la_botanica_45.6629_9.1064.json,custom
45.687558,9.104499,osm_pizzeria_assia_choukhmane_abdessamad_45.6876_9.1045,Pizzeria Assia Choukhmane Abdessamad,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizzeria_assia_choukhmane_abdessamad_45.6876_9.1045.json,custom
45.688611,9.108869,osm_osteria__45.6886_9.1089,Osteria!,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/osteria_45.6886_9.1089.json,custom
45.678869,9.114481,osm_pizza_ok_45.6789_9.1145,Pizza Ok,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pizza_ok_45.6789_9.1145.json,custom
45.690104,9.107449,osm_doppio_malto_45.6901_9.1074,Doppio Malto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/doppio_malto_45.6901_9.1074.json,custom
45.678154,9.121453,osm_poke_corner_45.6782_9.1215,Poke corner,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/poke_corner_45.6782_9.1215.json,custom
45.673043,9.115829,osm_ristorante_il_ranuncolo_45.6730_9.1158,Ristorante Il ranuncolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/ristorante_il_ranuncolo_45.6730_9.1158.json,custom
45.681302,9.113001,ov_bar_bisc_45.6813_9.1130,Bar Bisc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_bisc_45.6813_9.1130.json,custom
45.692392,9.103061,ov_rom_antica_lentate_45.6924_9.1031,Rom'antica Lentate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/romantica_lentate_45.6924_9.1031.json,custom
45.687591,9.104819,ov_bar_damatra_45.6876_9.1048,Bar Damatra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_damatra_45.6876_9.1048.json,custom
45.680537,9.118137,ov_bar_code_45.6805_9.1181,Bar code,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/bar_code_45.6805_9.1181.json,custom
45.678753,9.122286,ov_birreria_con_cucina_dal_talla_45.6788_9.1223,Birreria con cucina dal Talla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/birreria_con_cucina_dal_talla_45.6788_9.1223.json,custom
45.667824,9.128396,ov_pub_penelope_45.6678_9.1284,Pub Penelope,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/pub_penelope_45.6678_9.1284.json,custom
45.668552,9.128607,ov_new_bar_di_glorini_matilde_45.6686_9.1286,New Bar Di Glorini Matilde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/new_bar_di_glorini_matilde_45.6686_9.1286.json,custom
45.676513,9.126969,ov_the_winemaker___enoteca_con_degustazione_45.6765_9.1270,The WineMaker - Enoteca con degustazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/the_winemaker_-_enoteca_con_degustazione_45.6765_9.1270.json,custom
45.675458,9.108540,ov_l_altro_al_di_vino_45.6755_9.1085,L'Altro al Di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/lentate_sul_seveso/pages/laltro_al_di_vino_45.6755_9.1085.json,custom
