# lat,lng,id,name,building_type,type,url,page_type
# silvi -- Tutti
42.575776,14.095423,osm_croce_rossa_italiana___118_42.5758_14.0954,Croce Rossa Italiana - 118,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/croce_rossa_italiana_-_118_42.5758_14.0954.json,custom
42.563805,14.062934,ov_ristorante_pizzeria_gallonero_42.5638_14.0629,Ristorante Pizzeria Gallonero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_pizzeria_gallonero_42.5638_14.0629.json,custom
42.566424,14.102782,ov_bar_dei_fiori_42.5664_14.1028,Bar dei fiori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/bar_dei_fiori_42.5664_14.1028.json,custom
42.567806,14.103430,ov_ristorante_altri_tempi_presso_hoteltuoma_42.5678_14.1034,Ristorante Altri Tempi presso Hoteltuomare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/ristorante_altri_tempi_presso_hoteltuoma_42.5678_14.1034.json,custom
42.569930,14.101870,ov_brezza_42.5699_14.1019,Brezza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/brezza_42.5699_14.1019.json,custom
42.568153,14.101065,ov_al_sorriso_42.5682_14.1011,Al Sorriso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/al_sorriso_42.5682_14.1011.json,custom
42.568153,14.101065,ov_movielink_42.5682_14.1011,Movielink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/movielink_42.5682_14.1011.json,custom
42.564899,14.093211,ov_osteria_della_loggia_42.5649_14.0932,Osteria della Loggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/osteria_della_loggia_42.5649_14.0932.json,custom
42.564788,14.093072,ov_alba_street_food_42.5648_14.0931,ALBA street food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/alba_street_food_42.5648_14.0931.json,custom
42.564834,14.093052,ov_siamo_fritti_42.5648_14.0931,Siamo Fritti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/siamo_fritti_42.5648_14.0931.json,custom
42.564638,14.092674,ov_taverna_ferretti_42.5646_14.0927,Taverna Ferretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/taverna_ferretti_42.5646_14.0927.json,custom
42.564938,14.091428,ov_borgo_24_42.5649_14.0914,Borgo 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/silvi/pages/borgo_24_42.5649_14.0914.json,custom
