# lat,lng,id,name,building_type,type,url,page_type
# torre_boldone -- Tutti
45.718369,9.707663,ov_rsa_torre_boldone_45.7184_9.7077,RSA Torre Boldone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/rsa_torre_boldone_45.7184_9.7077.json,custom
45.725488,9.700753,ov_don_luis_ristorante_45.7255_9.7008,Don Luis Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/don_luis_ristorante_45.7255_9.7008.json,custom
45.722680,9.695787,ov_papillon_45.7227_9.6958,Papillon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/papillon_45.7227_9.6958.json,custom
45.719630,9.712050,ov_myshibuya_sushi_point_45.7196_9.7120,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/myshibuya_sushi_point_45.7196_9.7120.json,custom
45.718601,9.706168,ov_pizzeria_al_portico_45.7186_9.7062,Pizzeria Al Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/pizzeria_al_portico_45.7186_9.7062.json,custom
45.713497,9.709949,ov_trattoria_casoncelli_45.7135_9.7099,Trattoria Casoncelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/trattoria_casoncelli_45.7135_9.7099.json,custom
45.712987,9.704091,ov_into_the_woods_45.7130_9.7041,Into the Woods,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/into_the_woods_45.7130_9.7041.json,custom
45.715298,9.705384,ov_buona_pizza_di_harizi_hamid_45.7153_9.7054,Buona Pizza di Harizi Hamid,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/buona_pizza_di_harizi_hamid_45.7153_9.7054.json,custom
45.715705,9.705965,ov_pizzeria_torre_centro___torre_boldone_45.7157_9.7060,Pizzeria Torre Centro - Torre Boldone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/pizzeria_torre_centro_-_torre_boldone_45.7157_9.7060.json,custom
45.715653,9.705486,ov_piada_19_45.7157_9.7055,PIADA 19,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/piada_19_45.7157_9.7055.json,custom
45.718300,9.705540,ov_rosticceria_riscio_45.7183_9.7055,Rosticceria Riscio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/torre_boldone/pages/rosticceria_riscio_45.7183_9.7055.json,custom
