# lat,lng,id,name,building_type,type,url,page_type
# Thiesi -- Tutti
40.522459,8.714497,ov_thiesi_ospedale_40.5225_8.7145,Thiesi Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/thiesi_ospedale_40.5225_8.7145.json,custom
40.523078,8.714978,ov_ristorante_mediterraneo_40.5231_8.7150,Ristorante Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/ristorante_mediterraneo_40.5231_8.7150.json,custom
40.531086,8.720532,ov_hotel_ristorante_pizzeria_il_cavallino_r_40.5311_8.7205,Hotel Ristorante Pizzeria Il Cavallino Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/hotel_ristorante_pizzeria_il_cavallino_r_40.5311_8.7205.json,custom
40.524495,8.719875,ov_la_dea_madre_40.5245_8.7199,La Dea Madre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/la_dea_madre_40.5245_8.7199.json,custom
40.523933,8.718937,ov_pizzeria_carrela_manna_40.5239_8.7189,Pizzeria Carrela Manna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/pizzeria_carrela_manna_40.5239_8.7189.json,custom
40.522871,8.721384,ov_ai_carrubi_40.5229_8.7214,Ai Carrubi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/ai_carrubi_40.5229_8.7214.json,custom
40.516520,8.729843,ov_casafadda_1886_tradizioni_a_tavola_40.5165_8.7298,CasaFadda 1886 Tradizioni a Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/casafadda_1886_tradizioni_a_tavola_40.5165_8.7298.json,custom
40.524188,8.714367,ov_bar_caffetteria_da_dario_40.5242_8.7144,Bar Caffetteria Da Dario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/bar_caffetteria_da_dario_40.5242_8.7144.json,custom
40.521633,8.712709,ov_bar_seunis_40.5216_8.7127,Bar Seunis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/bar_seunis_40.5216_8.7127.json,custom
40.523739,8.717471,ov_bar_massidda_40.5237_8.7175,Bar Massidda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/bar_massidda_40.5237_8.7175.json,custom
40.524776,8.720260,ov_bar_cafe_umberto_40.5248_8.7203,Bar Cafe Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/bar_cafe_umberto_40.5248_8.7203.json,custom
40.524954,8.718900,ov_birrificio_isola_40.5250_8.7189,Birrificio Isola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/birrificio_isola_40.5250_8.7189.json,custom
40.525618,8.719893,ov_il_semaforo_rosso_40.5256_8.7199,Il Semaforo Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/il_semaforo_rosso_40.5256_8.7199.json,custom
40.524490,8.719859,ov_bar_tabacchi_tore_sport_40.5245_8.7199,Bar Tabacchi Tore Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/bar_tabacchi_tore_sport_40.5245_8.7199.json,custom
40.524305,8.719850,ov_il_baretto_40.5243_8.7199,Il Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/il_baretto_40.5243_8.7199.json,custom
40.524218,8.719933,ov_fuori_corso_caf__40.5242_8.7199,FUORI CORSO cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/fuori_corso_caf_40.5242_8.7199.json,custom
40.534611,8.646952,ov_the_picciri_s_pub_40.5346_8.6470,The Picciri's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/the_picciris_pub_40.5346_8.6470.json,custom
40.522140,8.714930,ov_davide_raga_fitness_bodybuilding_coach_40.5221_8.7149,Davide Raga Fitness&Bodybuilding Coach,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/davide_raga_fitnessbodybuilding_coach_40.5221_8.7149.json,custom
40.531273,8.720295,ov_move_athletic_club_40.5313_8.7203,Move Athletic Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/move_athletic_club_40.5313_8.7203.json,custom
40.534968,8.666584,ov_protonuraghe_fronte_mola_40.5350_8.6666,Protonuraghe Fronte Mola,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/thiesi/pages/protonuraghe_fronte_mola_40.5350_8.6666.json,custom
