# lat,lng,id,name,building_type,type,url,page_type
# Casagiove -- Tutti
41.050749,14.421639,ov_centro_medico_hermes_41.0507_14.4216,Centro Medico Hermes,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/centro_medico_hermes_41.0507_14.4216.json,custom
41.065531,14.310356,ov_italian_food___kebab_41.0655_14.3104,Italian food & kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/italian_food_kebab_41.0655_14.3104.json,custom
41.073411,14.302915,ov_la_cucina_di_ciuffiello_41.0734_14.3029,La Cucina Di Ciuffiello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/la_cucina_di_ciuffiello_41.0734_14.3029.json,custom
41.073228,14.302779,ov_t_bone_ristoranti_41.0732_14.3028,T-Bone ristoranti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/t-bone_ristoranti_41.0732_14.3028.json,custom
41.078039,14.307100,ov_le_quattro_fontane_41.0780_14.3071,Le Quattro Fontane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/le_quattro_fontane_41.0780_14.3071.json,custom
41.073302,14.306648,ov_royal_brothers_41.0733_14.3066,Royal brothers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/royal_brothers_41.0733_14.3066.json,custom
41.073169,14.306134,ov_appia_antica_41.0732_14.3061,Appia Antica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/appia_antica_41.0732_14.3061.json,custom
41.073112,14.307308,ov_soul_express_licapizza_41.0731_14.3073,Soul Express Licapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/soul_express_licapizza_41.0731_14.3073.json,custom
41.073018,14.307877,ov_live_caserta_41.0730_14.3079,Live Caserta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/live_caserta_41.0730_14.3079.json,custom
41.073040,14.308820,ov_dar_bottarolo_caserta_41.0730_14.3088,Dar Bottarolo Caserta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/dar_bottarolo_caserta_41.0730_14.3088.json,custom
41.072932,14.309851,ov_o__cerasiello_trattoria_e_pizzeria_napol_41.0729_14.3099,O' Cerasiello Trattoria e Pizzeria Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/o_cerasiello_trattoria_e_pizzeria_napole_41.0729_14.3099.json,custom
41.072843,14.310527,ov_ristopollo_41.0728_14.3105,Ristopollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/ristopollo_41.0728_14.3105.json,custom
41.072950,14.309535,ov_ristorante_pizzeria_plaza_41.0729_14.3095,Ristorante Pizzeria Plaza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/ristorante_pizzeria_plaza_41.0729_14.3095.json,custom
41.084321,14.307615,ov_pizzeria_il_nuovo_millennio_41.0843_14.3076,Pizzeria il Nuovo Millennio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_il_nuovo_millennio_41.0843_14.3076.json,custom
41.078776,14.310585,ov_pizzeria_il_tronchetto_41.0788_14.3106,Pizzeria Il Tronchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizzeria_il_tronchetto_41.0788_14.3106.json,custom
41.076272,14.310813,ov_pummarulee_41.0763_14.3108,pummarulee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pummarulee_41.0763_14.3108.json,custom
41.076209,14.310909,ov_pizza_express_41.0762_14.3109,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/pizza_express_41.0762_14.3109.json,custom
41.072859,14.312229,ov_i_tre_reali_41.0729_14.3122,I Tre Reali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/casagiove/pages/i_tre_reali_41.0729_14.3122.json,custom
