# lat,lng,citta,slug,ospedali,ristoranti,bar_cafe,palestre,monumenti
37.966961,13.725444,90018 Termini Imerese (PA),90018_termini_imerese_pa,0,3,0,0,0
38.186299,13.105231,90045 Cinisi (PA),90045_cinisi_pa,0,1,0,0,0
38.207121,13.325652,90151,90151,0,1,0,0,0
37.578481,14.339507,94100 Enna,94100_enna,0,2,0,0,0
37.470303,15.067554,95121 Catania,95121_catania,0,1,0,0,0
38.053470,14.602344,98010 Acquedolci (ME),98010_acquedolci_me,0,1,0,0,0
38.182060,15.253520,98057 Milazzo (ME),98057_milazzo_me,0,1,0,0,0
37.015988,14.477073,Acate,acate,0,20,9,6,0
37.598254,15.107003,Aci Bonaccorsi,aci_bonaccorsi,0,9,7,5,0
37.556015,15.147428,Aci Castello,aci_castello,0,78,26,25,7
37.591880,15.141179,Aci Catena,aci_catena,2,28,24,8,2
37.613834,15.123273,Aci Sant'Antonio,aci_santantonio,0,27,15,11,2
37.535416,15.126528,Acicastello,acicastello,0,1,0,0,0
37.614783,15.162866,Acireale,acireale,8,183,91,50,7
37.572688,13.702275,Acquaviva Platani,acquaviva_platani,0,0,2,0,0
38.055919,14.585164,Acquedolci,acquedolci,0,9,15,1,2
37.664415,14.836111,Adrano,adrano,1,32,25,7,0
37.642534,14.523658,Agira,agira,0,15,18,2,0
37.294774,13.593497,Agrigento,agrigento,4,174,97,30,19
37.310744,13.583479,Agrigento AG,agrigento_ag,0,1,0,0,0
37.419757,14.449852,Aidone,aidone,0,8,5,0,3
38.026867,15.416961,Alì,al,0,0,1,0,0
38.003492,15.422027,Alì Terme,al_terme,0,7,2,1,0
37.983520,12.962407,Alcamo,alcamo,5,110,69,28,7
38.019920,14.700262,Alcara Li Fusi,alcara_li_fusi,0,4,4,0,0
37.567613,13.452376,Alessandria della Rocca,alessandria_della_rocca,0,6,2,0,0
37.773318,13.719276,Alia,alia,0,3,3,2,0
37.693538,14.113856,Alimena,alimena,0,4,0,1,0
37.864088,13.782012,Aliminusa,aliminusa,0,0,1,0,0
38.038221,13.555673,Altavilla Milicia,altavilla_milicia,0,17,10,9,1
38.043303,13.302886,Altofonte,altofonte,0,8,5,4,0
37.974623,15.249173,Antillo,antillo,0,1,0,0,0
37.400995,13.620061,Aragona,aragona,0,18,12,4,4
37.620997,14.431561,Assoro,assoro,0,5,5,3,1
37.250653,15.208052,Augusta,augusta,1,80,56,25,5
36.911171,15.137765,Avola,avola,5,90,52,11,2
38.083523,13.506727,Bagheria,bagheria,8,140,69,45,9
38.025168,12.790124,Balata di Baida,balata_di_baida,0,0,1,0,0
38.050627,13.005327,Balestrate,balestrate,0,29,16,3,0
38.122876,15.207650,Barcellona-Pozzo di Gotto,barcellona-pozzo_di_gotto,0,0,0,1,0
38.149180,15.212026,Barcellona Pozzo di Gotto,barcellona_pozzo_di_gotto,5,79,49,34,6
37.378755,14.204791,Barrafranca,barrafranca,0,19,17,4,0
38.064490,15.064672,Basicò,basic,0,0,1,2,0
37.924194,13.536684,Baucina,baucina,0,2,2,0,0
38.043166,13.373462,Belmonte Mezzagno,belmonte_mezzagno,0,18,14,3,0
37.566377,14.970995,Belpasso,belpasso,0,59,30,17,2
37.640564,14.875039,Biancavilla,biancavilla,2,37,36,7,0
37.703238,13.259695,Bisacquino,bisacquino,1,2,5,1,1
37.619515,13.441638,Bivona,bivona,0,5,4,0,1
37.751981,14.075088,Blufi,blufi,0,0,3,0,1
37.971966,13.452288,Bolognetta,bolognetta,0,12,1,4,0
37.474845,13.778588,Bompensiere,bompensiere,0,3,0,0,0
37.744626,14.093509,Bompietro,bompietro,1,2,2,1,0
38.046674,13.139997,Borgetto,borgetto,0,12,6,5,0
38.065999,15.017709,Braidi,braidi,0,1,0,0,0
38.156873,14.828340,Brolo,brolo,0,20,17,7,1
37.786477,14.832386,Bronte,bronte,1,33,18,9,3
37.279690,15.182160,Brucoli,brucoli,0,0,0,0,1
37.126464,14.853010,Buccheri,buccheri,0,6,3,1,1
37.600030,13.288836,Burgio,burgio,0,1,6,0,1
37.085705,14.885210,Buscemi,buscemi,0,2,2,0,1
38.012377,12.722563,Buseto Palizzolo,buseto_palizzolo,0,6,3,1,0
37.175760,14.167504,Butera,butera,0,11,9,2,1
37.931486,13.666724,Caccamo,caccamo,0,13,12,7,1
36.853599,14.760651,Caitina,caitina,0,1,0,0,0
37.527004,13.289824,Calamonaci,calamonaci,0,1,3,0,0
37.592147,14.268623,Calascibetta,calascibetta,0,4,7,4,1
37.814154,15.232975,Calatabiano,calatabiano,0,14,5,4,1
37.950125,12.902345,Calatafimi,calatafimi,0,2,2,0,1
37.921505,12.855490,Calatafimi Segesta,calatafimi_segesta,0,16,11,1,2
37.571885,13.216544,Caltabellotta,caltabellotta,0,10,6,0,3
37.223909,14.520280,Caltagirone,caltagirone,4,82,61,22,18
37.487836,14.047742,Caltanissetta,caltanissetta,8,113,80,47,9
37.819650,13.890785,Caltavuturo,caltavuturo,0,1,5,0,0
37.254728,13.792123,Camastra,camastra,0,4,3,0,0
37.632545,13.649459,Cammarata,cammarata,0,14,7,3,1
37.260728,13.915743,Campobello di Licata,campobello_di_licata,0,16,19,2,0
37.607534,12.734901,Campobello di Mazara,campobello_di_mazara,0,25,19,8,0
37.826443,13.485340,Campofelice di Fitalia,campofelice_di_fitalia,0,1,1,0,0
37.991259,13.881063,Campofelice di Roccella,campofelice_di_roccella,0,26,16,7,2
37.755909,13.283409,Campofiorito,campofiorito,0,2,0,0,0
37.503265,13.704241,Campofranco,campofranco,0,5,6,1,0
37.895899,13.096202,Camporeale,camporeale,0,4,5,1,0
37.548487,14.993879,Camporotondo Etneo,camporotondo_etneo,0,6,4,0,0
37.355157,13.845024,Canicattì,canicatt,3,79,47,13,3
37.031395,15.065291,Canicattini Bagni,canicattini_bagni,0,7,14,2,0
38.487592,14.965012,Canneto,canneto,0,1,0,0,0
38.172818,13.275300,Capaci,capaci,0,28,12,6,1
37.849844,14.480961,Capizzi,capizzi,1,2,5,0,1
38.154175,14.743433,Capo d'Orlando,capo_dorlando,3,80,52,8,4
38.119434,14.722508,Capri Leone,capri_leone,0,11,8,3,0
38.142047,13.200982,Carini,carini,1,73,38,23,2
