# lat,lng,id,name,building_type,type,url,page_type
# Ajdovščina -- Tutti
45.886017,13.905812,ov_zdravstveni_dom_ajdov__ina_45.8860_13.9058,Zdravstveni dom Ajdovščina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/zdravstveni_dom_ajdovina_45.8860_13.9058.json,custom
45.944669,13.887326,ov_gostilna_krape__45.9447_13.8873,Gostilna Krapež,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostilna_krape_45.9447_13.8873.json,custom
45.908590,13.776870,ov_kosovelova_kmetija_45.9086_13.7769,Kosovelova Kmetija,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/kosovelova_kmetija_45.9086_13.7769.json,custom
45.888757,13.820407,ov_gostilna_sivi__aven_45.8888_13.8204,Gostilna Sivi Čaven,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostilna_sivi_aven_45.8888_13.8204.json,custom
45.894035,13.781863,ov_gostila_dule_45.8940_13.7819,Gostila Dule,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostila_dule_45.8940_13.7819.json,custom
45.870682,13.806206,ov_turisti_na_kmetija_birsa_45.8707_13.8062,Turistična kmetija Birsa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/turistina_kmetija_birsa_45.8707_13.8062.json,custom
45.866692,13.935729,ov_gostilna_picerija_anja_45.8667_13.9357,Gostilna picerija Anja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/gostilna_picerija_anja_45.8667_13.9357.json,custom
45.888852,13.904947,ov_son_na_ura_45.8889_13.9049,Sončna ura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/sonna_ura_45.8889_13.9049.json,custom
45.888280,13.904197,ov_pasha_kebap_45.8883_13.9042,Pasha kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/pasha_kebap_45.8883_13.9042.json,custom
45.888271,13.908611,ov_snack_bar_in_restavracija_mama_45.8883_13.9086,Snack bar in restavracija Mama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/snack_bar_in_restavracija_mama_45.8883_13.9086.json,custom
45.884210,13.910570,ov_fast_food_ezo_45.8842_13.9106,Fast food EZO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/fast_food_ezo_45.8842_13.9106.json,custom
45.886690,13.908260,ov_halo_erik___dostava_na_dom_45.8867_13.9083,Halo Erik - dostava na dom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/halo_erik_-_dostava_na_dom_45.8867_13.9083.json,custom
45.886757,13.908196,ov_sla__i_arna__turje_45.8868_13.9082,Slaščičarna Šturje,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/slaiarna_turje_45.8868_13.9082.json,custom
45.886466,13.905564,ov_hotel_gold_club_45.8865_13.9056,Hotel Gold Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/hotel_gold_club_45.8865_13.9056.json,custom
45.886703,13.903909,ov_amon_45.8867_13.9039,Amon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/amon_45.8867_13.9039.json,custom
45.886767,13.902983,ov_picerija_fontana_45.8868_13.9030,Picerija Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/picerija_fontana_45.8868_13.9030.json,custom
45.881199,13.902407,ov_bistro_luft_45.8812_13.9024,Bistro Luft,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/ajdovina/pages/bistro_luft_45.8812_13.9024.json,custom
