# lat,lng,id,name,building_type,type,url,page_type
# montenero_di_bisaccia -- Tutti
41.979790,14.771350,ov_villa_santa_maria___casa_dell_anziano_e__41.9798_14.7713,Villa Santa Maria - Casa dell'Anziano e RSD,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/villa_santa_maria_-_casa_dellanziano_e_r_41.9798_14.7713.json,custom
42.060286,14.774132,ov_ristorante_la_cascina_42.0603_14.7741,Ristorante La Cascina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/ristorante_la_cascina_42.0603_14.7741.json,custom
41.955840,14.758917,ov_al_settimo_cielo_41.9558_14.7589,Al Settimo Cielo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/al_settimo_cielo_41.9558_14.7589.json,custom
41.954050,14.783210,ov_bar_rist_e_pizzeria_presso_camping_sabbi_41.9541_14.7832,Bar/rist.e Pizzeria Presso Camping Sabbia Doro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/barriste_pizzeria_presso_camping_sabbia__41.9541_14.7832.json,custom
41.954050,14.783210,ov_ristorante_il_mare_in_tavola_da_nonna_li_41.9541_14.7832,Ristorante il Mare in Tavola da Nonna Lina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/ristorante_il_mare_in_tavola_da_nonna_li_41.9541_14.7832.json,custom
41.954050,14.783210,ov_ristorante_lianna_41.9541_14.7832,Ristorante Lianna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/ristorante_lianna_41.9541_14.7832.json,custom
41.959805,14.781784,ov_la_quinta_essenza_41.9598_14.7818,La Quinta Essenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/la_quinta_essenza_41.9598_14.7818.json,custom
41.957821,14.780420,ov_windy_city_bar_n_food_41.9578_14.7804,Windy city bar n Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/windy_city_bar_n_food_41.9578_14.7804.json,custom
41.957550,14.782516,ov_home_pizza_di_maria_41.9575_14.7825,Home Pizza Di Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/home_pizza_di_maria_41.9575_14.7825.json,custom
41.958216,14.782718,ov_trattoria_rosticceria_da_olindo_41.9582_14.7827,Trattoria Rosticceria Da Olindo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/trattoria_rosticceria_da_olindo_41.9582_14.7827.json,custom
41.962509,14.782896,ov_atlas_caff__41.9625_14.7829,Atlas Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/atlas_caff_41.9625_14.7829.json,custom
41.971086,14.777880,ov_ristorante_mare_e_monti_41.9711_14.7779,Ristorante Mare E Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/ristorante_mare_e_monti_41.9711_14.7779.json,custom
41.979400,14.782520,ov_lo_chalet_41.9794_14.7825,Lo Chalet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/lo_chalet_41.9794_14.7825.json,custom
41.976042,14.782383,ov_la_lanterna_41.9760_14.7824,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/la_lanterna_41.9760_14.7824.json,custom
42.025185,14.785310,ov_tenuta_mirco_agriturismo_42.0252_14.7853,Tenuta Mirco Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/tenuta_mirco_agriturismo_42.0252_14.7853.json,custom
42.065401,14.791294,ov_la_locanda_del_mare_42.0654_14.7913,La locanda del mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/la_locanda_del_mare_42.0654_14.7913.json,custom
42.064478,14.790082,ov_mordi_e_gusta_da_malo_42.0645_14.7901,Mordi e gusta da malo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/montenero_di_bisaccia/pages/mordi_e_gusta_da_malo_42.0645_14.7901.json,custom
