# lat,lng,id,name,building_type,type,url,page_type
# fanano -- Tutti
44.207530,10.795764,ov_pronto_soccorso_fanano_44.2075_10.7958,Pronto Soccorso Fanano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/pronto_soccorso_fanano_44.2075_10.7958.json,custom
44.237565,10.820364,ov_locanda_romana_44.2376_10.8204,Locanda Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/locanda_romana_44.2376_10.8204.json,custom
44.231352,10.824386,ov_pane_vino_e_maialino_s_r_l__44.2314_10.8244,Pane Vino e Maialino S.R.L.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/pane_vino_e_maialino_srl_44.2314_10.8244.json,custom
44.235607,10.842651,ov_ristorante_pensione_valle_dei_monti_44.2356_10.8427,Ristorante Pensione Valle dei Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ristorante_pensione_valle_dei_monti_44.2356_10.8427.json,custom
44.181410,10.740350,ov_taburri__il_rifugio_44.1814_10.7403,"Taburri, il Rifugio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/taburri_il_rifugio_44.1814_10.7403.json,custom
44.170683,10.735070,ov_rifugio_i_taburri_44.1707_10.7351,Rifugio I Taburri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/rifugio_i_taburri_44.1707_10.7351.json,custom
44.151746,10.774943,ov_rifugio_capanno_tassoni_44.1517_10.7749,Rifugio CAPANNO TASSONI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/rifugio_capanno_tassoni_44.1517_10.7749.json,custom
44.160718,10.780586,ov_azienda_agrituristica_il_feliceto_44.1607_10.7806,Azienda Agrituristica Il Feliceto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/azienda_agrituristica_il_feliceto_44.1607_10.7806.json,custom
44.162962,10.792530,ov_rifugio_capanno_tassoni_44.1630_10.7925,Rifugio Capanno Tassoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/rifugio_capanno_tassoni_44.1630_10.7925.json,custom
44.167915,10.795438,ov_laghetti_le_sorgenti_44.1679_10.7954,Laghetti Le Sorgenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/laghetti_le_sorgenti_44.1679_10.7954.json,custom
44.206890,10.790173,ov_il_farello_ristorante_44.2069_10.7902,Il Farello Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/il_farello_ristorante_44.2069_10.7902.json,custom
44.207805,10.793810,ov_vincypizza_44.2078_10.7938,VincyPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/vincypizza_44.2078_10.7938.json,custom
44.208875,10.792288,ov_ristorante_pizzeria_lo_chalet_44.2089_10.7923,ristorante pizzeria Lo Chalet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ristorante_pizzeria_lo_chalet_44.2089_10.7923.json,custom
44.209268,10.790124,ov_la_selva_44.2093_10.7901,La Selva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/la_selva_44.2093_10.7901.json,custom
44.209378,10.790122,ov_lu_me_44.2094_10.7901,LU.ME,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/lume_44.2094_10.7901.json,custom
44.210740,10.791370,ov_rifugio_zambelli_44.2107_10.7914,Rifugio Zambelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/rifugio_zambelli_44.2107_10.7914.json,custom
44.209613,10.795541,ov_ristorante_pizzeria_del_firenze_44.2096_10.7955,Ristorante Pizzeria del Firenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ristorante_pizzeria_del_firenze_44.2096_10.7955.json,custom
44.208291,10.795024,ov_piadineria_la_pida_44.2083_10.7950,Piadineria La Pida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/piadineria_la_pida_44.2083_10.7950.json,custom
44.207382,10.794198,ov_il_mirtillo_nero_osteria_44.2074_10.7942,Il Mirtillo Nero Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/il_mirtillo_nero_osteria_44.2074_10.7942.json,custom
44.207051,10.794371,ov_ristoro_lo_spigolino_44.2071_10.7944,Ristoro Lo Spigolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ristoro_lo_spigolino_44.2071_10.7944.json,custom
44.207246,10.794756,ov_lo_stragatto_44.2072_10.7948,Lo Stragatto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/lo_stragatto_44.2072_10.7948.json,custom
44.211509,10.754600,ov_ristorante_la_palazza_44.2115_10.7546,Ristorante La Palazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ristorante_la_palazza_44.2115_10.7546.json,custom
44.199006,10.730114,ov_rifugio_zambelli_44.1990_10.7301,Rifugio Zambelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/rifugio_zambelli_44.1990_10.7301.json,custom
44.166477,10.789828,ov_bar_collante_44.1665_10.7898,Bar Collante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/bar_collante_44.1665_10.7898.json,custom
44.207796,10.793709,ov_caffetteria_dell_orologio_44.2078_10.7937,Caffetteria dell'orologio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/caffetteria_dellorologio_44.2078_10.7937.json,custom
44.207855,10.794097,ov_bar_pasticceria_gelateria_nazionale_44.2079_10.7941,Bar Pasticceria Gelateria Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/bar_pasticceria_gelateria_nazionale_44.2079_10.7941.json,custom
44.209575,10.795320,ov_l_angolo_pub_fanano_44.2096_10.7953,L’Angolo Pub Fanano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/langolo_pub_fanano_44.2096_10.7953.json,custom
44.208863,10.795220,ov_bar_italia_44.2089_10.7952,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/bar_italia_44.2089_10.7952.json,custom
44.208597,10.794955,ov_caffe_centauro_44.2086_10.7950,Caffe Centauro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/caffe_centauro_44.2086_10.7950.json,custom
44.208586,10.794165,ov_la_via_degli_orti_caffetteria_44.2086_10.7942,La via degli Orti Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/la_via_degli_orti_caffetteria_44.2086_10.7942.json,custom
44.208010,10.794560,ov_enosteria_pedrocchi___la_cantina_di_plum_44.2080_10.7946,Enosteria Pedrocchi - La Cantina di Plum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/enosteria_pedrocchi_-_la_cantina_di_plum_44.2080_10.7946.json,custom
44.220242,10.810408,ov_stazione_di_servizio_fanano_44.2202_10.8104,Stazione Di Servizio Fanano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/stazione_di_servizio_fanano_44.2202_10.8104.json,custom
44.220060,10.810361,ov_un_altro_bar_44.2201_10.8104,Un Altro Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/un_altro_bar_44.2201_10.8104.json,custom
44.207393,10.789802,ov_centro_tennis_fabio_vitale_44.2074_10.7898,Centro Tennis Fabio Vitale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/centro_tennis_fabio_vitale_44.2074_10.7898.json,custom
44.207636,10.793778,ov_trofeo_atk_bindings_race_fanano___mo_44.2076_10.7938,Trofeo ATK Bindings Race Fanano - MO,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/trofeo_atk_bindings_race_fanano_-_mo_44.2076_10.7938.json,custom
44.208960,10.792235,ov_palestra_old_school_fanano_44.2090_10.7922,Palestra Old School Fanano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/palestra_old_school_fanano_44.2090_10.7922.json,custom
44.207423,10.795133,ov_sci_club_fanano_44.2074_10.7951,Sci Club Fanano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/sci_club_fanano_44.2074_10.7951.json,custom
44.199012,10.730137,ov_scuola_italiana_sci_fanano_cimoncino_44.1990_10.7301,Scuola Italiana Sci Fanano-Cimoncino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/scuola_italiana_sci_fanano-cimoncino_44.1990_10.7301.json,custom
44.211431,10.842669,ov_museo_dei_monti_della_riva_44.2114_10.8427,Museo dei Monti della Riva,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/museo_dei_monti_della_riva_44.2114_10.8427.json,custom
44.207423,10.795133,ov_ussp_fanano_44.2074_10.7951,USSP Fanano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/ussp_fanano_44.2074_10.7951.json,custom
44.207591,10.795671,ov_biblioteca_comunale_44.2076_10.7957,Biblioteca comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fanano/pages/biblioteca_comunale_44.2076_10.7957.json,custom
