# lat,lng,id,name,building_type,type,url,page_type
# San Quirino -- Tutti
46.036140,12.674780,ov_centro_di_riferimento_oncologico_46.0361_12.6748,Centro di Riferimento Oncologico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/centro_di_riferimento_oncologico_46.0361_12.6748.json,custom
46.004193,12.637955,ov_trattoria_da_berta_46.0042_12.6380,Trattoria da Berta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/trattoria_da_berta_46.0042_12.6380.json,custom
46.033908,12.681638,ov_osteria_alle_nazioni_46.0339_12.6816,Osteria Alle Nazioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/osteria_alle_nazioni_46.0339_12.6816.json,custom
46.034399,12.681483,ov_la_primula_46.0344_12.6815,La Primula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/la_primula_46.0344_12.6815.json,custom
46.033002,12.675902,ov_the_family_bar_pizzeria_46.0330_12.6759,The Family Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/the_family_bar_pizzeria_46.0330_12.6759.json,custom
46.032800,12.676260,ov_pizzeria_pratobello_46.0328_12.6763,Pizzeria Pratobello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/pizzeria_pratobello_46.0328_12.6763.json,custom
46.012284,12.646947,ov_ristoro_da_sferco_46.0123_12.6469,Ristoro da Sferco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/ristoro_da_sferco_46.0123_12.6469.json,custom
46.054183,12.668890,ov_trattoria_la_tavernetta_46.0542_12.6689,Trattoria La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/trattoria_la_tavernetta_46.0542_12.6689.json,custom
46.054075,12.658128,ov_stella_ristorante_46.0541_12.6581,Stella Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/stella_ristorante_46.0541_12.6581.json,custom
46.036003,12.679037,ov_pizzeria_ai_templari_46.0360_12.6790,Pizzeria Ai Templari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/pizzeria_ai_templari_46.0360_12.6790.json,custom
46.035294,12.679079,osm_pizzeria_ai_templari_46.0353_12.6791,Pizzeria Ai Templari,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_quirino/pages/pizzeria_ai_templari_46.0353_12.6791.json,custom
