# lat,lng,id,name,building_type,type,url,page_type
# Crispano -- Tutti
40.947979,14.286090,ov_studio_ostetrico_ginecologico_gynaika_40.9480_14.2861,Studio Ostetrico-Ginecologico Gynaika,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/studio_ostetrico-ginecologico_gynaika_40.9480_14.2861.json,custom
40.949271,14.287292,ov_pizzeria_iorio_40.9493_14.2873,Pizzeria Iorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/pizzeria_iorio_40.9493_14.2873.json,custom
40.949855,14.288613,ov_pizzeria_le_tre_sorelle_2_40.9499_14.2886,Pizzeria le tre sorelle 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/pizzeria_le_tre_sorelle_2_40.9499_14.2886.json,custom
40.951781,14.289291,ov_pizzetteria_mary_40.9518_14.2893,Pizzetteria Mary,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/pizzetteria_mary_40.9518_14.2893.json,custom
40.949894,14.287015,ov_pizzelleria_pullecenella_40.9499_14.2870,Pizzelleria Pullecenella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/pizzelleria_pullecenella_40.9499_14.2870.json,custom
40.953681,14.296490,ov_fish_from_poreo_40.9537_14.2965,Fish from Poreo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/fish_from_poreo_40.9537_14.2965.json,custom
40.948588,14.287153,ov_caffetteria_remo_40.9486_14.2872,Caffetteria Remo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/caffetteria_remo_40.9486_14.2872.json,custom
40.949229,14.287173,ov_gulisano_s_coffee_and_bistrot_40.9492_14.2872,Gulisano's Coffee and Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/gulisanos_coffee_and_bistrot_40.9492_14.2872.json,custom
40.948709,14.288167,ov_caffe_il_vigneto_40.9487_14.2882,Caffe Il Vigneto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/caffe_il_vigneto_40.9487_14.2882.json,custom
40.948598,14.288060,ov_il_vigneto_vin_bar_40.9486_14.2881,Il Vigneto Vin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/il_vigneto_vin_bar_40.9486_14.2881.json,custom
40.952812,14.290629,ov_tropix_cafe_40.9528_14.2906,Tropix Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/tropix_cafe_40.9528_14.2906.json,custom
40.955523,14.286015,ov_paradise_caffe_lounge_bar_40.9555_14.2860,Paradise Caffe Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/paradise_caffe_lounge_bar_40.9555_14.2860.json,custom
40.953962,14.286165,ov_american_bar_40.9540_14.2862,American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/american_bar_40.9540_14.2862.json,custom
40.954164,14.287616,ov_cristofaro_alfano_garage_vintage_40.9542_14.2876,Cristofaro Alfano Garage Vintage,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/cristofaro_alfano_garage_vintage_40.9542_14.2876.json,custom
40.955742,14.295240,ov_bar_moschino_40.9557_14.2952,Bar Moschino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/bar_moschino_40.9557_14.2952.json,custom
40.951873,14.287052,ov_dance_art_project_40.9519_14.2871,Dance Art Project,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/dance_art_project_40.9519_14.2871.json,custom
40.952508,14.283343,ov_baila_dance_40.9525_14.2833,Baila Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/crispano/pages/baila_dance_40.9525_14.2833.json,custom
