# lat,lng,id,name,building_type,type,url,page_type
# Sestri Levante -- Tutti
44.274524,9.405720,ov_ospedale_civile_44.2745_9.4057,Ospedale Civile,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ospedale_civile_44.2745_9.4057.json,custom
44.274237,9.394097,ov_ristorante_ciunbalin_44.2742_9.3941,Ristorante Ciunbalin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_ciunbalin_44.2742_9.3941.json,custom
44.273006,9.394527,ov_delfino_bianco_44.2730_9.3945,Delfino Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/delfino_bianco_44.2730_9.3945.json,custom
44.273159,9.398053,ov_yi_sushi_44.2732_9.3981,Yi Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/yi_sushi_44.2732_9.3981.json,custom
44.272917,9.397176,ov_al_cairo_44.2729_9.3972,Al Cairo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/al_cairo_44.2729_9.3972.json,custom
44.272840,9.402105,ov_calamaro_fritto_44.2728_9.4021,Calamaro Fritto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/calamaro_fritto_44.2728_9.4021.json,custom
44.273935,9.401069,ov_gold_caf__ristorante_pasticceria_44.2739_9.4011,GOLD Café Ristorante Pasticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/gold_caf_ristorante_pasticceria_44.2739_9.4011.json,custom
44.274031,9.400332,ov_la_lanterna_44.2740_9.4003,La lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/la_lanterna_44.2740_9.4003.json,custom
44.273855,9.400148,ov_maniman_inosteria_44.2739_9.4001,Maniman Inosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/maniman_inosteria_44.2739_9.4001.json,custom
44.273879,9.400250,ov_l_articiocca_44.2739_9.4003,L'Articiocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/larticiocca_44.2739_9.4003.json,custom
44.273522,9.399254,ov_noname_44.2735_9.3993,NOname,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/noname_44.2735_9.3993.json,custom
44.274099,9.400889,ov_il_pollo_di_vino_sestri_levante_44.2741_9.4009,IL POLLO DI VINO Sestri Levante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_pollo_di_vino_sestri_levante_44.2741_9.4009.json,custom
44.274841,9.395454,ov_italian_riviera__sestri_levante_44.2748_9.3955,"Italian Riviera, Sestri Levante",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/italian_riviera_sestri_levante_44.2748_9.3955.json,custom
44.275565,9.395180,ov_il_capriccio_di_ciccio_44.2756_9.3952,Il Capriccio di Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_capriccio_di_ciccio_44.2756_9.3952.json,custom
44.275616,9.397155,ov_chicken___tonic_44.2756_9.3972,Chicken & Tonic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/chicken_tonic_44.2756_9.3972.json,custom
44.277461,9.401546,ov_sema___italian_language_and_culture_cent_44.2775_9.4015,SEMA - Italian Language and Culture Centre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/sema_-_italian_language_and_culture_cent_44.2775_9.4015.json,custom
44.277449,9.393342,ov_pelagica_44.2774_9.3933,Pelagica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/pelagica_44.2774_9.3933.json,custom
44.278044,9.393456,ov_ristorante_l_isola_44.2780_9.3935,Ristorante L'Isola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/ristorante_lisola_44.2780_9.3935.json,custom
44.277063,9.393655,ov_il_gourmet_44.2771_9.3937,Il Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/sestri_levante/pages/il_gourmet_44.2771_9.3937.json,custom
