# lat,lng,id,name,building_type,type,url,page_type
# Manziana -- Tutti
42.096236,12.072609,ov_bracciano_ospedale_42.0962_12.0726,Bracciano Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/bracciano_ospedale_42.0962_12.0726.json,custom
42.133377,12.127581,ov_il_posticino_42.1334_12.1276,Il Posticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/il_posticino_42.1334_12.1276.json,custom
42.131417,12.119411,ov_ristorante_la_pergola_42.1314_12.1194,Ristorante La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/ristorante_la_pergola_42.1314_12.1194.json,custom
42.134048,12.120938,ov_antichi_sapori_42.1340_12.1209,Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/antichi_sapori_42.1340_12.1209.json,custom
42.128541,12.131934,ov_eleonora_s_pizza_42.1285_12.1319,ELEONORA’s PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/eleonoras_pizza_42.1285_12.1319.json,custom
42.128952,12.133162,ov_pizzeria_la_tana_42.1290_12.1332,Pizzeria la Tana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/pizzeria_la_tana_42.1290_12.1332.json,custom
42.129199,12.132879,ov_osteria_da_ottavio_42.1292_12.1329,Osteria da Ottavio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/osteria_da_ottavio_42.1292_12.1329.json,custom
42.130744,12.129394,ov_pescheria_acqua_blu_da_stefanoni_42.1307_12.1294,Pescheria Acqua Blu Da Stefanoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/pescheria_acqua_blu_da_stefanoni_42.1307_12.1294.json,custom
42.130742,12.129392,ov_la_pescheria_di_emanuele_pesci_42.1307_12.1294,La Pescheria di Emanuele Pesci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/la_pescheria_di_emanuele_pesci_42.1307_12.1294.json,custom
42.130227,12.131272,ov_il_castello_pizza_e_cucina_42.1302_12.1313,Il Castello Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/il_castello_pizza_e_cucina_42.1302_12.1313.json,custom
42.124050,12.123528,ov_trattoria_del_sorcetto_di_favorini_giova_42.1240_12.1235,Trattoria del Sorcetto di Favorini Giovanni e Stefano SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/trattoria_del_sorcetto_di_favorini_giova_42.1240_12.1235.json,custom
42.110931,12.126398,ov_nido_del_falco_42.1109_12.1264,Nido del Falco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/manziana/pages/nido_del_falco_42.1109_12.1264.json,custom
