# lat,lng,id,name,building_type,type,url,page_type
# rossiglione -- Tutti
44.561502,8.670723,ov_ospedale_di_rossiglione_44.5615_8.6707,Ospedale Di Rossiglione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/ospedale_di_rossiglione_44.5615_8.6707.json,custom
44.563473,8.668522,ov_pizzeria_la_buona_forchetta_44.5635_8.6685,Pizzeria La Buona Forchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/pizzeria_la_buona_forchetta_44.5635_8.6685.json,custom
44.565706,8.666002,ov_pizzeria_napoli_44.5657_8.6660,Pizzeria Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/pizzeria_napoli_44.5657_8.6660.json,custom
44.566979,8.665791,ov_vecchia_dogana_44.5670_8.6658,Vecchia Dogana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/vecchia_dogana_44.5670_8.6658.json,custom
44.560457,8.611935,osm_agriturismo_ca__du_ratto_44.5605_8.6119,Agriturismo Ca' du Ratto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/agriturismo_ca_du_ratto_44.5605_8.6119.json,custom
44.454930,8.744290,ov_my_chef_44.4549_8.7443,My Chef,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/my_chef_44.4549_8.7443.json,custom
44.561862,8.670187,ov_bar_san_guido_44.5619_8.6702,Bar San Guido,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/bar_san_guido_44.5619_8.6702.json,custom
44.566150,8.665563,ov_bar_centro_gelateria_44.5662_8.6656,Bar Centro Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/bar_centro_gelateria_44.5662_8.6656.json,custom
44.566116,8.665857,ov_pizzeria_bar_cocktails_cacciatori_44.5661_8.6659,Pizzeria Bar Cocktails Cacciatori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/pizzeria_bar_cocktails_cacciatori_44.5661_8.6659.json,custom
44.559682,8.633868,ov_asd_ippica_varina_44.5597_8.6339,Asd Ippica Varina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/asd_ippica_varina_44.5597_8.6339.json,custom
44.562053,8.670299,ov_museo_passatempo_44.5621_8.6703,Museo Passatempo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/rossiglione/pages/museo_passatempo_44.5621_8.6703.json,custom
