# lat,lng,id,name,building_type,type,url,page_type
# Vicopisano -- Tutti
43.698560,10.583670,ov_studio_medico_prof__virgilio_facchini_43.6986_10.5837,Studio medico Prof. Virgilio Facchini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/studio_medico_prof_virgilio_facchini_43.6986_10.5837.json,custom
43.707251,10.504635,ov_30metriquadri_43.7073_10.5046,30metriquadri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/30metriquadri_43.7073_10.5046.json,custom
43.706787,10.504835,ov_trattoria_locanda_villamorosa_43.7068_10.5048,Trattoria Locanda VillAmorosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/trattoria_locanda_villamorosa_43.7068_10.5048.json,custom
43.706293,10.505263,ov_pizzeria_la_casaccia_43.7063_10.5053,Pizzeria La Casaccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pizzeria_la_casaccia_43.7063_10.5053.json,custom
43.704481,10.506830,ov_bartoli_fabio___c__snc_43.7045_10.5068,Bartoli Fabio & C. SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/bartoli_fabio_c_snc_43.7045_10.5068.json,custom
43.699109,10.515133,ov_rosticceria_lo_spiedo_snc_43.6991_10.5151,Rosticceria Lo Spiedo Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/rosticceria_lo_spiedo_snc_43.6991_10.5151.json,custom
43.690625,10.533121,ov_osteria_vecchia_noce_43.6906_10.5331,Osteria Vecchia Noce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/osteria_vecchia_noce_43.6906_10.5331.json,custom
43.691324,10.526290,ov_trattoria_da_cinotto_43.6913_10.5263,Trattoria Da Cinotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/trattoria_da_cinotto_43.6913_10.5263.json,custom
43.686480,10.548110,ov_ristorante_la_piramide_43.6865_10.5481,Ristorante La Piramide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/ristorante_la_piramide_43.6865_10.5481.json,custom
43.686568,10.544445,ov_d_antonio_43.6866_10.5444,D'Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/dantonio_43.6866_10.5444.json,custom
43.684658,10.536849,ov_ristodancing_luna_verde_43.6847_10.5368,Ristodancing Luna Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/ristodancing_luna_verde_43.6847_10.5368.json,custom
43.685277,10.554077,ov_sottomonte_43.6853_10.5541,SottoMonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/sottomonte_43.6853_10.5541.json,custom
43.684077,10.546335,ov_la_baracchina_sull_arno_43.6841_10.5463,La Baracchina sull'Arno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/la_baracchina_sullarno_43.6841_10.5463.json,custom
43.685174,10.596259,ov_sporting_club_ristorante_pizzeria_43.6852_10.5963,Sporting Club Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/sporting_club_ristorante_pizzeria_43.6852_10.5963.json,custom
43.685197,10.577975,ov_pizzeria_napoli_43.6852_10.5780,Pizzeria Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pizzeria_napoli_43.6852_10.5780.json,custom
43.685248,10.576486,ov_pizza_nella_piazza_43.6852_10.5765,Pizza Nella Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pizza_nella_piazza_43.6852_10.5765.json,custom
43.685671,10.578513,ov_chez_mes_amis_43.6857_10.5785,Chez Mes Amis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/chez_mes_amis_43.6857_10.5785.json,custom
43.689340,10.585853,ov_baccarossa_vicopisano_43.6893_10.5859,Baccarossa Vicopisano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/baccarossa_vicopisano_43.6893_10.5859.json,custom
43.697229,10.583972,ov_pizzeria_vicopisano_43.6972_10.5840,Pizzeria Vicopisano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/pizzeria_vicopisano_43.6972_10.5840.json,custom
43.694756,10.588553,ov_osteria_la_rocca_43.6948_10.5886,Osteria La Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/osteria_la_rocca_43.6948_10.5886.json,custom
43.701241,10.573325,ov_giulivo_cucina_e_buonumore_43.7012_10.5733,Giulivo Cucina E Buonumore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/giulivo_cucina_e_buonumore_43.7012_10.5733.json,custom
43.701326,10.573568,ov_vini___passioni_43.7013_10.5736,Vini & Passioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/vini_passioni_43.7013_10.5736.json,custom
43.701350,10.573418,ov_la_divina_commedia_del_gusto_43.7014_10.5734,La Divina Commedia del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/la_divina_commedia_del_gusto_43.7014_10.5734.json,custom
43.699599,10.583901,ov_aurora_taverna_toscana_trattoria_43.6996_10.5839,Aurora Taverna Toscana Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/aurora_taverna_toscana_trattoria_43.6996_10.5839.json,custom
43.699218,10.584151,ov_divizie_43.6992_10.5842,Divizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/divizie_43.6992_10.5842.json,custom
43.698880,10.584052,ov_panetteria_ceccotti_43.6989_10.5841,Panetteria Ceccotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/panetteria_ceccotti_43.6989_10.5841.json,custom
43.698958,10.584936,ov_30metriquadri_43.6990_10.5849,30metriquadri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/vicopisano/pages/30metriquadri_43.6990_10.5849.json,custom
