# lat,lng,id,name,building_type,type,url,page_type
# san_giorgio_di_nogaro -- Tutti
45.837111,13.206873,ov_centro_medico_universit__castrense_srl_45.8371_13.2069,Centro Medico Università Castrense SRL,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/centro_medico_universit_castrense_srl_45.8371_13.2069.json,custom
45.834193,13.225114,ov_rose_di_maj_45.8342_13.2251,Rose Di Maj,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/rose_di_maj_45.8342_13.2251.json,custom
45.838322,13.202531,ov_agriturismo_casale_fornace_45.8383_13.2025,Agriturismo Casale Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/agriturismo_casale_fornace_45.8383_13.2025.json,custom
45.832637,13.208411,ov_pizzeria_focacceria_noir_da_adi_45.8326_13.2084,Pizzeria Focacceria Noir da Adi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/pizzeria_focacceria_noir_da_adi_45.8326_13.2084.json,custom
45.832205,13.209713,ov_la_lanterna_45.8322_13.2097,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/la_lanterna_45.8322_13.2097.json,custom
45.833556,13.207381,ov_da_balan_45.8336_13.2074,Da Balan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/da_balan_45.8336_13.2074.json,custom
45.832117,13.210712,ov_pizzeria_ristorante_da_alfonso_45.8321_13.2107,Pizzeria Ristorante da Alfonso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/pizzeria_ristorante_da_alfonso_45.8321_13.2107.json,custom
45.832070,13.212300,ov_takabanda_80_90_2000_45.8321_13.2123,TakaBanda 80-90-2000,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/takabanda_80-90-2000_45.8321_13.2123.json,custom
45.831880,13.211929,ov_byblos_lounge_risto_food_45.8319_13.2119,Byblos Lounge Risto Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/byblos_lounge_risto_food_45.8319_13.2119.json,custom
45.827945,13.211895,ov_trattoria_al_casareccio_45.8279_13.2119,Trattoria Al Casareccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/trattoria_al_casareccio_45.8279_13.2119.json,custom
45.823440,13.214383,ov_laguna_blu_45.8234_13.2144,Laguna Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/san_giorgio_di_nogaro/pages/laguna_blu_45.8234_13.2144.json,custom
