# lat,lng,id,name,building_type,type,url,page_type
# misano_adriatico -- Tutti
43.952806,12.735906,ov_pronto_soccorso_cattolica_43.9528_12.7359,Pronto Soccorso Cattolica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/pronto_soccorso_cattolica_43.9528_12.7359.json,custom
43.923597,12.164235,ov_bartoli_roberto_43.9236_12.1642,Bartoli Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/bartoli_roberto_43.9236_12.1642.json,custom
43.951618,12.646029,ov_il_grillo_bianco_43.9516_12.6460,Il Grillo Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/il_grillo_bianco_43.9516_12.6460.json,custom
43.938393,12.671783,ov_osteria_fafein_43.9384_12.6718,Osteria Fafein,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/osteria_fafein_43.9384_12.6718.json,custom
43.947666,12.677658,ov_il_fondino_43.9477_12.6777,Il Fondino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/il_fondino_43.9477_12.6777.json,custom
43.949701,12.671979,ov_millegusti_pizzeria_43.9497_12.6720,Millegusti Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/millegusti_pizzeria_43.9497_12.6720.json,custom
43.951645,12.673355,ov_osteria_di_burion_43.9516_12.6734,Osteria di Burion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/osteria_di_burion_43.9516_12.6734.json,custom
43.951610,12.673290,ov_due_archi_43.9516_12.6733,Due Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/due_archi_43.9516_12.6733.json,custom
43.957071,12.684823,ov_piadine_da_stella_43.9571_12.6848,Piadine da Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/piadine_da_stella_43.9571_12.6848.json,custom
43.959099,12.655136,ov_pizzeria_al_colle_43.9591_12.6551,Pizzeria Al Colle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/pizzeria_al_colle_43.9591_12.6551.json,custom
43.960445,12.685358,ov_ristorante_santamonica_43.9604_12.6854,Ristorante Santamonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/ristorante_santamonica_43.9604_12.6854.json,custom
43.964866,12.709855,ov_la_taverna_dei_re_43.9649_12.7099,La Taverna dei Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/la_taverna_dei_re_43.9649_12.7099.json,custom
43.964260,12.706842,ov_il_mulino_43.9643_12.7068,Il Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/il_mulino_43.9643_12.7068.json,custom
43.964289,12.705520,ov_la_campagnola_trattoria_con_alloggio_43.9643_12.7055,La Campagnola Trattoria con Alloggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/la_campagnola_trattoria_con_alloggio_43.9643_12.7055.json,custom
43.968880,12.707650,ov_ristorante_mina_43.9689_12.7076,Ristorante Mina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/misano_adriatico/pages/ristorante_mina_43.9689_12.7076.json,custom
