# lat,lng,id,name,building_type,type,url,page_type
# Ceprano -- Tutti
41.545395,13.519141,ov_il_gatto_41.5454_13.5191,Il Gatto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/il_gatto_41.5454_13.5191.json,custom
41.546325,13.516289,ov_antica_caffetteria_rezza_41.5463_13.5163,Antica Caffetteria Rezza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/antica_caffetteria_rezza_41.5463_13.5163.json,custom
41.545640,13.513716,ov_patronato_caf_ceprano_41.5456_13.5137,Patronato caf Ceprano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/patronato_caf_ceprano_41.5456_13.5137.json,custom
41.545580,13.514518,ov_nerokaff__41.5456_13.5145,Nerokaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/nerokaff_41.5456_13.5145.json,custom
41.547134,13.514393,ov_la_piccola_caffetteria_41.5471_13.5144,La Piccola Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/la_piccola_caffetteria_41.5471_13.5144.json,custom
41.546549,13.515215,ov_bar_900_ceprano_41.5465_13.5152,Bar 900 Ceprano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/bar_900_ceprano_41.5465_13.5152.json,custom
41.544083,13.511478,ov_st__andrews_scottish_pub_41.5441_13.5115,St. Andrews Scottish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/st_andrews_scottish_pub_41.5441_13.5115.json,custom
41.541797,13.501860,ov_le_ganze_41.5418_13.5019,Le Ganze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/le_ganze_41.5418_13.5019.json,custom
41.534425,13.509630,ov_birra_dei_briganti_41.5344_13.5096,Birra dei Briganti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/birra_dei_briganti_41.5344_13.5096.json,custom
41.535620,13.517860,ov_gal_terre_di_argil_41.5356_13.5179,Gal Terre di Argil,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/gal_terre_di_argil_41.5356_13.5179.json,custom
41.544305,13.526844,ov_body_evolution_360_41.5443_13.5268,Body Evolution 360,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/body_evolution_360_41.5443_13.5268.json,custom
41.544680,13.519780,ov_game_on_ceprano_41.5447_13.5198,Game On Ceprano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/game_on_ceprano_41.5447_13.5198.json,custom
41.544217,13.517072,ov_billiard_s_room_ceprano_41.5442_13.5171,Billiard's Room Ceprano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/billiards_room_ceprano_41.5442_13.5171.json,custom
41.546210,13.517060,ov_serious_stuff_41.5462_13.5171,Serious Stuff,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/serious_stuff_41.5462_13.5171.json,custom
41.545934,13.514442,ov_de_santis_wellness_club_41.5459_13.5144,De Santis Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/de_santis_wellness_club_41.5459_13.5144.json,custom
41.550695,13.511002,ov_asd_progetto_contemporaneo_41.5507_13.5110,Asd Progetto Contemporaneo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/asd_progetto_contemporaneo_41.5507_13.5110.json,custom
41.540012,13.514146,ov_arte_in_movimento___scuola_di_danza_41.5400_13.5141,Arte in Movimento - Scuola di Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/arte_in_movimento_-_scuola_di_danza_41.5400_13.5141.json,custom
41.546357,13.515071,ov_museo_archeologico_di_fregellae_amedeo_m_41.5464_13.5151,Museo Archeologico di Fregellae Amedeo Maiuri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/museo_archeologico_di_fregellae_amedeo_m_41.5464_13.5151.json,custom
41.546003,13.519262,ov_biblioteca_comunale_di_ceprano_giuseppe__41.5460_13.5193,Biblioteca Comunale di Ceprano Giuseppe Bernardi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/ceprano/pages/biblioteca_comunale_di_ceprano_giuseppe__41.5460_13.5193.json,custom
