# lat,lng,id,name,building_type,type,url,page_type
# Dego -- Tutti
44.447979,8.312617,osm_croce_bianca_dego_44.4480_8.3126,Croce Bianca Dego,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/croce_bianca_dego_44.4480_8.3126.json,custom
44.441275,8.302863,ov_il_chiosco_44.4413_8.3029,Il Chiosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/il_chiosco_44.4413_8.3029.json,custom
44.447823,8.313635,ov_pizzeria_ristorante_valle_verde_44.4478_8.3136,Pizzeria Ristorante Valle Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/pizzeria_ristorante_valle_verde_44.4478_8.3136.json,custom
44.427300,8.279300,ov_agriturismo_cascina_palazzo_dogliotti_pa_44.4273_8.2793,Agriturismo Cascina Palazzo Dogliotti Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/agriturismo_cascina_palazzo_dogliotti_pa_44.4273_8.2793.json,custom
44.447183,8.353279,ov_locanda_da_rosina_44.4472_8.3533,Locanda da Rosina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/locanda_da_rosina_44.4472_8.3533.json,custom
44.483772,8.308924,ov_dallera_44.4838_8.3089,Dallera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/dallera_44.4838_8.3089.json,custom
44.448197,8.313624,ov_bi_maxi_pub_pizzeria_44.4482_8.3136,Bi Maxi Pub Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/bi_maxi_pub_pizzeria_44.4482_8.3136.json,custom
44.447831,8.313120,ov_maxi_bar_44.4478_8.3131,Maxi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/maxi_bar_44.4478_8.3131.json,custom
44.462416,8.324223,ov_the_horse_way_centro_equituristico_44.4624_8.3242,The Horse Way Centro Equituristico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/the_horse_way_centro_equituristico_44.4624_8.3242.json,custom
44.444190,8.295225,ov_double_c_44.4442_8.2952,Double C,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/double_c_44.4442_8.2952.json,custom
44.429880,8.381021,ov_rio_selvatico_44.4299_8.3810,Rio Selvatico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/rio_selvatico_44.4299_8.3810.json,custom
44.450992,8.314870,ov_castello_di_dego_44.4510_8.3149,Castello di Dego,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/dego/pages/castello_di_dego_44.4510_8.3149.json,custom
