# lat,lng,id,name,building_type,type,url,page_type
# niscemi -- Tutti
37.152063,14.384903,ov_ospedale_suor_cecilia_basarocco_37.1521_14.3849,Ospedale Suor Cecilia Basarocco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/ospedale_suor_cecilia_basarocco_37.1521_14.3849.json,custom
37.128558,14.395371,ov_sciavuru_37.1286_14.3954,SciaVuru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/sciavuru_37.1286_14.3954.json,custom
37.146400,14.382840,ov_pizzeria_vituso_37.1464_14.3828,Pizzeria Vituso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizzeria_vituso_37.1464_14.3828.json,custom
37.145526,14.383349,ov_pizzeria_da_alfonso_37.1455_14.3833,Pizzeria da Alfonso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizzeria_da_alfonso_37.1455_14.3833.json,custom
37.145254,14.383273,ov_taverna_j_m_basquiat_37.1453_14.3833,Taverna J M Basquiat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/taverna_j_m_basquiat_37.1453_14.3833.json,custom
37.144955,14.383947,ov_fratres_niscemi_37.1450_14.3839,Fratres Niscemi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/fratres_niscemi_37.1450_14.3839.json,custom
37.144695,14.384067,ov_cibus_37.1447_14.3841,Cibus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/cibus_37.1447_14.3841.json,custom
37.144498,14.384949,ov_giardino_malerba_pizzeria_gourmet_37.1445_14.3849,Giardino Malerba Pizzeria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/giardino_malerba_pizzeria_gourmet_37.1445_14.3849.json,custom
37.143706,14.387590,ov_colosseo_wine___food_37.1437_14.3876,Colosseo Wine & Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/colosseo_wine_food_37.1437_14.3876.json,custom
37.144107,14.390920,ov_pizza_snack_37.1441_14.3909,Pizza Snack,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizza_snack_37.1441_14.3909.json,custom
37.146004,14.391513,ov_pizza_express_37.1460_14.3915,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizza_express_37.1460_14.3915.json,custom
37.145470,14.383480,ov_o_tunnu_37.1455_14.3835,O'Tunnu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/otunnu_37.1455_14.3835.json,custom
37.146261,14.384131,ov_sud_est_pizza_e_birra_37.1463_14.3841,Sud Est Pizza e Birra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/sud_est_pizza_e_birra_37.1463_14.3841.json,custom
37.148176,14.386459,ov_amplifon_via_xx_settembre__niscemi_37.1482_14.3865,"Amplifon Via XX Settembre, Niscemi",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/amplifon_via_xx_settembre_niscemi_37.1482_14.3865.json,custom
37.148439,14.386707,ov_la_casa_di_carta_37.1484_14.3867,La Casa Di Carta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/la_casa_di_carta_37.1484_14.3867.json,custom
37.148569,14.387416,ov_sfumature_di_mare_37.1486_14.3874,Sfumature di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/sfumature_di_mare_37.1486_14.3874.json,custom
37.149230,14.387779,ov_sapori_37.1492_14.3878,Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/sapori_37.1492_14.3878.json,custom
37.148976,14.385345,ov_kalos_37.1490_14.3853,Kalos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/kalos_37.1490_14.3853.json,custom
37.148775,14.384224,ov_doner_grill__i_carusi__specialit___kebab_37.1488_14.3842,Doner Grill  I CARUSI  specialità: KEBAB,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/doner_grill_i_carusi_specialit_kebab_37.1488_14.3842.json,custom
37.151345,14.386778,ov_furticchio_37.1513_14.3868,Furticchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/furticchio_37.1513_14.3868.json,custom
37.150865,14.390178,ov_pizzeria_da_ciccio_37.1509_14.3902,Pizzeria Da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizzeria_da_ciccio_37.1509_14.3902.json,custom
37.145128,14.397802,ov_antichi_sapori_37.1451_14.3978,Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/antichi_sapori_37.1451_14.3978.json,custom
37.144893,14.395762,ov_pizzeria_la_voliera_37.1449_14.3958,Pizzeria La Voliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/pizzeria_la_voliera_37.1449_14.3958.json,custom
37.142989,14.394282,ov_griglieria_a__marinnuzza_37.1430_14.3943,Griglieria A' Marinnuzza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/griglieria_a_marinnuzza_37.1430_14.3943.json,custom
37.138851,14.398417,ov_separ__officina_del_gusto_37.1389_14.3984,Separè Officina del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/niscemi/pages/separ_officina_del_gusto_37.1389_14.3984.json,custom
