# lat,lng,id,name,building_type,type,url,page_type
# Serravalle Scrivia -- Tutti
44.742464,8.841811,ov_ospedale_di_novi_ligure_44.7425_8.8418,Ospedale Di Novi Ligure,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/ospedale_di_novi_ligure_44.7425_8.8418.json,custom
44.724801,8.856413,ov_bar_del_corso_44.7248_8.8564,Bar Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/bar_del_corso_44.7248_8.8564.json,custom
44.726884,8.855771,ov_naturalmente_pizza_44.7269_8.8558,Naturalmente Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/naturalmente_pizza_44.7269_8.8558.json,custom
44.728410,8.852700,ov_bar_ristorante_bailo_luigi_44.7284_8.8527,Bar Ristorante Bailo Luigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/bar_ristorante_bailo_luigi_44.7284_8.8527.json,custom
44.728476,8.852751,ov_ristorante_osteria_pesca_e_mangia_44.7285_8.8528,Ristorante Osteria Pesca e Mangia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/ristorante_osteria_pesca_e_mangia_44.7285_8.8528.json,custom
44.730791,8.850139,ov_sushi_stella_44.7308_8.8501,Sushi Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/sushi_stella_44.7308_8.8501.json,custom
44.730851,8.842412,ov_good_time___wine_bar_2_44.7309_8.8424,Good Time - Wine Bar 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/good_time_-_wine_bar_2_44.7309_8.8424.json,custom
44.730794,8.842211,ov_amico_cinese___giapponese_44.7308_8.8422,AMICO Cinese & Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/amico_cinese_giapponese_44.7308_8.8422.json,custom
44.730777,8.842028,ov_il_baracchino_44.7308_8.8420,Il Baracchino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/il_baracchino_44.7308_8.8420.json,custom
44.730603,8.843626,ov_osteria_pizzeria_de_rosa_s_44.7306_8.8436,Osteria Pizzeria De Rosa's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/osteria_pizzeria_de_rosas_44.7306_8.8436.json,custom
44.732242,8.841366,ov_mcdonald_s_44.7322_8.8414,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/serravalle_scrivia/pages/mcdonalds_44.7322_8.8414.json,custom
