# lat,lng,id,name,building_type,type,url,page_type
# nereto -- Tutti
42.821028,13.815429,ov_distretto_sanitario_di_base__val_vibrat__42.8210_13.8154,Distretto Sanitario di Base 'Val Vibratà,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/distretto_sanitario_di_base_val_vibrat_42.8210_13.8154.json,custom
42.819687,13.814834,ov_da_grasu_42.8197_13.8148,Da Grasu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/da_grasu_42.8197_13.8148.json,custom
42.820072,13.811686,ov_trattoria_nuovi_sapori_42.8201_13.8117,Trattoria nuovi sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/trattoria_nuovi_sapori_42.8201_13.8117.json,custom
42.820172,13.811028,ov_trattoria_michelangelo_42.8202_13.8110,Trattoria Michelangelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/trattoria_michelangelo_42.8202_13.8110.json,custom
42.816221,13.813355,ov_pizzeria_garibaldi_42.8162_13.8134,Pizzeria Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/pizzeria_garibaldi_42.8162_13.8134.json,custom
42.815133,13.815598,ov_pul__informal_restaurant___pizza_42.8151_13.8156,PulÉ Informal Restaurant & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/pul_informal_restaurant_pizza_42.8151_13.8156.json,custom
42.815150,13.815616,ov_pul__42.8152_13.8156,Pulé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/pul_42.8152_13.8156.json,custom
42.818680,13.816094,ov_pizzeria_k2_42.8187_13.8161,Pizzeria K2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/pizzeria_k2_42.8187_13.8161.json,custom
42.818730,13.815990,ov_new_ottica_nereto_42.8187_13.8160,New ottica nereto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/new_ottica_nereto_42.8187_13.8160.json,custom
42.818978,13.817477,ov_le_delizie_del_tartufo_42.8190_13.8175,Le Delizie del Tartufo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/le_delizie_del_tartufo_42.8190_13.8175.json,custom
42.814398,13.825127,ov_pizzeria_pizz_arte_42.8144_13.8251,Pizzeria Pizz'Arte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/pizzeria_pizzarte_42.8144_13.8251.json,custom
42.819674,13.815376,ov_bar_19_24_42.8197_13.8154,Bar 19.24,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/bar_1924_42.8197_13.8154.json,custom
42.821250,13.813814,ov_ghiottoteca_42.8212_13.8138,Ghiottoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/ghiottoteca_42.8212_13.8138.json,custom
42.819420,13.816579,ov_la_caffetteria_42.8194_13.8166,La Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/la_caffetteria_42.8194_13.8166.json,custom
42.819930,13.817668,ov_shosholoza_drink___drink_42.8199_13.8177,Shosholoza Drink & Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/shosholoza_drink_drink_42.8199_13.8177.json,custom
42.815788,13.814033,ov_velosystem_42.8158_13.8140,Velosystem,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/velosystem_42.8158_13.8140.json,custom
42.814508,13.822567,ov_spazio_trainer___di_luna_di_silvio___pal_42.8145_13.8226,Spazio Trainer - di Luna di Silvio - Palestra di Personal Tr,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/spazio_trainer_-_di_luna_di_silvio_-_pal_42.8145_13.8226.json,custom
42.810735,13.830236,ov_fit_village_nereto_42.8107_13.8302,Fit Village Nereto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/nereto/pages/fit_village_nereto_42.8107_13.8302.json,custom
