# lat,lng,id,name,building_type,type,url,page_type
# Villa del Conte -- Tutti
45.581060,11.872480,ov_newpharm_hospital_45.5811_11.8725,Newpharm Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/newpharm_hospital_45.5811_11.8725.json,custom
45.589901,11.836676,ov_agriturismo_al_caliero_45.5899_11.8367,Agriturismo al caliero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/agriturismo_al_caliero_45.5899_11.8367.json,custom
45.578186,11.872884,ov_volpato_grill_45.5782_11.8729,Volpato Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/volpato_grill_45.5782_11.8729.json,custom
45.583520,11.858688,ov_pizzeria_la_fontanella_da_bafo_45.5835_11.8587,Pizzeria la Fontanella da Bafo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/pizzeria_la_fontanella_da_bafo_45.5835_11.8587.json,custom
45.581453,11.868572,ov_la_fontanella_45.5815_11.8686,La Fontanella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/la_fontanella_45.5815_11.8686.json,custom
45.588918,11.867491,ov_fuori_tema_ristorante_pizzeria_45.5889_11.8675,Fuori Tema Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/fuori_tema_ristorante_pizzeria_45.5889_11.8675.json,custom
45.609536,11.858357,ov_rickys___cattivi_ma_buone_45.6095_11.8584,RICKYS - Cattivi ma Buone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/rickys_-_cattivi_ma_buone_45.6095_11.8584.json,custom
45.606167,11.869221,ov_ristorante_al_corvo_45.6062_11.8692,Ristorante Al Corvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/ristorante_al_corvo_45.6062_11.8692.json,custom
45.606544,11.868711,ov_pizzeria_ristorante_al_corvo_45.6065_11.8687,Pizzeria Ristorante Al Corvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/pizzeria_ristorante_al_corvo_45.6065_11.8687.json,custom
45.615708,11.853044,ov_trendy_pizza_45.6157_11.8530,Trendy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/trendy_pizza_45.6157_11.8530.json,custom
45.585940,11.858661,osm_ristorante_al_leone_45.5859_11.8587,Ristorante Al Leone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/ristorante_al_leone_45.5859_11.8587.json,custom
45.604914,11.848739,ov_euromop_spa_45.6049_11.8487,Euromop SPA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/euromop_spa_45.6049_11.8487.json,custom
45.583439,11.859526,ov_bar_centrale_di_gallo_morgan_45.5834_11.8595,Bar centrale Di Gallo Morgan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/bar_centrale_di_gallo_morgan_45.5834_11.8595.json,custom
45.591360,11.859220,ov_pop_up___bar_45.5914_11.8592,Pop Up - Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/pop_up_-_bar_45.5914_11.8592.json,custom
45.604558,11.852570,ov_cont__caff__e_cucina_45.6046_11.8526,Contè Caffè e Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/cont_caff_e_cucina_45.6046_11.8526.json,custom
45.611720,11.856018,ov_bar_al_santo_45.6117_11.8560,Bar al Santo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/bar_al_santo_45.6117_11.8560.json,custom
45.585905,11.858668,osm_bar_dalla_emma_45.5859_11.8587,Bar dalla Emma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/bar_dalla_emma_45.5859_11.8587.json,custom
45.614717,11.851077,ov_5m_pool___games_45.6147_11.8511,5M Pool & Games,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/5m_pool_games_45.6147_11.8511.json,custom
45.583760,11.858330,ov_biblioteca_a__m__bragagnolo_villa_del_co_45.5838_11.8583,Biblioteca A. M. Bragagnolo Villa del Conte,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/villa_del_conte/pages/biblioteca_a_m_bragagnolo_villa_del_cont_45.5838_11.8583.json,custom
