# lat,lng,id,name,building_type,type,url,page_type
# gambettola -- Tutti
44.119697,12.340933,ov_ausl_gambettola_44.1197_12.3409,AUSL Gambettola,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/ausl_gambettola_44.1197_12.3409.json,custom
44.122613,12.347980,ov_deniku_s_pizza_44.1226_12.3480,Deniku's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/denikus_pizza_44.1226_12.3480.json,custom
44.117345,12.349081,ov_ottoemezzo_44.1173_12.3491,Ottoemezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/ottoemezzo_44.1173_12.3491.json,custom
44.118161,12.336835,ov_circus_sushi_gambettola_44.1182_12.3368,Circus Sushi Gambettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/circus_sushi_gambettola_44.1182_12.3368.json,custom
44.118153,12.338447,ov_bar_del_corso_44.1182_12.3384,Bar Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_del_corso_44.1182_12.3384.json,custom
44.118612,12.338564,ov_il_grifone_pizzeria_e_forneria_44.1186_12.3386,IL Grifone Pizzeria e Forneria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/il_grifone_pizzeria_e_forneria_44.1186_12.3386.json,custom
44.118820,12.341480,ov_garage51_bistrot_pizzeria_44.1188_12.3415,Garage51 Bistrot Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/garage51_bistrot_pizzeria_44.1188_12.3415.json,custom
44.119103,12.338233,ov_daidonca_cucina_di_paese_44.1191_12.3382,DAIDONCA cucina di paese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/daidonca_cucina_di_paese_44.1191_12.3382.json,custom
44.119138,12.328007,ov_romagna_terre_44.1191_12.3280,Romagna Terre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/romagna_terre_44.1191_12.3280.json,custom
44.118417,12.332293,ov_il_localino_osteria_44.1184_12.3323,IL Localino Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/il_localino_osteria_44.1184_12.3323.json,custom
44.117202,12.330148,ov_ingrosso_la_fabbrica_della_piadina_44.1172_12.3301,Ingrosso La Fabbrica della Piadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/ingrosso_la_fabbrica_della_piadina_44.1172_12.3301.json,custom
44.117190,12.330560,ov_nico_la_piadina_de_bosch_44.1172_12.3306,Nico La Piadina de Bosch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/nico_la_piadina_de_bosch_44.1172_12.3306.json,custom
44.116863,12.338938,ov_ecco_mi_kebab_gambettola_44.1169_12.3389,Ecco mi kebab gambettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/ecco_mi_kebab_gambettola_44.1169_12.3389.json,custom
44.116500,12.349220,ov_chiosco_happy_time_44.1165_12.3492,Chiosco Happy Time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/chiosco_happy_time_44.1165_12.3492.json,custom
44.116283,12.347345,ov_angolo670_44.1163_12.3473,Angolo670,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/angolo670_44.1163_12.3473.json,custom
44.111333,12.334516,ov_notedigusto_44.1113_12.3345,Notedigusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/notedigusto_44.1113_12.3345.json,custom
44.111727,12.335097,ov_rosticceria_michele_44.1117_12.3351,Rosticceria Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/rosticceria_michele_44.1117_12.3351.json,custom
44.112141,12.343064,ov_bios_pizza_44.1121_12.3431,Bios pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bios_pizza_44.1121_12.3431.json,custom
44.113283,12.339632,ov_house_pizza_44.1133_12.3396,House Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/house_pizza_44.1133_12.3396.json,custom
44.112842,12.340116,ov_ristorante_montebrullo_44.1128_12.3401,Ristorante Montebrullo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/ristorante_montebrullo_44.1128_12.3401.json,custom
44.113003,12.327420,ov_il_kiosko_di_donatella_e_davide_44.1130_12.3274,IL Kiosko di Donatella e Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/il_kiosko_di_donatella_e_davide_44.1130_12.3274.json,custom
44.106199,12.330563,ov_insoljto_ristorante_44.1062_12.3306,Insoljto Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/insoljto_ristorante_44.1062_12.3306.json,custom
44.106249,12.335508,ov_pizza_paradise_44.1062_12.3355,Pizza Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/pizza_paradise_44.1062_12.3355.json,custom
44.106772,12.336069,ov_gradibosco_44.1068_12.3361,Gradibosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/gradibosco_44.1068_12.3361.json,custom
44.108310,12.335460,ov_pizza_da_neo___gambettola_44.1083_12.3355,Pizza Da Neo - Gambettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/pizza_da_neo_-_gambettola_44.1083_12.3355.json,custom
44.108305,12.337319,ov_al_piccolo_44.1083_12.3373,Al Piccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/al_piccolo_44.1083_12.3373.json,custom
44.107988,12.335144,ov_pizzeria_da_neo_44.1080_12.3351,Pizzeria Da Neo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/pizzeria_da_neo_44.1080_12.3351.json,custom
44.105006,12.333745,ov_kebab_ali_baba_44.1050_12.3337,Kebab Ali Baba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/kebab_ali_baba_44.1050_12.3337.json,custom
44.103435,12.339005,ov_la_piada_di_katia_44.1034_12.3390,La piada di Katia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/la_piada_di_katia_44.1034_12.3390.json,custom
44.106284,12.335410,osm_pizza_paradise_44.1063_12.3354,Pizza Paradise,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/pizza_paradise_44.1063_12.3354.json,custom
44.118193,12.336811,osm_circus_sushi_44.1182_12.3368,Circus Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/circus_sushi_44.1182_12.3368.json,custom
44.118564,12.338507,osm_il_grifone_44.1186_12.3385,Il Grifone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/il_grifone_44.1186_12.3385.json,custom
44.115253,12.339560,osm_rosticceria_gradisca_44.1153_12.3396,Rosticceria Gradisca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/rosticceria_gradisca_44.1153_12.3396.json,custom
44.117184,12.337900,osm_da_roberta_e_andrea_44.1172_12.3379,Da Roberta e Andrea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/da_roberta_e_andrea_44.1172_12.3379.json,custom
44.117502,12.337896,ov_americanbar_32_44.1175_12.3379,AmericanBar 32,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/americanbar_32_44.1175_12.3379.json,custom
44.117502,12.338665,ov_bar_giambellino_44.1175_12.3387,Bar Giambellino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_giambellino_44.1175_12.3387.json,custom
44.117634,12.338573,ov_antica_formula_spirit_and_cocktail_44.1176_12.3386,Antica Formula Spirit And Cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/antica_formula_spirit_and_cocktail_44.1176_12.3386.json,custom
44.117917,12.335655,ov_bar_raroloco_44.1179_12.3357,Bar Raroloco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_raroloco_44.1179_12.3357.json,custom
44.118704,12.338817,ov_bar_pasticceria_mazzini_44.1187_12.3388,Bar Pasticceria Mazzini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_pasticceria_mazzini_44.1187_12.3388.json,custom
44.118783,12.338919,ov_milion_s_bar_44.1188_12.3389,Milion's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/milions_bar_44.1188_12.3389.json,custom
44.118854,12.342174,ov_dolce_amaro_pasticceria_44.1189_12.3422,Dolce Amaro Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/dolce_amaro_pasticceria_44.1189_12.3422.json,custom
44.118820,12.338907,ov_dama_caff__44.1188_12.3389,Dama caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/dama_caff_44.1188_12.3389.json,custom
44.120225,12.342626,ov_raro_loco_44.1202_12.3426,Raro Loco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/raro_loco_44.1202_12.3426.json,custom
44.120215,12.342785,ov_bodeguita_cafe_44.1202_12.3428,Bodeguita Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bodeguita_cafe_44.1202_12.3428.json,custom
44.120037,12.338393,ov_caf__boutique_44.1200_12.3384,Café Boutique,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/caf_boutique_44.1200_12.3384.json,custom
44.115425,12.325632,ov_bar_europa_44.1154_12.3256,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_europa_44.1154_12.3256.json,custom
44.114250,12.331050,ov_streetcaff__44.1142_12.3310,StreetCaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/streetcaff_44.1142_12.3310.json,custom
44.113634,12.332043,ov_cafehito_44.1136_12.3320,Cafehito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/cafehito_44.1136_12.3320.json,custom
44.117043,12.339089,ov_bar_centrale_44.1170_12.3391,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_centrale_44.1170_12.3391.json,custom
44.115684,12.342611,ov_bar_bosco_verde_44.1157_12.3426,Bar Bosco Verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_bosco_verde_44.1157_12.3426.json,custom
44.105626,12.333981,ov_le_caf__44.1056_12.3340,Le Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/le_caf_44.1056_12.3340.json,custom
44.105624,12.333979,ov_le_cafe_bar_44.1056_12.3340,Le cafe bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/le_cafe_bar_44.1056_12.3340.json,custom
44.105458,12.333257,ov_bar_pioti_44.1055_12.3333,Bar Pioti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_pioti_44.1055_12.3333.json,custom
44.108954,12.336345,osm_caffetteria_replay_44.1090_12.3363,Caffetteria Replay,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/caffetteria_replay_44.1090_12.3363.json,custom
44.117314,12.338088,osm_cialde_capsule_44.1173_12.3381,Cialde Capsule,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/cialde_capsule_44.1173_12.3381.json,custom
44.118680,12.338777,osm_caff__mazzini_44.1187_12.3388,Caffè Mazzini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/caff_mazzini_44.1187_12.3388.json,custom
44.115708,12.342652,osm_bar_bosco_44.1157_12.3427,Bar Bosco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/bar_bosco_44.1157_12.3427.json,custom
44.116156,12.336757,osm_joe_s_pub_44.1162_12.3368,Joe's Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/joes_pub_44.1162_12.3368.json,custom
44.108266,12.337298,osm_al_piccolo_44.1083_12.3373,Al Piccolo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/gambettola/pages/al_piccolo_44.1083_12.3373.json,custom
