# lat,lng,id,name,building_type,type,url,page_type
# Serrenti -- Tutti
39.492865,8.976608,ov_centro_medico_serrenti_39.4929_8.9766,Centro Medico Serrenti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/centro_medico_serrenti_39.4929_8.9766.json,custom
39.565516,8.888486,ov_ristorante_egisto___simone_39.5655_8.8885,Ristorante Egisto & Simone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/ristorante_egisto_simone_39.5655_8.8885.json,custom
39.495811,8.967425,ov_sa_bertula_39.4958_8.9674,Sa Bertula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/sa_bertula_39.4958_8.9674.json,custom
39.494009,8.971641,ov_doppio_zero_pizzeria_39.4940_8.9716,Doppio Zero Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/doppio_zero_pizzeria_39.4940_8.9716.json,custom
39.493710,8.975140,ov_pizza_dinner_kebab_di_valeria_mereu_39.4937_8.9751,PIZZA Dinner KEBAB di Valeria Mereu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/pizza_dinner_kebab_di_valeria_mereu_39.4937_8.9751.json,custom
39.492468,8.981083,osm_pipazza_pratza_food_39.4925_8.9811,Pipazza Pratza Food,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/pipazza_pratza_food_39.4925_8.9811.json,custom
39.534814,8.927751,ov_tourist_market___bar___tavola_calda_39.5348_8.9278,Tourist Market / bar - tavola calda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/tourist_market_bar_-_tavola_calda_39.5348_8.9278.json,custom
39.508020,8.979360,ov_sarda_trachiti_39.5080_8.9794,Sarda Trachiti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/sarda_trachiti_39.5080_8.9794.json,custom
39.493741,8.971950,ov_l_angolo_della_bonta_39.4937_8.9720,L'Angolo della Bonta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/langolo_della_bonta_39.4937_8.9720.json,custom
39.492566,8.975351,ov_maxi_bar_39.4926_8.9754,Maxi Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/maxi_bar_39.4926_8.9754.json,custom
39.492826,8.974767,ov_national_bar_39.4928_8.9748,National Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/national_bar_39.4928_8.9748.json,custom
39.494903,8.980041,ov_al_parco_39.4949_8.9800,Al Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/al_parco_39.4949_8.9800.json,custom
39.485371,8.981628,ov_sonic_bar_39.4854_8.9816,Sonic bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/sonic_bar_39.4854_8.9816.json,custom
39.484354,8.980374,osm_esso_bar_39.4844_8.9804,Esso Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/esso_bar_39.4844_8.9804.json,custom
39.488841,8.976355,ov_morakot_lampis_gym_39.4888_8.9764,Morakot Lampis Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/morakot_lampis_gym_39.4888_8.9764.json,custom
39.490430,8.977840,ov_biblioteca_comunale_di_serrenti_39.4904_8.9778,Biblioteca Comunale di Serrenti,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/biblioteca_comunale_di_serrenti_39.4904_8.9778.json,custom
39.493259,8.975450,ov_biblioteca_comunale_serrenti_francesca_s_39.4933_8.9754,Biblioteca Comunale Serrenti Francesca Sanna Sulis,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/serrenti/pages/biblioteca_comunale_serrenti_francesca_s_39.4933_8.9754.json,custom
