# lat,lng,id,name,building_type,type,url,page_type
# sankt_moritz -- Tutti
46.483511,9.835104,ov_klinik_gut_st__moritz_46.4835_9.8351,Klinik Gut St. Moritz,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/klinik_gut_st_moritz_46.4835_9.8351.json,custom
46.493055,9.811799,ov_trutz_46.4931_9.8118,Trutz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/trutz_46.4931_9.8118.json,custom
46.489531,9.807884,ov_paradiso_mountain_club_46.4895_9.8079,Paradiso Mountain Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/paradiso_mountain_club_46.4895_9.8079.json,custom
46.480327,9.813641,ov_panorama_46.4803_9.8136,Panorama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/panorama_46.4803_9.8136.json,custom
46.468388,9.828375,ov_bergrestaurant_hahnensee_46.4684_9.8284,Bergrestaurant Hahnensee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/bergrestaurant_hahnensee_46.4684_9.8284.json,custom
46.497916,9.849179,ov_restaurant_engiadina_46.4979_9.8492,Restaurant Engiadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_engiadina_46.4979_9.8492.json,custom
46.499860,9.846388,ov_restaurant_da_vittorio_46.4999_9.8464,Restaurant Da Vittorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_da_vittorio_46.4999_9.8464.json,custom
46.498756,9.845986,ov_beefbar_st_moritz_46.4988_9.8460,Beefbar St Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/beefbar_st_moritz_46.4988_9.8460.json,custom
46.497391,9.844593,ov_samigo_fuel_46.4974_9.8446,Samigo Fuel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/samigo_fuel_46.4974_9.8446.json,custom
46.484600,9.834577,ov_the_royal_mongolian__restaurant_46.4846_9.8346,The Royal Mongolian  Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/the_royal_mongolian_restaurant_46.4846_9.8346.json,custom
46.484670,9.834697,ov_restaurant_viva_st__moritz_46.4847_9.8347,Restaurant VIVA St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_viva_st_moritz_46.4847_9.8347.json,custom
46.486287,9.835787,ov_alessio_s_delicatessen_46.4863_9.8358,Alessio's Delicatessen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/alessios_delicatessen_46.4863_9.8358.json,custom
46.489350,9.834792,ov_veltlinerkeller_46.4894_9.8348,Veltlinerkeller,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/veltlinerkeller_46.4894_9.8348.json,custom
46.491011,9.835214,ov_mo_untainfire_steakhouse_st__moritz_46.4910_9.8352,Mo'untainfire Steakhouse St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/mountainfire_steakhouse_st_moritz_46.4910_9.8352.json,custom
46.489920,9.836396,ov_doner_kebab_st_moritz_46.4899_9.8364,Doner Kebab St.Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/doner_kebab_stmoritz_46.4899_9.8364.json,custom
46.486264,9.836698,ov_ristorante_roberto_46.4863_9.8367,Ristorante Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/ristorante_roberto_46.4863_9.8367.json,custom
46.485998,9.836957,ov_kura_46.4860_9.8370,Kura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/kura_46.4860_9.8370.json,custom
46.485908,9.836987,ov_st_va_46.4859_9.8370,Stüva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/stva_46.4859_9.8370.json,custom
46.485919,9.837070,ov_laudinella_delivery_46.4859_9.8371,Laudinella Delivery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/laudinella_delivery_46.4859_9.8371.json,custom
46.485897,9.837260,ov_restaurant_gourmindia_46.4859_9.8373,Restaurant GourmIndia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/restaurant_gourmindia_46.4859_9.8373.json,custom
46.494754,9.839962,ov_segelhaus_st__moritz_46.4948_9.8400,Segelhaus St. Moritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/segelhaus_st_moritz_46.4948_9.8400.json,custom
46.497136,9.839929,ov_le_restaurant_46.4971_9.8399,Le Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/le_restaurant_46.4971_9.8399.json,custom
46.497406,9.840414,ov_nobu_46.4974_9.8404,Nobu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/nobu_46.4974_9.8404.json,custom
46.497241,9.840714,ov_matsuhisa_46.4972_9.8407,Matsuhisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/matsuhisa_46.4972_9.8407.json,custom
46.497593,9.841001,ov_le_grand_hall_46.4976_9.8410,Le Grand Hall,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/le_grand_hall_46.4976_9.8410.json,custom
46.497594,9.841000,ov_kings_social_house_46.4976_9.8410,Kings Social House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/kings_social_house_46.4976_9.8410.json,custom
46.498095,9.840260,ov_chesa_veglia_pizzeria_heuboden_46.4981_9.8403,Chesa Veglia Pizzeria Heuboden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/chesa_veglia_pizzeria_heuboden_46.4981_9.8403.json,custom
46.498508,9.840352,ov_la_scarpetta_46.4985_9.8404,La Scarpetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/la_scarpetta_46.4985_9.8404.json,custom
46.498892,9.840283,ov_pizzaway_46.4989_9.8403,PizzaWay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sankt_moritz/pages/pizzaway_46.4989_9.8403.json,custom
