# lat,lng,id,name,building_type,type,url,page_type
# montegranaro -- Tutti
43.228775,13.620696,ov_ospedale_43.2288_13.6207,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/ospedale_43.2288_13.6207.json,custom
43.229975,13.626525,ov_ristorante_pizzeria_patrizia_43.2300_13.6265,Ristorante Pizzeria Patrizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/ristorante_pizzeria_patrizia_43.2300_13.6265.json,custom
43.226970,13.627649,ov_civico_24_43.2270_13.6276,Civico 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/civico_24_43.2270_13.6276.json,custom
43.227599,13.628508,ov_baruffa_43.2276_13.6285,BarUffa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/baruffa_43.2276_13.6285.json,custom
43.230331,13.623841,ov_pizza_smile_43.2303_13.6238,Pizza Smile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizza_smile_43.2303_13.6238.json,custom
43.229572,13.619707,ov_pizzeria_43.2296_13.6197,Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_43.2296_13.6197.json,custom
43.214963,13.640486,ov_pizzeria_la_bocciofila_43.2150_13.6405,Pizzeria la Bocciofila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_la_bocciofila_43.2150_13.6405.json,custom
43.221581,13.636337,ov_pizzeria_arcobaleno_43.2216_13.6363,Pizzeria Arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_arcobaleno_43.2216_13.6363.json,custom
43.221560,13.635330,ov_villa_bianca_43.2216_13.6353,Villa Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/villa_bianca_43.2216_13.6353.json,custom
43.233953,13.633412,ov_hop__n__roll_43.2340_13.6334,Hop 'n' Roll,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/hop_n_roll_43.2340_13.6334.json,custom
43.233303,13.633311,ov_calzoleria_sciusci__43.2333_13.6333,Calzoleria sciuscià,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/calzoleria_sciusci_43.2333_13.6333.json,custom
43.223870,13.629190,ov_bidibibodibibu__creperia_43.2239_13.6292,Bidibibodibibu  creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bidibibodibibu_creperia_43.2239_13.6292.json,custom
43.230889,13.629272,ov_la_rotonda_hamburger___cocktail_43.2309_13.6293,La Rotonda Hamburger & Cocktail,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/la_rotonda_hamburger_cocktail_43.2309_13.6293.json,custom
43.234400,13.633725,ov_pizzeria_la_torre_43.2344_13.6337,Pizzeria La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_la_torre_43.2344_13.6337.json,custom
43.236698,13.639596,ov_pizzeria_le_scalette_43.2367_13.6396,Pizzeria Le Scalette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_le_scalette_43.2367_13.6396.json,custom
43.263091,13.642368,ov_casa_de_campo_43.2631_13.6424,Casa De Campo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/casa_de_campo_43.2631_13.6424.json,custom
43.260521,13.650178,ov_ristorante_zenzero_43.2605_13.6502,Ristorante Zenzero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/ristorante_zenzero_43.2605_13.6502.json,custom
43.242746,13.648101,ov_caffetteria_pizzeria_il_sogno_43.2427_13.6481,Caffetteria Pizzeria Il Sogno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/caffetteria_pizzeria_il_sogno_43.2427_13.6481.json,custom
43.238275,13.648534,ov_panificio_artigianale_la_dolce_panetteri_43.2383_13.6485,Panificio Artigianale La Dolce Panetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/panificio_artigianale_la_dolce_panetteri_43.2383_13.6485.json,custom
43.217504,13.648080,ov_villa_bianca_43.2175_13.6481,Villa Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/villa_bianca_43.2175_13.6481.json,custom
43.264663,13.651548,ov_mediterraneo_restaurant_43.2647_13.6515,Mediterraneo Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/mediterraneo_restaurant_43.2647_13.6515.json,custom
43.260228,13.649665,osm_coalrist_43.2602_13.6497,Coalrist,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/coalrist_43.2602_13.6497.json,custom
43.260627,13.650200,osm_zenzero_ristorante_43.2606_13.6502,zenzero ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/zenzero_ristorante_43.2606_13.6502.json,custom
43.234506,13.633827,osm_pizzeria_la_torre_43.2345_13.6338,Pizzeria La Torre,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pizzeria_la_torre_43.2345_13.6338.json,custom
43.230686,13.627886,ov_bar_on_the_road_43.2307_13.6279,Bar On The Road,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_on_the_road_43.2307_13.6279.json,custom
43.228985,13.628109,ov_gusto_caffe_43.2290_13.6281,Gusto Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/gusto_caffe_43.2290_13.6281.json,custom
43.225929,13.626814,ov_garage_caff__43.2259_13.6268,Garage Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/garage_caff_43.2259_13.6268.json,custom
43.230139,13.623401,ov_baruffa_bar_43.2301_13.6234,Baruffa Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/baruffa_bar_43.2301_13.6234.json,custom
43.230435,13.624667,ov_bar_pasticceria_corradini_43.2304_13.6247,Bar Pasticceria Corradini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/bar_pasticceria_corradini_43.2304_13.6247.json,custom
43.228640,13.622421,ov_circolo_vecchio_pozzo_43.2286_13.6224,Circolo Vecchio Pozzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/circolo_vecchio_pozzo_43.2286_13.6224.json,custom
43.220973,13.637308,ov_manu_cafe_43.2210_13.6373,Manu Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/manu_cafe_43.2210_13.6373.json,custom
43.233840,13.635570,ov_azienda_agricola_pacioni_43.2338_13.6356,Azienda Agricola Pacioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/azienda_agricola_pacioni_43.2338_13.6356.json,custom
43.233307,13.632699,ov_pan_di_zucchero_43.2333_13.6327,Pan di Zucchero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegranaro/pages/pan_di_zucchero_43.2333_13.6327.json,custom
