# lat,lng,citta,slug,ospedali,ristoranti,bar_cafe,palestre,monumenti
43.088047,12.467584,06080 Perugia (PG),06080_perugia_pg,0,1,0,0,0
42.689226,12.549291,Acquasparta,acquasparta,0,24,15,3,0
42.783982,12.036552,Allerona,allerona,0,6,6,1,2
42.584636,12.321484,Alviano,alviano,0,2,2,4,1
42.552713,12.420582,Amelia,amelia,3,33,18,14,3
42.582034,12.764805,Arrone,arrone,0,16,7,0,1
43.067354,12.599324,Assisi,assisi,3,190,69,31,20
42.514820,12.293932,Attigliano,attigliano,0,2,2,0,2
42.751145,13.048909,Avendita,avendita,0,1,0,0,0
42.655943,12.413768,Avigliano Umbro,avigliano_umbro,0,11,5,0,0
42.694723,12.256769,Baschi,baschi,0,15,8,0,2
43.066894,12.544784,Bastia Umbra,bastia_umbra,0,49,35,17,1
43.013566,12.500611,Bettona,bettona,0,12,3,0,2
42.939579,12.603287,Bevagna,bevagna,0,33,14,3,4
42.547700,12.808560,Buonacquisto,buonacquisto,0,0,0,1,0
42.400727,12.552918,Calvi dell'Umbria,calvi_dellumbria,0,4,5,0,1
42.892394,12.852078,Cammoro,cammoro,0,1,0,0,0
42.831974,12.771024,Campello sul Clitunno,campello_sul_clitunno,0,20,6,1,3
42.999163,12.581258,Cannara,cannara,1,4,7,3,0
43.196320,12.646237,Casacastalda,casacastalda,0,0,2,0,0
43.102849,11.968047,casamaggiore,casamaggiore,0,0,1,0,0
43.375843,12.514060,CASAMORCIA-RAGGIO,casamorcia-raggio,0,0,1,0,0
42.721446,13.022012,Cascia,cascia,1,28,9,3,1
42.634029,12.409162,Castel dell'Aquila,castel_dellaquila,0,1,0,0,0
42.827409,12.688358,Castel Ritaldi,castel_ritaldi,0,6,5,0,1
42.750061,12.022072,Castel Viscardo,castel_viscardo,0,2,3,0,1
42.828521,13.214181,Castelluccio di Norcia,castelluccio_di_norcia,0,1,0,0,0
43.119678,12.049168,Castiglione del Lago,castiglione_del_lago,3,70,45,13,5
42.809672,12.899480,Cerreto di Spoleto,cerreto_di_spoleto,0,6,4,0,1
43.498368,12.118650,Citerna,citerna,0,10,2,1,1
42.963697,12.014481,Città della Pieve,citt_della_pieve,2,35,15,10,4
43.449315,12.236050,Città di Castello,citt_di_castello,3,123,92,31,8
42.768000,12.492000,Citta Del Vaticano,citta_del_vaticano,0,0,0,0,0
42.953843,12.005451,Citta della Pieve,citta_della_pieve,0,0,1,0,0
43.464973,12.229831,Citta' Di Castello,citta_di_castello,0,1,2,0,0
