# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.680566,13.382151,ov_rebechin_caffe_pizza_al_taglio_45.6806_13.3822,Rebechin Caffe Pizza al Taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/rebechin_caffe_pizza_al_taglio_45.6806_13.3822.json,custom
45.680152,13.378362,ov_stabilimento_tivoli_45.6802_13.3784,Stabilimento Tivoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/stabilimento_tivoli_45.6802_13.3784.json,custom
45.681027,13.378231,ov_ristorante_tivoli_45.6810_13.3782,Ristorante Tivoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_tivoli_45.6810_13.3782.json,custom
45.679376,13.394503,ov_la_serenella_45.6794_13.3945,La Serenella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_serenella_45.6794_13.3945.json,custom
45.679814,13.395241,ov_ristorante_trattoria_la_locanda_di_ambri_45.6798_13.3952,Ristorante Trattoria La Locanda di Ambriabella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_trattoria_la_locanda_di_ambri_45.6798_13.3952.json,custom
45.679933,13.403898,ov_delfino_blu_45.6799_13.4039,Delfino Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/delfino_blu_45.6799_13.4039.json,custom
45.679093,13.401107,ov_bistrot_ratatouille_45.6791_13.4011,Bistrot Ratatouille,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bistrot_ratatouille_45.6791_13.4011.json,custom
45.679129,13.402295,ov_ristorante_pesce_da_franco_45.6791_13.4023,Ristorante Pesce da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_pesce_da_franco_45.6791_13.4023.json,custom
45.679270,13.384100,ov_la_cucina_di_antonella_45.6793_13.3841,La Cucina Di Antonella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_cucina_di_antonella_45.6793_13.3841.json,custom
45.679069,13.383680,ov_ristorante_di_pizza_piassalber_45.6791_13.3837,Ristorante di Pizza Piassalber,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_di_pizza_piassalber_45.6791_13.3837.json,custom
45.678140,13.383546,ov_trattoria_alla_borsa_45.6781_13.3835,Trattoria Alla Borsa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_alla_borsa_45.6781_13.3835.json,custom
45.678085,13.387475,ov_san_marco_grado_45.6781_13.3875,San Marco Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/san_marco_grado_45.6781_13.3875.json,custom
45.678094,13.384013,ov_pizza_it_grado_45.6781_13.3840,Pizza.it grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pizzait_grado_45.6781_13.3840.json,custom
45.678099,13.383936,ov_bella_grado_45.6781_13.3839,Bella Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bella_grado_45.6781_13.3839.json,custom
45.678059,13.383875,ov_mandracchio_bistrot_45.6781_13.3839,Mandracchio Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/mandracchio_bistrot_45.6781_13.3839.json,custom
45.677990,13.389195,ov_ristorante_al_pellegrino_barbana_45.6780_13.3892,Ristorante Al Pellegrino Barbana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_al_pellegrino_barbana_45.6780_13.3892.json,custom
45.677532,13.405370,ov_chiosco__raggio_di_sole_grado_45.6775_13.4054,Chiosco  Raggio di Sole Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/chiosco_raggio_di_sole_grado_45.6775_13.4054.json,custom
45.677519,13.394585,ov_calypso_grado_45.6775_13.3946,Calypso_Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/calypsogrado_45.6775_13.3946.json,custom
45.677266,13.394405,ov_ristorante_pizzeria_da_luciano_45.6773_13.3944,Ristorante Pizzeria Da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_pizzeria_da_luciano_45.6773_13.3944.json,custom
45.677402,13.388933,ov_il_panino_di_cester_vittorina_45.6774_13.3889,Il Panino di Cester Vittorina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/il_panino_di_cester_vittorina_45.6774_13.3889.json,custom
45.677338,13.386887,ov_pizza_al_taglio_45.6773_13.3869,Pizza Al Taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pizza_al_taglio_45.6773_13.3869.json,custom
45.677349,13.385172,ov_ristorante_gardenia_45.6773_13.3852,Ristorante Gardenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_gardenia_45.6773_13.3852.json,custom
45.677292,13.383416,ov_ristorante_alla_pace_45.6773_13.3834,Ristorante Alla Pace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ristorante_alla_pace_45.6773_13.3834.json,custom
45.677292,13.383668,ov_a_le_cube_trattoria_45.6773_13.3837,A Le Cube Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/a_le_cube_trattoria_45.6773_13.3837.json,custom
45.677264,13.383933,ov_porta_grande_bistrot_45.6773_13.3839,Porta Grande Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/porta_grande_bistrot_45.6773_13.3839.json,custom
45.677331,13.384121,ov_savial_45.6773_13.3841,Savial,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/savial_45.6773_13.3841.json,custom
45.677337,13.384579,ov_prosciutteria_1961_grado_45.6773_13.3846,Prosciutteria 1961 Grado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/prosciutteria_1961_grado_45.6773_13.3846.json,custom
45.677343,13.383578,ov_agli_artisti_45.6773_13.3836,Agli Artisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/agli_artisti_45.6773_13.3836.json,custom
45.677372,13.383348,ov_trattoria_l_osteria_45.6774_13.3833,Trattoria L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_losteria_45.6774_13.3833.json,custom
