# lat,lng,id,name,building_type,type,url,page_type
# grado -- Tutti
45.675725,13.385180,osm_spaghetti_house_45.6757_13.3852,Spaghetti House,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/spaghetti_house_45.6757_13.3852.json,custom
45.716369,13.458545,osm_da_renata_45.7164_13.4585,Da Renata,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_renata_45.7164_13.4585.json,custom
45.676209,13.386338,osm_da_ovidio_45.6762_13.3863,Da Ovidio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_ovidio_45.6762_13.3863.json,custom
45.679641,13.390697,osm_trattoria_la_de_le_mamole_45.6796_13.3907,Trattoria La de le Mamole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_la_de_le_mamole_45.6796_13.3907.json,custom
45.676228,13.386835,osm_bella_napoli_45.6762_13.3868,Bella Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bella_napoli_45.6762_13.3868.json,custom
45.675383,13.387082,osm_al_timon_45.6754_13.3871,Al Timon,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_timon_45.6754_13.3871.json,custom
45.677833,13.431174,osm_il_cerchio_dei_golosi_45.6778_13.4312,Il Cerchio Dei Golosi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/il_cerchio_dei_golosi_45.6778_13.4312.json,custom
45.677929,13.431082,osm_pizza_take_away_45.6779_13.4311,Pizza Take Away,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/pizza_take_away_45.6779_13.4311.json,custom
45.677989,13.384084,osm_da_cesare_45.6780_13.3841,Da Cesare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_cesare_45.6780_13.3841.json,custom
45.676269,13.386908,osm_mami_45.6763_13.3869,Mami,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/mami_45.6763_13.3869.json,custom
45.681726,13.385613,osm_zero_miglia_45.6817_13.3856,Zero Miglia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/zero_miglia_45.6817_13.3856.json,custom
45.677323,13.393738,osm_l_ingordo_45.6773_13.3937,L'Ingordo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/lingordo_45.6773_13.3937.json,custom
45.677172,13.389073,osm_il_panino_45.6772_13.3891,Il Panino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/il_panino_45.6772_13.3891.json,custom
45.676958,13.384540,osm_tre_corone_45.6770_13.3845,Tre Corone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/tre_corone_45.6770_13.3845.json,custom
45.680035,13.385836,osm_al_pescatore_45.6800_13.3858,Al Pescatore,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_pescatore_45.6800_13.3858.json,custom
45.676940,13.385356,osm_trattoria_santa_lucia_45.6769_13.3854,Trattoria Santa Lucia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/trattoria_santa_lucia_45.6769_13.3854.json,custom
45.678317,13.430550,osm_dissapore_45.6783_13.4305,Dissapore,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/dissapore_45.6783_13.4305.json,custom
45.677417,13.394571,osm_calypso_45.6774_13.3946,Calypso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/calypso_45.6774_13.3946.json,custom
45.675141,13.388138,osm_vistamare_45.6751_13.3881,Vistamare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/vistamare_45.6751_13.3881.json,custom
45.677256,13.383359,osm_alla_pace_45.6773_13.3834,Alla Pace,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/alla_pace_45.6773_13.3834.json,custom
45.677305,13.383784,osm_a_le_cube_45.6773_13.3838,A Le Cube,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/a_le_cube_45.6773_13.3838.json,custom
45.677522,13.383432,osm_la_perla_45.6775_13.3834,La Perla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_perla_45.6775_13.3834.json,custom
45.676955,13.384140,osm_la_cambusa_45.6770_13.3841,La Cambusa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_cambusa_45.6770_13.3841.json,custom
45.676876,13.390005,osm_al_doge_45.6769_13.3900,Al Doge,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_doge_45.6769_13.3900.json,custom
45.679044,13.402331,osm_da_franco_45.6790_13.4023,Da Franco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_franco_45.6790_13.4023.json,custom
45.676080,13.386807,osm_al_gial_45.6761_13.3868,Al Gial,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_gial_45.6761_13.3868.json,custom
45.676951,13.385674,osm_bruno_masaneta_45.6770_13.3857,Bruno Masaneta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bruno_masaneta_45.6770_13.3857.json,custom
45.677917,13.385617,osm_ostaria_de_mar_45.6779_13.3856,Ostaria de Mar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ostaria_de_mar_45.6779_13.3856.json,custom
45.677063,13.393779,osm_ciao_ciao_45.6771_13.3938,Ciao Ciao,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ciao_ciao_45.6771_13.3938.json,custom
45.677153,13.385183,osm_cardamomo_45.6772_13.3852,Cardamomo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/cardamomo_45.6772_13.3852.json,custom
45.682831,13.382133,osm_l__de_le_vele_45.6828_13.3821,Là De Le Vele,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/l_de_le_vele_45.6828_13.3821.json,custom
45.724747,13.422531,osm_alla_buona_vite_45.7247_13.4225,Alla buona vite,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/alla_buona_vite_45.7247_13.4225.json,custom
45.724962,13.385544,osm_da_piero_45.7250_13.3855,Da Piero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_piero_45.7250_13.3855.json,custom
45.679374,13.394556,osm_serenella_45.6794_13.3946,Serenella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/serenella_45.6794_13.3946.json,custom
45.677281,13.394143,osm_da_luciano_45.6773_13.3941,Da Luciano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_luciano_45.6773_13.3941.json,custom
45.683088,13.414763,ov_bar_marina_fiorita_45.6831_13.4148,Bar Marina Fiorita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_marina_fiorita_45.6831_13.4148.json,custom
45.682688,13.379669,ov_caffetteria_brioni_45.6827_13.3797,Caffetteria Brioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/caffetteria_brioni_45.6827_13.3797.json,custom
45.679088,13.428364,ov_bar_agli_specchi_45.6791_13.4284,Bar agli Specchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_agli_specchi_45.6791_13.4284.json,custom
45.679266,13.429969,ov_bar_rovis_45.6793_13.4300,Bar Rovis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_rovis_45.6793_13.4300.json,custom
45.680445,13.401834,ov_goriziana_caffe_45.6804_13.4018,Goriziana Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/goriziana_caffe_45.6804_13.4018.json,custom
45.680056,13.407685,ov_bar_gabbiano_45.6801_13.4077,Bar Gabbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_gabbiano_45.6801_13.4077.json,custom
45.679569,13.379935,ov_amami_bar_45.6796_13.3799,amami bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/amami_bar_45.6796_13.3799.json,custom
45.680009,13.380672,ov_chiosco_al_faro_grafi_v_milano_4__costa__45.6800_13.3807,Chiosco Al Faro grafi V.milano 4 “costa Azzurra”,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/chiosco_al_faro_grafi_vmilano_4_costa_az_45.6800_13.3807.json,custom
45.679691,13.399970,ov_creuza_de_ma_45.6797_13.4000,Creuza De Ma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/creuza_de_ma_45.6797_13.4000.json,custom
45.679622,13.405865,ov_bar_tergesteo_45.6796_13.4059,Bar Tergesteo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_tergesteo_45.6796_13.4059.json,custom
45.679096,13.401571,ov_bar_e_gelateria_giardino_45.6791_13.4016,Bar e Gelateria Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_e_gelateria_giardino_45.6791_13.4016.json,custom
45.679305,13.387165,ov_nova_internet_cafe_45.6793_13.3872,Nova Internet Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/nova_internet_cafe_45.6793_13.3872.json,custom
45.679240,13.384159,ov_bar_tandem_45.6792_13.3842,Bar Tandem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_tandem_45.6792_13.3842.json,custom
45.678620,13.384920,ov_portobuso_grado_45.6786_13.3849,Portobuso Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/portobuso_grado_45.6786_13.3849.json,custom
45.678479,13.384368,ov_bar_al_porto_45.6785_13.3844,Bar al Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_al_porto_45.6785_13.3844.json,custom
45.678266,13.386944,ov_bar_manzoni_grado_45.6783_13.3869,Bar Manzoni Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_manzoni_grado_45.6783_13.3869.json,custom
45.678026,13.383740,ov_al_goto_grado_45.6780_13.3837,Al Goto Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_goto_grado_45.6780_13.3837.json,custom
45.677995,13.385660,ov_ostaria_de_mar_45.6780_13.3857,Ostaria de Mar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ostaria_de_mar_45.6780_13.3857.json,custom
45.677829,13.407470,ov_top_bar___spiaggia_git_45.6778_13.4075,Top Bar - Spiaggia GIT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/top_bar_-_spiaggia_git_45.6778_13.4075.json,custom
45.677796,13.410327,ov_stabilimento_borabora_grado_45.6778_13.4103,Stabilimento BoraBora Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/stabilimento_borabora_grado_45.6778_13.4103.json,custom
45.677348,13.394541,ov_bar_concerto_45.6773_13.3945,Bar Concerto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_concerto_45.6773_13.3945.json,custom
45.677344,13.385211,ov_gardegna_45.6773_13.3852,Gardegna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/gardegna_45.6773_13.3852.json,custom
45.677447,13.384069,ov_osteria_wine_bar_da_sandra_45.6774_13.3841,Osteria Wine Bar da Sandra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/osteria_wine_bar_da_sandra_45.6774_13.3841.json,custom
45.677488,13.386602,ov_galleria_excelsior_45.6775_13.3866,Galleria Excelsior,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/galleria_excelsior_45.6775_13.3866.json,custom
45.677667,13.383233,ov_la_botega____45.6777_13.3832,La Botega...,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_botega_45.6777_13.3832.json,custom
45.677658,13.384707,ov_seti_cafe_45.6777_13.3847,Seti Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/seti_cafe_45.6777_13.3847.json,custom
45.677610,13.384702,ov_la_brocca_rotta_45.6776_13.3847,La Brocca Rotta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_brocca_rotta_45.6776_13.3847.json,custom
45.677650,13.394911,ov_enoteca_da_pino_45.6777_13.3949,Enoteca da Pino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/enoteca_da_pino_45.6777_13.3949.json,custom
45.677904,13.386225,ov_coffee_can_srl_bar_bomben_45.6779_13.3862,Coffee can Srl Bar Bomben,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/coffee_can_srl_bar_bomben_45.6779_13.3862.json,custom
45.677871,13.386942,ov_cagiandola_bar_45.6779_13.3869,Cagiandola Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/cagiandola_bar_45.6779_13.3869.json,custom
45.677885,13.385978,ov_bar_bomben_45.6779_13.3860,Bar Bomben,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_bomben_45.6779_13.3860.json,custom
45.677820,13.385508,ov_wine_bar_amadeus_45.6778_13.3855,Wine Bar Amadeus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/wine_bar_amadeus_45.6778_13.3855.json,custom
45.677882,13.384352,ov_caff__rampa_d_oro_45.6779_13.3844,Caffé Rampa d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/caff_rampa_doro_45.6779_13.3844.json,custom
45.677897,13.383037,ov_bar_da_rino_45.6779_13.3830,Bar da Rino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_da_rino_45.6779_13.3830.json,custom
45.676622,13.384109,ov_taxi_bar_45.6766_13.3841,TAXI BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/taxi_bar_45.6766_13.3841.json,custom
45.676626,13.389220,ov_vinarium_enoteca_45.6766_13.3892,VinArium Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/vinarium_enoteca_45.6766_13.3892.json,custom
45.676721,13.387959,ov_bar_gelateria_carpe_diem_45.6767_13.3880,Bar Gelateria Carpe Diem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_gelateria_carpe_diem_45.6767_13.3880.json,custom
45.676721,13.385873,ov_drio_del_canton_45.6767_13.3859,Drio del Canton,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/drio_del_canton_45.6767_13.3859.json,custom
45.676790,13.384991,ov_in_cogolo_45.6768_13.3850,In Cogolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/in_cogolo_45.6768_13.3850.json,custom
45.676810,13.384520,ov_ke_sapori_grado_45.6768_13.3845,Ke Sapori Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ke_sapori_grado_45.6768_13.3845.json,custom
45.676914,13.385858,ov_bar_hemingway_45.6769_13.3859,Bar Hemingway,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_hemingway_45.6769_13.3859.json,custom
45.677192,13.385037,ov_enoteca_portanova_45.6772_13.3850,Enoteca Portanova,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/enoteca_portanova_45.6772_13.3850.json,custom
45.676419,13.393598,ov_isola_d_oro_45.6764_13.3936,Isola d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/isola_doro_45.6764_13.3936.json,custom
45.676321,13.388988,ov_bar_odeon_45.6763_13.3890,Bar Odeon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_odeon_45.6763_13.3890.json,custom
45.676287,13.384668,ov_ostaria_da_filomena_45.6763_13.3847,Ostaria da Filomena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ostaria_da_filomena_45.6763_13.3847.json,custom
45.676322,13.384591,ov_ladelacesa_45.6763_13.3846,Ladelacesa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ladelacesa_45.6763_13.3846.json,custom
45.676026,13.385343,ov_bar_taverna_ai_patriarchi_45.6760_13.3853,Bar Taverna ai Patriarchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_taverna_ai_patriarchi_45.6760_13.3853.json,custom
45.676050,13.386151,ov_bar_al_anzolo_45.6760_13.3862,Bar al Anzolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_al_anzolo_45.6760_13.3862.json,custom
45.676058,13.389508,ov_piccolo_bar_grado_45.6761_13.3895,Piccolo Bar Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/piccolo_bar_grado_45.6761_13.3895.json,custom
45.675878,13.388347,ov_vini_pregiati_grado_45.6759_13.3883,Vini Pregiati Grado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/vini_pregiati_grado_45.6759_13.3883.json,custom
45.675866,13.390733,ov_bar_numerouno_45.6759_13.3907,Bar NumeroUno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_numerouno_45.6759_13.3907.json,custom
45.677530,13.431634,ov_royal_bar_45.6775_13.4316,Royal Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/royal_bar_45.6775_13.4316.json,custom
45.677890,13.431700,ov_bar_canterbury_45.6779_13.4317,BAR Canterbury,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_canterbury_45.6779_13.4317.json,custom
45.678133,13.431326,ov_bar_capricorno_45.6781_13.4313,Bar Capricorno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bar_capricorno_45.6781_13.4313.json,custom
45.702459,13.466560,ov_kite_bar_tenuta_primero_45.7025_13.4666,Kite Bar Tenuta Primero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/kite_bar_tenuta_primero_45.7025_13.4666.json,custom
45.677869,13.386127,osm_bomben_45.6779_13.3861,Bomben,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/bomben_45.6779_13.3861.json,custom
45.675990,13.386192,osm_al_anzolo_45.6760_13.3862,Al Anzolo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_anzolo_45.6760_13.3862.json,custom
45.677866,13.384308,osm_rampa_d_ooro_45.6779_13.3843,Rampa d'oOro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/rampa_dooro_45.6779_13.3843.json,custom
45.677879,13.386970,osm_la_taca_45.6779_13.3870,La Taca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_taca_45.6779_13.3870.json,custom
45.677259,13.384952,osm_seti_caf__45.6773_13.3850,Seti Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/seti_caf_45.6773_13.3850.json,custom
45.677311,13.384885,osm_la_brocca_rotta_45.6773_13.3849,La Brocca Rotta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_brocca_rotta_45.6773_13.3849.json,custom
45.676236,13.384785,osm_filomena_45.6762_13.3848,Filomena,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/filomena_45.6762_13.3848.json,custom
45.679674,13.400118,osm_la_rosa_dei_venti_45.6797_13.4001,La Rosa dei Venti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/la_rosa_dei_venti_45.6797_13.4001.json,custom
45.677844,13.386913,osm_cagiandola_45.6778_13.3869,Cagiandola,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/cagiandola_45.6778_13.3869.json,custom
45.677898,13.383078,osm_da_rino_45.6779_13.3831,Da Rino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/da_rino_45.6779_13.3831.json,custom
45.679299,13.429859,osm_crema_e_cioccolato_45.6793_13.4299,Crema e Cioccolato,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/crema_e_cioccolato_45.6793_13.4299.json,custom
45.678080,13.431262,osm_capricorno_45.6781_13.4313,Capricorno,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/capricorno_45.6781_13.4313.json,custom
45.675974,13.385197,osm_ai_patriarchi_45.6760_13.3852,Ai Patriarchi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/ai_patriarchi_45.6760_13.3852.json,custom
45.678255,13.386928,osm_manzoni_45.6783_13.3869,Manzoni,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/manzoni_45.6783_13.3869.json,custom
45.679674,13.405952,osm_tergesteo_45.6797_13.4060,Tergesteo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/tergesteo_45.6797_13.4060.json,custom
45.679271,13.387266,osm_nova_bar_45.6793_13.3873,Nova Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/nova_bar_45.6793_13.3873.json,custom
45.679509,13.387239,osm_medeot_45.6795_13.3872,Medeot,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/medeot_45.6795_13.3872.json,custom
45.679993,13.407615,osm_al_gabbiano_45.6800_13.4076,Al Gabbiano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/al_gabbiano_45.6800_13.4076.json,custom
45.678992,13.401684,osm_giardino_45.6790_13.4017,Giardino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/giardino_45.6790_13.4017.json,custom
45.676914,13.385925,osm_hemingway_bar_45.6769_13.3859,Hemingway Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/hemingway_bar_45.6769_13.3859.json,custom
45.677754,13.385369,osm_hannover_45.6778_13.3854,Hannover,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/grado/pages/hannover_45.6778_13.3854.json,custom
