# lat,lng,id,name,building_type,type,url,page_type
# Amaseno -- Tutti
41.465420,13.335850,ov_avis_comunale_di_amaseno_41.4654_13.3359,Avis Comunale di Amaseno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/avis_comunale_di_amaseno_41.4654_13.3359.json,custom
41.467632,13.332806,ov_bar_braciola_41.4676_13.3328,Bar Braciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/bar_braciola_41.4676_13.3328.json,custom
41.468843,13.329635,ov_ristorante_da_giotto_41.4688_13.3296,Ristorante Da Giotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/ristorante_da_giotto_41.4688_13.3296.json,custom
41.475865,13.338218,ov_ristorante_le_fontanelle_41.4759_13.3382,Ristorante Le Fontanelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/ristorante_le_fontanelle_41.4759_13.3382.json,custom
41.468690,13.334950,ov_pizzeria_regina_camilla_41.4687_13.3349,Pizzeria Regina Camilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/pizzeria_regina_camilla_41.4687_13.3349.json,custom
41.468018,13.336829,ov_fattoria_lauretti_41.4680_13.3368,Fattoria Lauretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/fattoria_lauretti_41.4680_13.3368.json,custom
41.446271,13.408242,ov_scacco_matto_societ__cooperativa_41.4463_13.4082,Scacco Matto Società Cooperativa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/scacco_matto_societ_cooperativa_41.4463_13.4082.json,custom
41.644701,13.366262,ov_ristorante_le_fontanelle_41.6447_13.3663,Ristorante Le Fontanelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/ristorante_le_fontanelle_41.6447_13.3663.json,custom
41.466683,13.331535,ov_bladar_pub_41.4667_13.3315,Bladar Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/bladar_pub_41.4667_13.3315.json,custom
41.465309,13.332277,ov_prohibition_wine_enoteca_41.4653_13.3323,Prohibition Wine Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/prohibition_wine_enoteca_41.4653_13.3323.json,custom
41.468389,13.335349,ov_bar_la_perla_41.4684_13.3353,Bar La Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/bar_la_perla_41.4684_13.3353.json,custom
41.466536,13.335208,ov_bar_5_41.4665_13.3352,Bar 5,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/bar_5_41.4665_13.3352.json,custom
41.467206,13.335532,ov_cafe_del_centro_41.4672_13.3355,Cafe Del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/cafe_del_centro_41.4672_13.3355.json,custom
41.467860,13.335575,ov_bar_centrale_41.4679_13.3356,BAR Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/bar_centrale_41.4679_13.3356.json,custom
41.465500,13.337270,ov_risorgenza_di_capo_d_acqua_41.4655_13.3373,Risorgenza di Capo D'Acqua,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/risorgenza_di_capo_dacqua_41.4655_13.3373.json,custom
41.436792,13.337450,ov_colle_della_selvina_41.4368_13.3375,Colle Della Selvina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/amaseno/pages/colle_della_selvina_41.4368_13.3375.json,custom
