# lat,lng,id,name,building_type,type,url,page_type
# Lucrezia -- Tutti
43.773020,12.935388,osm_piadina_da_claudio_43.7730_12.9354,Piadina da Claudio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/piadina_da_claudio_43.7730_12.9354.json,custom
43.769330,12.932362,osm_art__caff__43.7693_12.9324,Artè Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/art_caff_43.7693_12.9324.json,custom
43.775531,12.937540,osm_caffetteria_peter_pan_43.7755_12.9375,Caffetteria Peter Pan,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/caffetteria_peter_pan_43.7755_12.9375.json,custom
43.771929,12.937726,osm_caff__600tre_43.7719_12.9377,Caffè 600tre,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/caff_600tre_43.7719_12.9377.json,custom
43.774474,12.937909,osm_bar_centrale_43.7745_12.9379,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/bar_centrale_43.7745_12.9379.json,custom
43.774303,12.935931,osm_dalla_peppa_43.7743_12.9359,Dalla Peppa,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/dalla_peppa_43.7743_12.9359.json,custom
43.776263,12.944477,osm_break_17_43.7763_12.9445,break 17,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/break_17_43.7763_12.9445.json,custom
43.776317,12.938674,osm_caff__borgia_43.7763_12.9387,Caffè Borgia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/caff_borgia_43.7763_12.9387.json,custom
43.769603,12.932776,osm_old_jack_43.7696_12.9328,Old Jack,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/lucrezia/pages/old_jack_43.7696_12.9328.json,custom
