# lat,lng,id,name,building_type,type,url,page_type
# Valsamoggia -- Tutti
44.546328,11.134188,ov_pizzeria_dal_piccolo_pietro_samu_44.5463_11.1342,Pizzeria Dal Piccolo Pietro&Samu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_dal_piccolo_pietrosamu_44.5463_11.1342.json,custom
44.547432,11.133437,ov_pizzeria_da_asporto_s__george_44.5474_11.1334,Pizzeria Da Asporto S. George,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_da_asporto_s_george_44.5474_11.1334.json,custom
44.540180,11.128358,ov_antica_scuderia_1870_44.5402_11.1284,Antica Scuderia 1870,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/antica_scuderia_1870_44.5402_11.1284.json,custom
44.525595,11.175660,ov_orangerie_locanda_44.5256_11.1757,Orangerie Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/orangerie_locanda_44.5256_11.1757.json,custom
44.515439,11.127310,ov_terzo_tempo_44.5154_11.1273,terzo tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/terzo_tempo_44.5154_11.1273.json,custom
44.514240,11.128896,ov_pizzeria_lele_44.5142_11.1289,Pizzeria Lele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_lele_44.5142_11.1289.json,custom
44.510823,11.145710,ov_pizzeria_lady_valsamoggia_44.5108_11.1457,Pizzeria Lady Valsamoggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_lady_valsamoggia_44.5108_11.1457.json,custom
44.514064,11.127198,ov_la_fata_44.5141_11.1272,La Fata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/la_fata_44.5141_11.1272.json,custom
44.511491,11.129688,ov_pizzeria_a_crespellano_da_luigi__pizza_a_44.5115_11.1297,Pizzeria a Crespellano Da Luigi. Pizza a lunga maturazione d,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_a_crespellano_da_luigi_pizza_a__44.5115_11.1297.json,custom
44.510828,11.128234,ov_pizzeria_due_torri_44.5108_11.1282,Pizzeria Due Torri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/valsamoggia/pages/pizzeria_due_torri_44.5108_11.1282.json,custom
