# lat,lng,id,name,building_type,type,url,page_type
# san_cipriano_picentino -- Tutti
40.719323,14.870380,ov_ospedale_di_treviso_40.7193_14.8704,Ospedale Di Treviso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/ospedale_di_treviso_40.7193_14.8704.json,custom
40.719980,14.880845,ov_masseria_della_fontana_vecchia_40.7200_14.8808,Masseria della Fontana Vecchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/masseria_della_fontana_vecchia_40.7200_14.8808.json,custom
40.720420,14.878600,ov_fit___flow_method_40.7204_14.8786,Fit & Flow Method,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/fit_flow_method_40.7204_14.8786.json,custom
40.720441,14.871706,ov_ristorante_dal_contadino_40.7204_14.8717,Ristorante dal Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/ristorante_dal_contadino_40.7204_14.8717.json,custom
40.719574,14.871036,ov_la_loggia_dell_avvocato_hostaria_40.7196_14.8710,La Loggia dell'Avvocato Hostaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/la_loggia_dellavvocato_hostaria_40.7196_14.8710.json,custom
40.719272,14.871229,ov_pizzeria_taverna_paradiso_40.7193_14.8712,Pizzeria Taverna Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/pizzeria_taverna_paradiso_40.7193_14.8712.json,custom
40.695250,14.872574,ov_bar_pizzeria_rosticceria_cioffi_40.6953_14.8726,Bar Pizzeria Rosticceria Cioffi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/bar_pizzeria_rosticceria_cioffi_40.6953_14.8726.json,custom
40.696112,14.869815,ov_cioff_pub_pizzeriai_40.6961_14.8698,Cioff Pub-Pizzeriai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/cioff_pub-pizzeriai_40.6961_14.8698.json,custom
40.695580,14.871160,ov_pizza_in_piazza___antichi_forni___filett_40.6956_14.8712,Pizza in Piazza - Antichi forni - Filetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/pizza_in_piazza_-_antichi_forni_-_filett_40.6956_14.8712.json,custom
40.696689,14.863746,ov_dimora_nannina_40.6967_14.8637,Dimora Nannina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/dimora_nannina_40.6967_14.8637.json,custom
40.699641,14.870428,ov_mangiafuoco_pizzeria_40.6996_14.8704,Mangiafuoco Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_cipriano_picentino/pages/mangiafuoco_pizzeria_40.6996_14.8704.json,custom
