# lat,lng,id,name,building_type,type,url,page_type
# Porto Valtravaglia -- Tutti
45.959302,8.702537,ov_remeo_lago_maggiore_45.9593_8.7025,Remeo Lago Maggiore,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/remeo_lago_maggiore_45.9593_8.7025.json,custom
45.952106,8.692286,ov_trattoria_bar_del_maglio_di_rumiatti_san_45.9521_8.6923,Trattoria Bar Del Maglio di Rumiatti Sandro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/trattoria_bar_del_maglio_di_rumiatti_san_45.9521_8.6923.json,custom
45.960995,8.682813,ov_hot_dog_grill_45.9610_8.6828,Hot Dog Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/hot_dog_grill_45.9610_8.6828.json,custom
45.962396,8.680623,ov_bistrot_imbarcadero_45.9624_8.6806,Bistrot Imbarcadero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/bistrot_imbarcadero_45.9624_8.6806.json,custom
45.960683,8.680685,ov_fatti_di_pizza_di_oliveri_fernando_45.9607_8.6807,Fatti di Pizza di Oliveri Fernando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/fatti_di_pizza_di_oliveri_fernando_45.9607_8.6807.json,custom
45.954503,8.695958,ov_trattoria_il_ritrovo_45.9545_8.6960,Trattoria Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/trattoria_il_ritrovo_45.9545_8.6960.json,custom
45.961315,8.703034,ov_chiosco_scuba_beach_45.9613_8.7030,Chiosco Scuba&Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/chiosco_scubabeach_45.9613_8.7030.json,custom
45.943307,8.711620,ov_ristoro_san_michele_al_monte_45.9433_8.7116,Ristoro San Michele al Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/ristoro_san_michele_al_monte_45.9433_8.7116.json,custom
45.962667,8.707893,ov_circolo_di_muceno_45.9627_8.7079,Circolo di Muceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/circolo_di_muceno_45.9627_8.7079.json,custom
45.971505,8.698780,ov_ristorante_montesole_45.9715_8.6988,Ristorante Montesole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/ristorante_montesole_45.9715_8.6988.json,custom
45.971519,8.698683,osm_montesole_45.9715_8.6987,Montesole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/montesole_45.9715_8.6987.json,custom
45.960541,8.675282,ov_kiosk_45.9605_8.6753,Kiosk,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/kiosk_45.9605_8.6753.json,custom
45.961545,8.680539,ov_bar_caff__lino_45.9615_8.6805,Bar Caffè Lino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/bar_caff_lino_45.9615_8.6805.json,custom
45.960701,8.679379,osm_pasticceria_dei_portici_45.9607_8.6794,Pasticceria dei Portici,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/pasticceria_dei_portici_45.9607_8.6794.json,custom
45.960567,8.675113,osm_kiosk_punta_molino_45.9606_8.6751,Kiosk Punta Molino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/kiosk_punta_molino_45.9606_8.6751.json,custom
45.965572,8.698703,ov_azienda_agricola_dei_laghetti_45.9656_8.6987,Azienda Agricola Dei Laghetti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/azienda_agricola_dei_laghetti_45.9656_8.6987.json,custom
45.960631,8.678833,osm_poste_italiane_45.9606_8.6788,Poste italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/porto_valtravaglia/pages/poste_italiane_45.9606_8.6788.json,custom
