# lat,lng,id,name,building_type,type,url,page_type
# Giffoni Sei Casali -- Tutti
40.741611,14.903421,ov_rsa_sant_antonio_residenza_sanitaria_ass_40.7416_14.9034,RSA Sant'Antonio Residenza Sanitaria Assistenziale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/rsa_santantonio_residenza_sanitaria_assi_40.7416_14.9034.json,custom
40.745228,14.901819,ov_il_nocciolo_selvatico_40.7452_14.9018,Il Nocciolo Selvatico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/il_nocciolo_selvatico_40.7452_14.9018.json,custom
40.726544,14.892220,ov_pizzeria_ambress_ambress_40.7265_14.8922,Pizzeria Ambress Ambress,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/pizzeria_ambress_ambress_40.7265_14.8922.json,custom
40.728799,14.891979,ov_ristorante_pizzeria_graffiti_40.7288_14.8920,Ristorante Pizzeria Graffiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/ristorante_pizzeria_graffiti_40.7288_14.8920.json,custom
40.728926,14.892025,ov_la_torre_dei_picentini_40.7289_14.8920,La Torre dei Picentini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/la_torre_dei_picentini_40.7289_14.8920.json,custom
40.718854,14.908599,ov_agriturismo_il_brigante_40.7189_14.9086,Agriturismo Il Brigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/agriturismo_il_brigante_40.7189_14.9086.json,custom
40.716848,14.906903,ov_gnam_gnam_pizzeria_40.7168_14.9069,Gnam Gnam Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/gnam_gnam_pizzeria_40.7168_14.9069.json,custom
40.719250,14.904170,ov_pizzeria_carme__40.7193_14.9042,Pizzeria Carme',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/pizzeria_carme_40.7193_14.9042.json,custom
40.720451,14.902861,ov_la_sonnambula_40.7205_14.9029,La Sonnambula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/la_sonnambula_40.7205_14.9029.json,custom
40.717106,14.893064,ov_ristorante_pizzeria_la_terrazza_40.7171_14.8931,Ristorante Pizzeria La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/ristorante_pizzeria_la_terrazza_40.7171_14.8931.json,custom
40.718285,14.893629,ov_sale_e_pepe_ristobraceria_pizzeria_40.7183_14.8936,Sale e Pepe Ristobraceria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/giffoni_sei_casali/pages/sale_e_pepe_ristobraceria_pizzeria_40.7183_14.8936.json,custom
