# lat,lng,id,name,building_type,type,url,page_type
# Castel Bolognese -- Tutti
44.317967,11.801103,osm_casa_della_salute_44.3180_11.8011,Casa della salute,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/casa_della_salute_44.3180_11.8011.json,custom
44.362002,11.699021,ov_camst_la_ristorazione_italiana_44.3620_11.6990,Camst-La Ristorazione Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/camst-la_ristorazione_italiana_44.3620_11.6990.json,custom
44.332359,11.782576,ov_la_casa_dei_servi_44.3324_11.7826,La Casa dei Servi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/la_casa_dei_servi_44.3324_11.7826.json,custom
44.327199,11.789190,ov_serenata_in_cucina_44.3272_11.7892,Serenata In Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/serenata_in_cucina_44.3272_11.7892.json,custom
44.326147,11.786782,ov_la_piadina_del_contadino_44.3261_11.7868,La Piadina Del Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/la_piadina_del_contadino_44.3261_11.7868.json,custom
44.324953,11.787459,ov_wok_sun_restaurant_44.3250_11.7875,Wok Sun Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/wok_sun_restaurant_44.3250_11.7875.json,custom
44.324889,11.787632,ov_kowa_sushi___castel_bolognese_44.3249_11.7876,Kowa sushi - Castel Bolognese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/kowa_sushi_-_castel_bolognese_44.3249_11.7876.json,custom
44.322435,11.802070,ov_pizzeria_del_viale_44.3224_11.8021,Pizzeria Del Viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/pizzeria_del_viale_44.3224_11.8021.json,custom
44.317449,11.805810,ov_chiosco_coccinella_44.3174_11.8058,Chiosco Coccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/chiosco_coccinella_44.3174_11.8058.json,custom
44.316603,11.806778,ov_il_kiwi_44.3166_11.8068,Il Kiwi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/il_kiwi_44.3166_11.8068.json,custom
44.314001,11.795388,ov_civico_25_44.3140_11.7954,Civico 25,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/civico_25_44.3140_11.7954.json,custom
44.314637,11.797787,ov_pizzeria_da_chicco_44.3146_11.7978,Pizzeria da Chicco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/pizzeria_da_chicco_44.3146_11.7978.json,custom
44.319627,11.799659,ov_caminetto_d_oro_44.3196_11.7997,Caminetto d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/caminetto_doro_44.3196_11.7997.json,custom
44.320124,11.797900,ov_piada_per_te_44.3201_11.7979,Piada Per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/piada_per_te_44.3201_11.7979.json,custom
44.320373,11.797430,ov_delithia_emilia_44.3204_11.7974,Delithia Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/delithia_emilia_44.3204_11.7974.json,custom
44.316224,11.791961,ov_il_pala_44.3162_11.7920,Il Pala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/il_pala_44.3162_11.7920.json,custom
44.308089,11.745116,ov_ristorante_pizzeria_monticino_serra_44.3081_11.7451,Ristorante Pizzeria Monticino Serra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/ristorante_pizzeria_monticino_serra_44.3081_11.7451.json,custom
44.634317,11.680122,ov_amatrice_nel_piatto___trattoria_roma_di__44.6343_11.6801,Amatrice nel Piatto - Trattoria Roma di Amatrice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/amatrice_nel_piatto_-_trattoria_roma_di__44.6343_11.6801.json,custom
44.308106,11.745025,osm_monticino_serra_44.3081_11.7450,Monticino Serra,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/monticino_serra_44.3081_11.7450.json,custom
44.330364,11.773467,ov_trepuntozero_caff__44.3304_11.7735,Trepuntozero Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/trepuntozero_caff_44.3304_11.7735.json,custom
44.325259,11.788092,ov_bar_industria_mokador_44.3253_11.7881,Bar Industria Mokador,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/bar_industria_mokador_44.3253_11.7881.json,custom
44.323243,11.795431,ov_d_uva_tamburri_bevande_44.3232_11.7954,D'Uva Tamburri Bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/duva_tamburri_bevande_44.3232_11.7954.json,custom
44.325336,11.803679,ov_bar_stazione_castel_bolognese_44.3253_11.8037,Bar Stazione Castel Bolognese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/bar_stazione_castel_bolognese_44.3253_11.8037.json,custom
44.316857,11.805729,ov_break_point_caf__44.3169_11.8057,Break Point Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/break_point_caf_44.3169_11.8057.json,custom
44.316741,11.807324,ov_sacao_cafe_44.3167_11.8073,Sacao Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/sacao_cafe_44.3167_11.8073.json,custom
44.317934,11.795008,ov_lo_chalet_nel_parco_44.3179_11.7950,lo chalet nel parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castel_bolognese/pages/lo_chalet_nel_parco_44.3179_11.7950.json,custom
