# lat,lng,id,name,building_type,type,url,page_type
# Cerreto Sannita -- Tutti
41.279503,14.565785,ov_ospedale_maria_delle_grazie___servizio_r_41.2795_14.5658,Ospedale Maria delle Grazie - Servizio Radiologia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/ospedale_maria_delle_grazie_-_servizio_r_41.2795_14.5658.json,custom
41.284631,14.561370,ov_pizzeria_la_romantica_41.2846_14.5614,Pizzeria La Romantica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/pizzeria_la_romantica_41.2846_14.5614.json,custom
41.291059,14.588351,ov_antica_trattoria_masella_41.2911_14.5884,Antica Trattoria Masella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/antica_trattoria_masella_41.2911_14.5884.json,custom
41.292949,14.571687,ov_la_torre_medioevale_41.2929_14.5717,La Torre Medioevale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/la_torre_medioevale_41.2929_14.5717.json,custom
41.305198,14.562463,ov_trattoria_i_frungigl__41.3052_14.5625,Trattoria I Frungigl',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/trattoria_i_frungigl_41.3052_14.5625.json,custom
41.274723,14.550454,ov_royal_rose_41.2747_14.5505,Royal Rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/royal_rose_41.2747_14.5505.json,custom
41.282076,14.556148,ov_bar_l_orchidea_41.2821_14.5561,Bar L'Orchidea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/bar_lorchidea_41.2821_14.5561.json,custom
41.282173,14.555962,ov_dolcidea_coloniali_e_diversi_41.2822_14.5560,Dolcidea Coloniali e Diversi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/dolcidea_coloniali_e_diversi_41.2822_14.5560.json,custom
41.282844,14.556591,ov_bar_infinito_41.2828_14.5566,BAR Infinito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/bar_infinito_41.2828_14.5566.json,custom
41.284491,14.560083,ov_il_pozzo_dei_desideri_41.2845_14.5601,Il Pozzo dei Desideri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/il_pozzo_dei_desideri_41.2845_14.5601.json,custom
41.284340,14.558710,ov_bar_del_corso_41.2843_14.5587,Bar del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/bar_del_corso_41.2843_14.5587.json,custom
41.283995,14.558724,ov_bar_dell_arco_41.2840_14.5587,Bar Dell'Arco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/bar_dellarco_41.2840_14.5587.json,custom
41.286535,14.563821,ov_caffe_zanechelli_piccolo_bar_41.2865_14.5638,Caffe Zanechelli Piccolo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/caffe_zanechelli_piccolo_bar_41.2865_14.5638.json,custom
41.283271,14.557340,ov_happy_hour_41.2833_14.5573,Happy Hour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/happy_hour_41.2833_14.5573.json,custom
41.287658,14.564998,ov_hildegard_pub_41.2877_14.5650,Hildegard Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/hildegard_pub_41.2877_14.5650.json,custom
41.283942,14.558581,osm_bar_parente_41.2839_14.5586,Bar Parente,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/bar_parente_41.2839_14.5586.json,custom
41.283117,14.556870,ov_marc_musei_arte_cerreto_41.2831_14.5569,MARC Musei Arte Cerreto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/marc_musei_arte_cerreto_41.2831_14.5569.json,custom
41.282824,14.555698,ov_icare_cooperativa_sociale_di_comunit__41.2828_14.5557,ICare Cooperativa Sociale di Comunità,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/icare_cooperativa_sociale_di_comunit_41.2828_14.5557.json,custom
41.283190,14.556770,ov_museo_civico_e_della_ceramica_cerretese_41.2832_14.5568,Museo Civico e della Ceramica Cerretese,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/museo_civico_e_della_ceramica_cerretese_41.2832_14.5568.json,custom
41.284737,14.558149,ov_ceramica_marina_41.2847_14.5581,ceramica marina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/ceramica_marina_41.2847_14.5581.json,custom
41.284342,14.558719,ov_piazza_san_martino_41.2843_14.5587,Piazza San Martino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/piazza_san_martino_41.2843_14.5587.json,custom
41.282281,14.556462,osm_poste_italiane_41.2823_14.5565,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/cerreto_sannita/pages/poste_italiane_41.2823_14.5565.json,custom
