# lat,lng,id,name,building_type,type,url,page_type
# Mandello del Lario -- Tutti
45.918105,9.322878,osm_soccorso_degli_alpini_45.9181_9.3229,Soccorso degli Alpini,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/soccorso_degli_alpini_45.9181_9.3229.json,custom
45.945652,9.310941,ov_la_zia_berta_agriturismo_az__agricola_45.9457_9.3109,La zia Berta Agriturismo Az. agricola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/la_zia_berta_agriturismo_az_agricola_45.9457_9.3109.json,custom
45.939012,9.312521,ov_ristorante_aquaduulza_45.9390_9.3125,Ristorante Aquaduulza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/ristorante_aquaduulza_45.9390_9.3125.json,custom
45.926156,9.311681,ov_amandus_ristorante_45.9262_9.3117,Amandus Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/amandus_ristorante_45.9262_9.3117.json,custom
45.918217,9.316022,ov_galli___gufi_45.9182_9.3160,Galli & Gufi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/galli_gufi_45.9182_9.3160.json,custom
45.912492,9.316586,ov_ristorante_il_giardinetto_45.9125_9.3166,Ristorante Il Giardinetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/ristorante_il_giardinetto_45.9125_9.3166.json,custom
45.912382,9.316972,ov_osteria_colombo_45.9124_9.3170,Osteria Colombo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/osteria_colombo_45.9124_9.3170.json,custom
45.913017,9.317431,ov_pizzeria_friggitoria_moccia_45.9130_9.3174,Pizzeria Friggitoria Moccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/pizzeria_friggitoria_moccia_45.9130_9.3174.json,custom
45.913337,9.318570,ov_derby_mandello_del_lario_45.9133_9.3186,Derby Mandello del lario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/derby_mandello_del_lario_45.9133_9.3186.json,custom
45.912461,9.317957,ov_locanda_alberti___trattoria_contemporane_45.9125_9.3180,Locanda Alberti | Trattoria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/locanda_alberti_trattoria_contemporanea_45.9125_9.3180.json,custom
45.918921,9.318025,ov_lalilli_45.9189_9.3180,LaLilli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mandello_del_lario/pages/lalilli_45.9189_9.3180.json,custom
