# lat,lng,id,name,building_type,type,url,page_type
# terlano -- Tutti
46.528128,11.252496,ov_otto_mediathek_terlan_46.5281_11.2525,OTTO Mediathek Terlan,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/otto_mediathek_terlan_46.5281_11.2525.json,custom
46.511173,11.274574,ov_bibliothek_siebeneich_46.5112_11.2746,Bibliothek Siebeneich,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/bibliothek_siebeneich_46.5112_11.2746.json,custom
46.544443,11.256937,ov_buschenschank_oberlegar_46.5444_11.2569,Buschenschank Oberlegar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/buschenschank_oberlegar_46.5444_11.2569.json,custom
46.528997,11.248826,osm_oberhauser_46.5290_11.2488,Oberhauser,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/oberhauser_46.5290_11.2488.json,custom
46.563215,11.224811,osm_soali_xxl_house_46.5632_11.2248,Soali XXL House,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/soali_xxl_house_46.5632_11.2248.json,custom
46.535829,11.245326,osm_residence_egger_46.5358_11.2453,Residence Egger,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/residence_egger_46.5358_11.2453.json,custom
46.544464,11.256920,osm_oberlegar_46.5445_11.2569,Oberlegar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/oberlegar_46.5445_11.2569.json,custom
46.528399,11.248818,osm_bar_enal_46.5284_11.2488,Bar Enal,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/bar_enal_46.5284_11.2488.json,custom
46.556125,11.219946,ov_zum_hirschen_46.5561_11.2199,Zum Hirschen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/zum_hirschen_46.5561_11.2199.json,custom
46.558986,11.223226,ov_pizzeria_bistro_central_46.5590_11.2232,Pizzeria Bistro Central,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/pizzeria_bistro_central_46.5590_11.2232.json,custom
46.567660,11.223182,ov_pizzeria_ganthaler_46.5677_11.2232,Pizzeria Ganthaler,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/pizzeria_ganthaler_46.5677_11.2232.json,custom
46.568126,11.222332,ov_ganthaler_c____c__sas_46.5681_11.2223,Ganthaler C. & C. SAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/ganthaler_c_c_sas_46.5681_11.2223.json,custom
46.563142,11.224602,ov_pizzeria_restaurant_soali_46.5631_11.2246,Pizzeria Restaurant Soali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/pizzeria_restaurant_soali_46.5631_11.2246.json,custom
46.530059,11.247472,ov_sch_tzenwirt_46.5301_11.2475,Schützenwirt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/schtzenwirt_46.5301_11.2475.json,custom
46.530102,11.247981,ov_buschenhans_jimmi_46.5301_11.2480,Buschenhans-JIMMI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/buschenhans-jimmi_46.5301_11.2480.json,custom
46.535712,11.245365,ov_pizzeria_egger_46.5357_11.2454,Pizzeria Egger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/pizzeria_egger_46.5357_11.2454.json,custom
46.529215,11.248760,ov_restaurant_pizzeria_oberhauser_46.5292_11.2488,Restaurant Pizzeria Oberhauser,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/restaurant_pizzeria_oberhauser_46.5292_11.2488.json,custom
46.527301,11.253493,ov_gaudi_ristorant_pizzeria___biergarten_46.5273_11.2535,Gaudi Ristorant Pizzeria & Biergarten,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/gaudi_ristorant_pizzeria_biergarten_46.5273_11.2535.json,custom
46.511314,11.273895,ov_restaurant_patauner_46.5113_11.2739,Restaurant Patauner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/restaurant_patauner_46.5113_11.2739.json,custom
46.530553,11.247496,ov_sweet_cafe_46.5306_11.2475,Sweet Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/sweet_cafe_46.5306_11.2475.json,custom
46.535090,11.242481,ov_baccus_srl_46.5351_11.2425,Baccus SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/baccus_srl_46.5351_11.2425.json,custom
46.531390,11.249857,ov_barbieri_monika_46.5314_11.2499,Barbieri Monika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/barbieri_monika_46.5314_11.2499.json,custom
46.529342,11.251137,ov_cafe_meitinger_46.5293_11.2511,Cafe Meitinger,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/cafe_meitinger_46.5293_11.2511.json,custom
46.525980,11.250274,ov_sportbar_marta_46.5260_11.2503,Sportbar Marta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/sportbar_marta_46.5260_11.2503.json,custom
46.529489,11.248780,ov_terlaner_jugend_46.5295_11.2488,Terlaner Jugend,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/terlaner_jugend_46.5295_11.2488.json,custom
46.525102,11.254288,ov_burgruine_neuhaus_maultasch_46.5251_11.2543,Burgruine Neuhaus Maultasch,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/burgruine_neuhaus_maultasch_46.5251_11.2543.json,custom
46.511985,11.291852,ov_greinfenstein_castle_46.5120_11.2919,Greinfenstein Castle,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/terlano/pages/greinfenstein_castle_46.5120_11.2919.json,custom
