# lat,lng,id,name,building_type,type,url,page_type
# Cassano Magnago -- Tutti
45.673201,8.831416,ov_cronos_orologeria_bottega_orafa_45.6732_8.8314,Cronos Orologeria Bottega Orafa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/cronos_orologeria_bottega_orafa_45.6732_8.8314.json,custom
45.651327,8.844776,ov_loft_cafe_45.6513_8.8448,Loft Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/loft_cafe_45.6513_8.8448.json,custom
45.649828,8.847577,ov_tommy_vitello_45.6498_8.8476,Tommy Vitello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/tommy_vitello_45.6498_8.8476.json,custom
45.649876,8.849244,ov_ristorante_verdicchio_45.6499_8.8492,Ristorante Verdicchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/ristorante_verdicchio_45.6499_8.8492.json,custom
45.660850,8.824350,ov_novecento___ristorante_45.6609_8.8244,Novecento - Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/novecento_-_ristorante_45.6609_8.8244.json,custom
45.656630,8.845020,ov_la_dolce_trattoria_45.6566_8.8450,La dolce trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/la_dolce_trattoria_45.6566_8.8450.json,custom
45.662024,8.841174,ov_pizzaclub_no_limits_45.6620_8.8412,PizzaClub No Limits,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/pizzaclub_no_limits_45.6620_8.8412.json,custom
45.662262,8.841223,ov_hangartner_srl_45.6623_8.8412,Hangartner SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/hangartner_srl_45.6623_8.8412.json,custom
45.662251,8.835451,ov_lo_scarabocchio_45.6623_8.8355,Lo Scarabocchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/lo_scarabocchio_45.6623_8.8355.json,custom
45.662635,8.833310,ov_lo_schiaffone_45.6626_8.8333,Lo Schiaffone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/lo_schiaffone_45.6626_8.8333.json,custom
45.662660,8.833720,ov_jojo_sushi_45.6627_8.8337,JoJo Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/jojo_sushi_45.6627_8.8337.json,custom
45.670033,8.834669,ov_la_dolce_trattoria_45.6700_8.8347,La dolce trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cassano_magnago/pages/la_dolce_trattoria_45.6700_8.8347.json,custom
