# lat,lng,id,name,building_type,type,url,page_type
# Flero -- Tutti
45.461558,10.180972,ov_med_line_poliambulatorio_45.4616_10.1810,Med-Line Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/med-line_poliambulatorio_45.4616_10.1810.json,custom
45.472384,10.176285,ov_voglia_di_piada_45.4724_10.1763,Voglia Di Piada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/voglia_di_piada_45.4724_10.1763.json,custom
45.472423,10.176326,ov_befed_brew_pub_flero_45.4724_10.1763,BEFED Brew Pub Flero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/befed_brew_pub_flero_45.4724_10.1763.json,custom
45.481425,10.171652,ov_osteria_due_pozzi_45.4814_10.1717,Osteria Due Pozzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/osteria_due_pozzi_45.4814_10.1717.json,custom
45.478568,10.178068,ov_pizza_flash_flero_45.4786_10.1781,Pizza Flash Flero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/pizza_flash_flero_45.4786_10.1781.json,custom
45.486110,10.152580,ov_oip_srl_45.4861_10.1526,OIP SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/oip_srl_45.4861_10.1526.json,custom
45.485146,10.154024,ov_gruppo_dac_worldwide_45.4851_10.1540,Gruppo Dac Worldwide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/gruppo_dac_worldwide_45.4851_10.1540.json,custom
45.483122,10.176856,ov_il_bersagliere_45.4831_10.1769,Il Bersagliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/il_bersagliere_45.4831_10.1769.json,custom
45.483621,10.175692,ov_pizzeria_reginella_45.4836_10.1757,Pizzeria Reginella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/pizzeria_reginella_45.4836_10.1757.json,custom
45.483186,10.179470,ov_pizzeria_l_amalfitana_flero_45.4832_10.1795,Pizzeria L'Amalfitana Flero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/pizzeria_lamalfitana_flero_45.4832_10.1795.json,custom
45.482710,10.179113,ov_anphora_45.4827_10.1791,AnphorA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/flero/pages/anphora_45.4827_10.1791.json,custom
