# lat,lng,id,name,building_type,type,url,page_type
# pergola -- Tutti
43.568727,12.830481,ov_ospedale_di_pergola_43.5687_12.8305,ospedale di Pergola,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/ospedale_di_pergola_43.5687_12.8305.json,custom
43.587069,12.871053,ov_centro_barbecue_43.5871_12.8711,Centro Barbecue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/centro_barbecue_43.5871_12.8711.json,custom
43.593640,12.920540,ov_il_mandrale_43.5936_12.9205,Il Mandrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/il_mandrale_43.5936_12.9205.json,custom
43.581174,12.900286,ov_agriturismo_lo_sgorzolo_43.5812_12.9003,Agriturismo Lo Sgorzolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/agriturismo_lo_sgorzolo_43.5812_12.9003.json,custom
43.581174,12.900286,ov_agriturismo_locanda_magnoni_43.5812_12.9003,Agriturismo Locanda Magnoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/agriturismo_locanda_magnoni_43.5812_12.9003.json,custom
43.561849,12.836230,ov_pizza_express_da_bubu_43.5618_12.8362,Pizza express da bubu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/pizza_express_da_bubu_43.5618_12.8362.json,custom
43.561463,12.836384,ov_pizzeria_il_tagliere_pergola_43.5615_12.8364,Pizzeria IL TAGLIERE Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/pizzeria_il_tagliere_pergola_43.5615_12.8364.json,custom
43.558058,12.836435,ov_mamibu_43.5581_12.8364,Mamibu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/mamibu_43.5581_12.8364.json,custom
43.564217,12.834449,ov_osteria_del_borgo_43.5642_12.8344,Osteria del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/osteria_del_borgo_43.5642_12.8344.json,custom
43.563901,12.836364,ov_ristorante_il_cantuccio_43.5639_12.8364,Ristorante Il Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/ristorante_il_cantuccio_43.5639_12.8364.json,custom
43.566264,12.830726,ov_la_pergola_osteria_43.5663_12.8307,La Pergola Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/la_pergola_osteria_43.5663_12.8307.json,custom
43.566600,12.836910,ov_il_ristoro_del_mercatale_43.5666_12.8369,IL Ristoro DEL Mercatale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/il_ristoro_del_mercatale_43.5666_12.8369.json,custom
43.537699,12.777587,ov_agriturismo_alla_vecchia_quercia_43.5377_12.7776,Agriturismo Alla Vecchia Quercia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/agriturismo_alla_vecchia_quercia_43.5377_12.7776.json,custom
43.543390,12.838419,ov_rossofuoco_forni_a_legna___barbecues_43.5434_12.8384,Rossofuoco Forni a Legna & Barbecues,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/rossofuoco_forni_a_legna_barbecues_43.5434_12.8384.json,custom
43.538138,12.875073,ov_agriturismo_il_casale___pergola_43.5381_12.8751,Agriturismo il Casale - Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/agriturismo_il_casale_-_pergola_43.5381_12.8751.json,custom
43.538611,12.833139,ov_il_rifugio_dei_golosi_43.5386_12.8331,Il rifugio dei Golosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/il_rifugio_dei_golosi_43.5386_12.8331.json,custom
43.517340,12.838990,ov_ristorante_la_terrazza_azzurra_43.5173_12.8390,Ristorante La Terrazza Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/ristorante_la_terrazza_azzurra_43.5173_12.8390.json,custom
43.906048,12.893966,ov_agriturismo_gentilini_43.9060_12.8940,Agriturismo Gentilini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/agriturismo_gentilini_43.9060_12.8940.json,custom
43.564166,12.834417,osm_trattoria_del_borgo_43.5642_12.8344,Trattoria del Borgo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/trattoria_del_borgo_43.5642_12.8344.json,custom
43.522756,12.789367,osm_azienda_agricola_case_bottaro_43.5228_12.7894,Azienda Agricola Case Bottaro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/azienda_agricola_case_bottaro_43.5228_12.7894.json,custom
43.563428,12.777862,osm_azienda_agricola_agrituristica_renga_43.5634_12.7779,Azienda Agricola Agrituristica Renga,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/azienda_agricola_agrituristica_renga_43.5634_12.7779.json,custom
43.578718,12.863141,osm_noj____azienda_agricola_biologica_grani__43.5787_12.8631,Nojà - Azienda agricola Biologica Grani Antichi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/pergola/pages/noj_-_azienda_agricola_biologica_grani_a_43.5787_12.8631.json,custom
