# lat,lng,id,name,building_type,type,url,page_type
# Gragnano Trebbiense -- Tutti
44.993640,9.561175,ov_centro_inseminazione_artificiale_equina__44.9936_9.5612,Centro Inseminazione Artificiale Equina Dott.ssa Sara Foglia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/centro_inseminazione_artificiale_equina__44.9936_9.5612.json,custom
45.041310,9.569323,ov_ristorante_luna_nuova_45.0413_9.5693,Ristorante Luna Nuova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/ristorante_luna_nuova_45.0413_9.5693.json,custom
45.040979,9.552070,ov_antica_trattoria_braghieri_45.0410_9.5521,Antica Trattoria Braghieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/antica_trattoria_braghieri_45.0410_9.5521.json,custom
45.023167,9.544250,ov_osteria_la_torre_45.0232_9.5442,Osteria La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/osteria_la_torre_45.0232_9.5442.json,custom
45.026149,9.549966,ov_bar_trattoria_da_beppe_45.0261_9.5500,Bar Trattoria da Beppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/bar_trattoria_da_beppe_45.0261_9.5500.json,custom
45.013755,9.568283,ov_trattoria_pinocchio_45.0138_9.5683,Trattoria Pinocchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/trattoria_pinocchio_45.0138_9.5683.json,custom
45.013071,9.568615,ov_gragnano_city_45.0131_9.5686,Gragnano City,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/gragnano_city_45.0131_9.5686.json,custom
45.012865,9.568719,ov_vado_al_massimo_pizzeria_45.0129_9.5687,Vado al Massimo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/vado_al_massimo_pizzeria_45.0129_9.5687.json,custom
45.011959,9.570485,ov_i_nuovi_sapori_di_gill_45.0120_9.5705,I Nuovi Sapori di Gill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/i_nuovi_sapori_di_gill_45.0120_9.5705.json,custom
44.998339,9.532073,ov_trattoria_cervini_44.9983_9.5321,Trattoria Cervini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/trattoria_cervini_44.9983_9.5321.json,custom
45.018357,9.547811,osm_agriturismo_corte_moffelona_45.0184_9.5478,Agriturismo Corte Moffelona,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/agriturismo_corte_moffelona_45.0184_9.5478.json,custom
45.025727,9.550580,ov_bar_bianchi_45.0257_9.5506,Bar Bianchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/bar_bianchi_45.0257_9.5506.json,custom
45.017520,9.572080,ov_la_baita_bar_paninoteca_45.0175_9.5721,La Baita Bar Paninoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/la_baita_bar_paninoteca_45.0175_9.5721.json,custom
45.013752,9.568220,ov_bar_gatti_45.0138_9.5682,Bar Gatti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/bar_gatti_45.0138_9.5682.json,custom
45.014992,9.566955,ov_pool_summer_bar_acquelaria_45.0150_9.5670,Pool summer bar Acquelaria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/pool_summer_bar_acquelaria_45.0150_9.5670.json,custom
45.015190,9.567810,ov_bar_gelateria_da_antonio_45.0152_9.5678,Bar gelateria da Antonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/bar_gelateria_da_antonio_45.0152_9.5678.json,custom
45.011027,9.568581,ov_double_birreria_colazioni_piccola_cucina_45.0110_9.5686,Double Birreria Colazioni Piccola Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/double_birreria_colazioni_piccola_cucina_45.0110_9.5686.json,custom
45.005623,9.574585,ov_la_capannina_45.0056_9.5746,La Capannina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gragnano_trebbiense/pages/la_capannina_45.0056_9.5746.json,custom
