# lat,lng,id,name,building_type,type,url,page_type
# San Sebastiano al Vesuvio -- Tutti
40.845067,14.372245,ov_medical_center_40.8451_14.3722,Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/medical_center_40.8451_14.3722.json,custom
40.835186,14.388746,ov_il_capriccio___san_sebastiano_al_vesuvio_40.8352_14.3887,Il Capriccio - San Sebastiano Al Vesuvio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/il_capriccio_-_san_sebastiano_al_vesuvio_40.8352_14.3887.json,custom
40.835150,14.388823,ov_capriccio_events_40.8351_14.3888,Capriccio Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/capriccio_events_40.8351_14.3888.json,custom
40.835345,14.387682,ov_ristorante_my_house_40.8353_14.3877,Ristorante My house,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/ristorante_my_house_40.8353_14.3877.json,custom
40.838447,14.379723,ov_agriturismo_bel_vesuvio_inn_40.8384_14.3797,Agriturismo Bel Vesuvio Inn,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/agriturismo_bel_vesuvio_inn_40.8384_14.3797.json,custom
40.840442,14.368666,ov_secret_garden_bistrot_40.8404_14.3687,Secret Garden Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/secret_garden_bistrot_40.8404_14.3687.json,custom
40.840479,14.352701,ov_caros_srl_40.8405_14.3527,Caros SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/caros_srl_40.8405_14.3527.json,custom
40.842393,14.369733,ov_s_move_40.8424_14.3697,S'move,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/smove_40.8424_14.3697.json,custom
40.842376,14.369725,ov_strafoca_40.8424_14.3697,Strafoca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/strafoca_40.8424_14.3697.json,custom
40.842141,14.366174,ov_luuma_steak_40.8421_14.3662,Luuma Steak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/luuma_steak_40.8421_14.3662.json,custom
40.841856,14.369517,ov_black_swan_champagneria_40.8419_14.3695,Black Swan champagneria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/black_swan_champagneria_40.8419_14.3695.json,custom
40.841913,14.369544,ov_ristorante_pinu_40.8419_14.3695,Ristorante Pinu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/ristorante_pinu_40.8419_14.3695.json,custom
40.841497,14.369594,ov_epico_beer_burger_40.8415_14.3696,Epico Beer&Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/epico_beerburger_40.8415_14.3696.json,custom
40.841270,14.369246,ov_funicul__40.8413_14.3692,Funiculì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/funicul_40.8413_14.3692.json,custom
40.840719,14.367941,ov_canterbury_restaurant_40.8407_14.3679,Canterbury Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/canterbury_restaurant_40.8407_14.3679.json,custom
40.842334,14.372342,ov_ristorante_il_faro_40.8423_14.3723,Ristorante Il Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/ristorante_il_faro_40.8423_14.3723.json,custom
40.853311,14.376348,ov_duegg__take_away__acucinemamm__40.8533_14.3763,Dueggì Take Away #acucinemammà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/duegg_take_away_acucinemamm_40.8533_14.3763.json,custom
40.844775,14.370923,ov_assicurazioni___noleggio_prestitosi_40.8448_14.3709,Assicurazioni & Noleggio Prestitosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/assicurazioni_noleggio_prestitosi_40.8448_14.3709.json,custom
40.844535,14.368711,ov_cookery_pub_pizzeria_40.8445_14.3687,Cookery Pub Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/cookery_pub_pizzeria_40.8445_14.3687.json,custom
40.843630,14.371306,ov_frie__n__fuie_40.8436_14.3713,Frie 'N' Fuie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/frie_n_fuie_40.8436_14.3713.json,custom
40.842862,14.369355,ov_berso_40.8429_14.3694,Berso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/san_sebastiano_al_vesuvio/pages/berso_40.8429_14.3694.json,custom
