# lat,lng,id,name,building_type,type,url,page_type
# Ardea -- Tutti
41.563326,12.539751,ov_radiologia_cla_ro_41.5633_12.5398,Radiologia CLA.RO,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/radiologia_claro_41.5633_12.5398.json,custom
41.536036,12.562582,ov_pizzeriarosticceriadisonia_41.5360_12.5626,PizzeriaRosticceriadisonia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/pizzeriarosticceriadisonia_41.5360_12.5626.json,custom
41.536932,12.562427,ov_ristorante_la_tavernetta_41.5369_12.5624,Ristorante la Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/ristorante_la_tavernetta_41.5369_12.5624.json,custom
41.536756,12.550949,ov_stabilimento_balneare_mogambo_41.5368_12.5509,Stabilimento Balneare Mogambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/stabilimento_balneare_mogambo_41.5368_12.5509.json,custom
41.558855,12.528820,ov_la_venere_in_bikini_41.5589_12.5288,La Venere in Bikini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/la_venere_in_bikini_41.5589_12.5288.json,custom
41.568700,12.522520,ov_forno_ambra_41.5687_12.5225,Forno Ambra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/forno_ambra_41.5687_12.5225.json,custom
41.568896,12.522455,ov_pirati_della_carne_41.5689_12.5225,Pirati Della Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/pirati_della_carne_41.5689_12.5225.json,custom
41.569564,12.519515,ov_residence_men__appartamenti_e_camere_41.5696_12.5195,Residence MENÈ appartamenti e camere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/residence_men_appartamenti_e_camere_41.5696_12.5195.json,custom
41.570431,12.519628,ov_mirketto_41.5704_12.5196,Mirketto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/mirketto_41.5704_12.5196.json,custom
41.566785,12.519839,ov_piccola_capri_41.5668_12.5198,Piccola Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/piccola_capri_41.5668_12.5198.json,custom
41.566174,12.525018,ov_paparella_il_pirata_41.5662_12.5250,Paparella Il Pirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ardea/pages/paparella_il_pirata_41.5662_12.5250.json,custom
