# lat,lng,id,name,building_type,type,url,page_type
# Cortina d'Ampezzo -- Tutti
46.554740,12.132119,ov_ospedale_cortina_46.5547_12.1321,Ospedale Cortina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ospedale_cortina_46.5547_12.1321.json,custom
46.520473,12.018948,ov_ristorante_grill_da_strobel_paolo_michie_46.5205_12.0189,Ristorante Grill da Strobel Paolo Michielli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_grill_da_strobel_paolo_michie_46.5205_12.0189.json,custom
46.519365,12.017607,ov_col_gallina_cortina_d_ampezzo_46.5194_12.0176,Col Gallina Cortina D'Ampezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/col_gallina_cortina_dampezzo_46.5194_12.0176.json,custom
46.518592,12.008863,ov_col_gallina_sas_di_campigotto_raniero_46.5186_12.0089,Col Gallina SAS di Campigotto Raniero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/col_gallina_sas_di_campigotto_raniero_46.5186_12.0089.json,custom
46.518587,12.038360,ov_baita_bai_de_dones_46.5186_12.0384,Baita Bai de Dones,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/baita_bai_de_dones_46.5186_12.0384.json,custom
46.619662,12.182891,ov_chalet_passo_cimabanche_46.6197_12.1829,Chalet Passo Cimabanche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/chalet_passo_cimabanche_46.6197_12.1829.json,custom
46.551599,12.190064,ov_ristorante_rio_gere_46.5516_12.1901,Ristorante Rio Gere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/ristorante_rio_gere_46.5516_12.1901.json,custom
46.524257,12.154581,ov_agiturismo_degasper_giorgio_46.5243_12.1546,Agiturismo Degasper Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/agiturismo_degasper_giorgio_46.5243_12.1546.json,custom
46.544985,12.165678,ov_restaurant_lake_scin_46.5450_12.1657,Restaurant Lake Scin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/restaurant_lake_scin_46.5450_12.1657.json,custom
46.532377,12.172837,ov_rifugio_faloria_46.5324_12.1728,Rifugio Faloria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_faloria_46.5324_12.1728.json,custom
46.532197,12.172776,ov_italian_alps__dolomites__46.5322_12.1728,Italian alps (dolomites),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/italian_alps_dolomites_46.5322_12.1728.json,custom
46.552070,12.175060,ov_piccolo_brite_46.5521_12.1751,Piccolo Brite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/piccolo_brite_46.5521_12.1751.json,custom
46.568119,12.185564,ov_rifugio_son_forca__monte_cristallo__cort_46.5681_12.1856,"Rifugio Son Forca, Monte Cristallo, Cortina D'ampezzo",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_son_forca_monte_cristallo_cortin_46.5681_12.1856.json,custom
46.556631,12.163192,ov_rifugio_mietres_46.5566_12.1632,Rifugio Mietres,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/rifugio_mietres_46.5566_12.1632.json,custom
46.548141,12.153905,ov_marchioni_walter_46.5481_12.1539,Marchioni Walter,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/marchioni_walter_46.5481_12.1539.json,custom
46.553901,12.126034,ov_agriturismo_jagerhaus_luca_ghedina_46.5539_12.1260,Agriturismo Jagerhaus Luca Ghedina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cortina_dampezzo/pages/agriturismo_jagerhaus_luca_ghedina_46.5539_12.1260.json,custom
