# lat,lng,id,name,building_type,type,url,page_type
# Vailate -- Tutti
45.462177,9.603132,ov_fondazione_ospedale_caimi_45.4622_9.6031,Fondazione Ospedale Caimi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/fondazione_ospedale_caimi_45.4622_9.6031.json,custom
45.460878,9.601751,ov_locanda_i_tarocchi_45.4609_9.6018,Locanda I Tarocchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/locanda_i_tarocchi_45.4609_9.6018.json,custom
45.460494,9.605641,ov_osteria_del_nuzit_45.4605_9.6056,Osteria Del Nuzit,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/osteria_del_nuzit_45.4605_9.6056.json,custom
45.460015,9.605874,ov_ristorante_pizzeria_a_modo_mio_45.4600_9.6059,Ristorante Pizzeria a Modo Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/ristorante_pizzeria_a_modo_mio_45.4600_9.6059.json,custom
45.458827,9.603511,ov_trattoria_del_gallo_45.4588_9.6035,Trattoria del Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/trattoria_del_gallo_45.4588_9.6035.json,custom
45.462326,9.602896,ov_pizzeria_famiglia_le_piramidi_45.4623_9.6029,Pizzeria famiglia le piramidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/pizzeria_famiglia_le_piramidi_45.4623_9.6029.json,custom
45.466855,9.602308,ov_attilio_cosentini_pizza_experience_45.4669_9.6023,Attilio Cosentini pizza experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/attilio_cosentini_pizza_experience_45.4669_9.6023.json,custom
45.461433,9.603219,osm_bar_sport_45.4614_9.6032,Bar Sport,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/bar_sport_45.4614_9.6032.json,custom
45.460105,9.605675,osm_ristorante_strimon_45.4601_9.6057,Ristorante Strimon,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/ristorante_strimon_45.4601_9.6057.json,custom
45.461526,9.604389,ov_calisto_cafe_45.4615_9.6044,Calisto Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/calisto_cafe_45.4615_9.6044.json,custom
45.461423,9.603263,ov_bar_sport_45.4614_9.6033,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/bar_sport_45.4614_9.6033.json,custom
45.460702,9.603142,ov_caffetteria_cavour_45.4607_9.6031,Caffetteria cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/caffetteria_cavour_45.4607_9.6031.json,custom
45.460330,9.603375,ov_caffe_centrale_45.4603_9.6034,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/caffe_centrale_45.4603_9.6034.json,custom
45.462990,9.602748,ov_bar_giamaica_45.4630_9.6027,Bar Giamaica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/bar_giamaica_45.4630_9.6027.json,custom
45.462231,9.605280,ov_la_dolce_vita_caff__pasticceria_gelateri_45.4622_9.6053,La Dolce vita Caffè pasticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/la_dolce_vita_caff_pasticceria_gelateria_45.4622_9.6053.json,custom
45.462912,9.606636,ov_buddha_bar_il_loto_45.4629_9.6066,Buddha Bar Il Loto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/buddha_bar_il_loto_45.4629_9.6066.json,custom
45.461529,9.604404,osm_calisto_caf__45.4615_9.6044,Calisto Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/calisto_caf_45.4615_9.6044.json,custom
45.460328,9.603391,osm_caff__centrale_45.4603_9.6034,Caffè Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/caff_centrale_45.4603_9.6034.json,custom
45.457419,9.604716,ov_campo_sportivo_irvano_stombelli_45.4574_9.6047,Campo Sportivo Irvano Stombelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/campo_sportivo_irvano_stombelli_45.4574_9.6047.json,custom
45.464376,9.609589,ov_asd_club_meeting_45.4644_9.6096,ASD Club Meeting,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/asd_club_meeting_45.4644_9.6096.json,custom
45.461414,9.606032,ov_biblioteca_di_vailate_45.4614_9.6060,Biblioteca di Vailate,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vailate/pages/biblioteca_di_vailate_45.4614_9.6060.json,custom
