# lat,lng,id,name,building_type,type,url,page_type
# cianciana -- Tutti
37.520273,13.435710,ov_guardia_medica___servizio_di_continuit___37.5203_13.4357,Guardia Medica - Servizio di Continuità Assistenziale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/guardia_medica_-_servizio_di_continuit_a_37.5203_13.4357.json,custom
37.519605,13.432875,ov_st_agnuni___bistrot_sicano_37.5196_13.4329,St'agnuni - Bistrot Sicano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/stagnuni_-_bistrot_sicano_37.5196_13.4329.json,custom
37.520562,13.432441,ov_cortile_halykos_37.5206_13.4324,Cortile Halykos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/cortile_halykos_37.5206_13.4324.json,custom
37.520660,13.430310,ov_agriturismo_colle_dei_venti_37.5207_13.4303,Agriturismo Colle Dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/agriturismo_colle_dei_venti_37.5207_13.4303.json,custom
37.523210,13.431736,ov_lady_rose_37.5232_13.4317,Lady Rose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/lady_rose_37.5232_13.4317.json,custom
37.522306,13.431381,ov_canadian_bar_pizzeria_37.5223_13.4314,Canadian bar-pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/canadian_bar-pizzeria_37.5223_13.4314.json,custom
37.521433,13.431557,ov_bar_l_arcobaleno_37.5214_13.4316,Bar L'arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/bar_larcobaleno_37.5214_13.4316.json,custom
37.516274,13.434789,ov_panificio_san_giuseppe_srl_37.5163_13.4348,Panificio San Giuseppe srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/panificio_san_giuseppe_srl_37.5163_13.4348.json,custom
37.514954,13.433836,ov_la_torretta_37.5150_13.4338,La Torretta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/la_torretta_37.5150_13.4338.json,custom
37.521399,13.432843,ov_clock_tower_cafe_37.5214_13.4328,Clock Tower Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/clock_tower_cafe_37.5214_13.4328.json,custom
37.521397,13.432406,ov_assapura_37.5214_13.4324,Assapura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/assapura_37.5214_13.4324.json,custom
37.521373,13.432288,ov_bar_sant_antonio_37.5214_13.4323,Bar Sant'Antonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/bar_santantonio_37.5214_13.4323.json,custom
37.521328,13.432808,ov_antico_bar_trieste_37.5213_13.4328,Antico Bar Trieste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/antico_bar_trieste_37.5213_13.4328.json,custom
37.518767,13.433395,ov_museo_civico_vecchio_mulino_37.5188_13.4334,Museo Civico Vecchio Mulino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/museo_civico_vecchio_mulino_37.5188_13.4334.json,custom
37.516170,13.434697,ov_biblioteca_comunale_paolo_borsellino_37.5162_13.4347,Biblioteca Comunale Paolo Borsellino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cianciana/pages/biblioteca_comunale_paolo_borsellino_37.5162_13.4347.json,custom
